building,point,atlas,bytes,buildMs,familyCapture
cannhamauxamhoanchinh,"(1.64, -11.02)",1024x951,3895296,6.6025,True
cannhamauxamhoanchinh (1),"(-82.36, 16.98)",1024x951,3895296,1.0031,False
cannhamauxamhoanchinh (2),"(-89.36, 20.98)",1024x951,3895296,1.0755,False
cannhasieuvipprodachinhsua,"(21.27, -5.27)",1024x862,3530752,2.4784,True
cannhasieuvipprodachinhsua (1),"(-43.73, -0.27)",1024x862,3530752,2.2327,False
cannhasieuvipprodachinhsua (10),"(49.27, 11.73)",1024x862,3530752,2.286,False
cannhasieuvipprodachinhsua (11),"(-74.73, 5.73)",1024x862,3530752,2.2379,False
cannhasieuvipprodachinhsua (12),"(-48.73, 50.73)",1024x862,3530752,2.2872,False
cannhasieuvipprodachinhsua (2),"(-1.27, 17.73)",1024x862,3530752,0.3926,False
cannhasieuvipprodachinhsua (3),"(-18.73, -13.27)",1024x862,3530752,2.265,False
cannhasieuvipprodachinhsua (4),"(-87.81, -9.27)",1024x862,3530752,2.2688,False
cannhasieuvipprodachinhsua (5),"(54.27, -16.27)",1024x862,3530752,2.2664,False
cannhasieuvipprodachinhsua (6),"(80.27, -28.27)",1024x862,3530752,2.4004,False
cannhasieuvipprodachinhsua (7),"(29.27, 22.73)",1024x862,3530752,2.5135,False
cannhasieuvipprodachinhsua (8),"(-17.73, 65.73)",1024x862,3530752,2.2924,False
cannhasieuvipprodachinhsua (9),"(13.27, 29.73)",1024x862,3530752,2.2403,False
cannhatotamhoanchinh,"(11.35, -16.59)",1024x812,3325952,2.2334,True
cannhatotamhoanchinh (1),"(-29.65, -19.09)",1024x812,3325952,4.5928,False
cannhatotamhoanchinh (2),"(0.35, 24.91)",1024x812,3325952,2.2408,False
cannhatotamhoanchinh (3),"(58.35, -30.09)",1024x812,3325952,2.2451,False
cannhatotamhoanchinh (4),"(-35.65, 58.91)",1024x812,3325952,2.134,False
cannhatotamhoanchinh (5),"(47.35, 0.91)",1024x812,3325952,2.3306,False
cannhatotamhoanchinh (6),"(11.41, -31.09)",1024x812,3325952,2.5899,False
cannhatotamhoanchinh (7),"(-90.59, -24.09)",1024x812,3325952,2.2861,False
chungcumaucamdachinhsua (1),"(-60.91, 4.81)",1024x728,2981888,2.8697,True
chungcumaucamdachinhsua (2),"(2.51, -22.19)",1024x709,2904064,0.3886,False
chungcumaucamdachinhsua (3),"(36.84, 27.81)",1024x728,2981888,2.8012,False
chungcumaucamdachinhsua (4),"(-102.87, -16.19)",1024x728,2981888,2.7549,False
cuahang_FIX,"(-5.17, 4.47)",1024x700,2867200,2.8874,True
hospital,"(-46.65, 16.41)",2052x1216,9980928,12.3854,True
Hospital_Small_FIXED,"(-49.58, 37.43)",1077x693,2985444,3.5856,True
nhachinhxaydautien (1),"(27.96, -11.05)",1024x807,3305472,1.9185,True
nhachinhxaydautien (10),"(-67.96, 0.95)",1024x807,3305472,1.7756,False
nhachinhxaydautien (11),"(-93.96, -13.05)",1024x807,3305472,1.882,False
nhachinhxaydautien (12),"(-38.04, 45.95)",1024x807,3305472,1.9646,False
nhachinhxaydautien (13),"(3.42, 1.03)",1024x807,3305472,1.7843,False
