frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
247,24.31859,20103200,2305300,3277824,457,457,48800
248,18.2943,15720000,532900,4276224,457,457,84200
249,16.276,19218500,344600,154624,457,457,704100
250,15.5764,19218500,344600,154624,457,457,704100
251,22.2443,16384599,2265200,4185088,0,0,57100
252,18.9972,13661000,2268500,0,457,457,51400
253,15.7959,13915800,3198100,4431872,457,457,685300
254,19.1943,17289300,2404100,3419136,457,457,52500
255,18.8531,17532200,2096900,339968,457,457,56100
256,16.6874,14280200,2360100,4276224,457,457,53400
257,14.9707,17489100,2194100,4498432,456,456,691500
258,17.0077,17232400,2228100,3616768,456,456,52500
259,17.1999,14936500,1985200,3343360,456,456,61700
260,18.0253,13459700,2251700,4576256,456,456,48800
261,17.0443,15418900,2117000,3296256,456,456,727800
262,17.7848,15612700,2364100,3262464,456,456,57700
263,17.1401,16504400,2070500,3251200,456,456,52900
264,17.243,15446300,2164400,3561472,456,456,54300
265,15.6342,15539500,374200,3694592,456,456,1115400
266,19.02849,13732000,354700,160768,456,456,49300
267,17.76801,13947600,2284600,161792,457,457,53100
268,18.0697,13758200,2417400,3799040,457,457,48100
269,17.9039,17259400,2446600,3307520,457,457,752000
270,15.9384,16229199,2303100,3382272,457,457,51700
271,16.2692,16556899,2353400,4448256,457,457,50200
272,17.79269,16390200,2307600,4709376,457,457,64000
273,16.92441,14234700,2390900,3607552,457,457,718500
274,16.15419,14234700,2390900,3607552,457,457,718500
275,23.7382,14753700,330600,161792,0,0,53500
276,16.9423,13630400,2073999,0,457,457,50600
277,15.7449,14599200,2060200,3804160,457,457,701000
278,19.5789,18163400,2349600,3630080,457,457,82600
279,18.829,15141800,2234300,362496,457,457,78900
280,18.8312,14300000,2383100,4661248,457,457,59700
281,19.59799,18049100,2187800,4593664,456,456,714400
282,18.1473,17092200,2405200,3759104,456,456,56400
283,18.1731,15998900,323200,3712000,456,456,51800
284,18.19761,16358000,370500,166912,456,456,52600
285,16.2585,15087300,2240200,165888,456,456,712200
286,17.5928,16684000,2344100,3876864,456,456,54300
287,17.6236,16484400,2335000,3520512,456,456,56200
288,17.8802,14697100,2194000,3356672,456,456,54100
289,17.5905,16107500,2180500,3792896,456,456,692100
290,18.9436,16013200,2274200,3545088,456,456,57200
291,17.9001,16157400,2501700,3794944,456,456,54800
292,17.3861,16045500,2339500,3791872,456,456,52100
293,16.4432,17318500,2266500,3535872,456,456,715900
294,18.4767,16185600,2119900,3767296,456,456,50900
295,16.1215,15881500,2229800,3747840,456,456,51600
296,15.5061,14739700,2527500,3558400,456,456,69400
297,17.30581,16335700,1990100,3510272,456,456,723600
298,19.4984,14666000,2170500,3875840,456,456,47500
299,17.7114,13842500,2151300,3802112,456,456,60700
300,18.0003,15480900,2572300,3524608,456,456,57400
301,17.7903,17205100,337400,3396608,456,456,665600
302,18.1599,14694800,360700,172032,456,456,78000
303,18.1899,14791600,2368600,171008,456,456,54800
304,17.18,16235900,2290500,3415040,456,456,50200
305,20.9706,16476800,2252600,3936256,456,456,694800
306,20.80249,16663200,2385700,3699712,456,456,58200
307,19.7814,15497300,2437800,3415040,456,456,48600
308,21.0249,19359200,2622900,3782656,456,456,50800
309,20.3996,19183800,2478100,3459072,456,456,695700
310,19.2442,16605000,406000,3687424,456,456,53300
311,24.1021,16912800,381400,180224,456,456,61400
312,24.722,16614999,2303000,178176,456,456,666900
313,18.0496,17381500,2416700,3470336,456,456,53600
314,17.2154,22019200,2532500,3933184,456,456,53400
315,17.7828,22986200,2232600,3480576,456,456,54600
316,17.8648,16600600,2195900,4202496,456,456,627200
317,17.6146,15762800,2117600,3533824,456,456,49300
318,15.4328,15013600,404000,3721216,456,456,52900
319,17.21029,14478600,306900,178176,456,456,49900
320,17.2775,14824200,2108500,194560,456,456,671800
321,18.6249,13915800,2245700,5721088,456,456,50500
322,18.6725,15667000,2151000,5343232,456,456,49800
