sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
0,284,9.315366,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0,1,1,0.0666666
1,285,9.343534,approach,-39.2,45.68187,-39.2,45.7,0.01813507,15.14858,119,0,0,0,1,1,0.03849888
2,286,9.401878,approach,-39.2,45.66373,-39.2,45.66373,0,15.194,119,13.25535,172,4,1,1,0.0666666
3,287,9.423438,approach,-39.2,45.6456,-39.2,45.66373,0.01813507,15.194,119,0,0,0,1,1,0.04510689
4,288,9.442729,approach,-39.2,45.62746,-39.2,45.66373,0.03627396,15.194,119,0,0,0,1,1,0.02581596
5,289,9.462373,approach,-39.2,45.60932,-39.2,45.60932,0,15.19827,118,15.194,172,5,1,1,0.0666666
6,290,9.481918,approach,-39.2,45.59119,-39.2,45.60932,0.01813507,15.19827,118,0,0,0,1,1,0.04712105
7,291,9.498316,approach,-39.2,45.57305,-39.2,45.60932,0.03627014,15.19827,118,0,0,0,1,1,0.03072357
8,292,9.51738,approach,-39.2,45.55492,-39.2,45.55492,0,15.27317,118,15.18578,170,6,1,1,0.0666666
9,293,9.538673,approach,-39.2,45.53678,-39.2,45.55492,0.01813507,15.27317,118,0,0,0,1,1,0.04537296
10,294,9.556936,approach,-39.2,45.51865,-39.2,45.55492,0.03627014,15.27317,118,0,0,0,1,1,0.0271101
11,295,9.573352,approach,-39.2,45.50051,-39.2,45.50051,0,15.31084,118,2.508577,172,5,1,1,0.0666666
12,296,9.592093,approach,-39.2,45.48237,-39.2,45.50051,0.01813889,15.31084,118,0,0,0,1,1,0.047925
13,297,9.61065,approach,-39.2,45.46424,-39.2,45.50051,0.03627396,15.31084,118,0,0,0,1,1,0.0293684
14,298,9.628281,approach,-39.2,45.4461,-39.2,45.4461,0,15.34098,117,15.31084,171,5,1,1,0.0666666
15,299,9.646983,approach,-39.2,45.42797,-39.2,45.4461,0.01813507,15.34098,117,0,0,0,1,1,0.0479641
16,300,9.66322,approach,-39.2,45.40983,-39.2,45.4461,0.03627014,15.34098,117,0,0,0,1,1,0.03172684
17,301,9.718309,approach,-39.2,45.3917,-39.2,45.3917,0,15.41374,117,15.37575,171,5,1,1,0.0666666
18,302,9.738557,approach,-39.2,45.37356,-39.2,45.3917,0.01813507,15.41374,117,0,0,0,1,1,0.04641914
19,303,9.758473,approach,-39.2,45.35542,-39.2,45.3917,0.03627396,15.41374,117,0,0,0,1,1,0.02650261
20,304,9.776774,approach,-39.2,45.33729,-39.2,45.33729,0,15.42645,119,15.41374,172,5,1,1,0.0666666
21,305,9.796036,approach,-39.2,45.31915,-39.2,45.33729,0.01813507,15.42645,119,0,0,0,1,1,0.04740524
22,306,9.81312,approach,-39.2,45.30102,-39.2,45.33729,0.03627014,15.42645,119,0,0,0,1,1,0.03032112
23,307,9.83413,approach,-39.2,45.28288,-39.2,45.28288,0,15.50485,116,15.41964,171,4,1,1,0.0666666
24,308,9.851178,approach,-39.2,45.26475,-39.2,45.28288,0.01813507,15.50485,116,0,0,0,1,1,0.04961872
25,309,9.870408,approach,-39.2,45.24661,-39.2,45.28288,0.03627014,15.50485,116,0,0,0,1,1,0.03038883
26,310,9.889259,approach,-39.2,45.22847,-39.2,45.22847,0,15.51792,118,15.50485,169,5,1,1,0.0666666
27,311,9.909513,approach,-39.2,45.21034,-39.2,45.22847,0.01813507,15.51792,118,0,0,0,1,1,0.04641247
28,312,9.928843,approach,-39.2,45.1922,-39.2,45.22847,0.03627014,15.51792,118,0,0,0,1,1,0.02708244
29,313,9.946838,approach,-39.2,45.17407,-39.2,45.17407,0,15.58593,115,15.509,171,4,1,1,0.0666666
30,314,9.965142,approach,-39.2,45.15593,-39.2,45.17407,0.01813507,15.58593,115,0,0,0,1,1,0.04836273
31,315,9.981294,approach,-39.2,45.1378,-39.2,45.17407,0.03627014,15.58593,115,0,0,0,1,1,0.0322113
32,316,10.03618,approach,-39.2,45.11966,-39.2,45.11966,0,15.60812,117,15.58593,171,4,1,1,0.0666666
33,317,10.05729,approach,-39.2,45.10153,-39.2,45.11966,0.01813507,15.60812,117,0,0,0,1,1,0.04555225
34,318,10.07704,approach,-39.2,45.08339,-39.2,45.11966,0.03627396,15.60812,117,0,0,0,1,1,0.0257988
35,319,10.09752,approach,-39.2,45.06525,-39.2,45.06525,0,15.65941,117,1.549626,170,2,1,1,0.0666666
36,320,10.11786,approach,-39.2,45.04712,-39.2,45.06525,0.01813507,15.65941,117,0,0,0,1,1,0.04633427
37,321,10.13438,approach,-39.2,45.02898,-39.2,45.06525,0.03627014,15.65941,117,0,0,0,1,1,0.02981091
38,322,10.15402,approach,-39.2,45.01085,-39.2,45.01085,0,15.70885,113,15.69739,172,4,1,1,0.0666666
39,323,10.17406,approach,-39.2,44.99271,-39.2,45.01085,0.01813507,15.70885,113,0,0,0,1,1,0.04662037
40,324,10.19223,approach,-39.2,44.97458,-39.2,45.01085,0.03627014,15.70885,113,0,0,0,1,1,0.02845192
41,325,10.21263,approach,-39.2,44.95644,-39.2,44.95644,0,15.72333,113,15.68524,173,3,1,1,0.0666666
42,326,10.23403,approach,-39.2,44.9383,-39.2,44.95644,0.01813507,15.72333,113,0,0,0,1,1,0.04526043
43,327,10.25482,approach,-39.2,44.92017,-39.2,44.95644,0.03627014,15.72333,113,0,0,0,1,1,0.02447605
44,328,10.2729,approach,-39.2,44.90203,-39.2,44.90203,0,15.78604,115,15.72333,174,3,1,1,0.0666666
45,329,10.29235,approach,-39.2,44.8839,-39.2,44.90203,0.01813507,15.78604,115,0,0,0,1,1,0.04721928
46,330,10.31032,approach,-39.2,44.86576,-39.2,44.90203,0.03627014,15.78604,115,0,0,0,1,1,0.02925014
47,331,10.36532,approach,-39.2,44.84763,-39.2,44.84763,0,15.82771,111,15.78175,171,3,1,1,0.0666666
48,332,10.39139,approach,-39.2,44.82949,-39.2,44.84763,0.01813889,15.82771,111,0,0,0,1,1,0.04059696
49,333,10.41297,approach,-39.2,44.81136,-39.2,44.84763,0.03627396,15.82771,111,0,0,0,1,1,0.01901436
50,334,10.4334,approach,-39.2,44.79322,-39.2,44.79322,0,15.87439,114,1.299108,170,2,1,1,0.0666666
51,335,10.45651,approach,-39.2,44.77509,-39.2,44.79322,0.01813507,15.87439,114,0,0,0,1,1,0.04355621
52,336,10.48268,approach,-39.2,44.75695,-39.2,44.79322,0.03627014,15.87439,114,0,0,0,1,1,0.01738453
53,337,10.4991,approach,-39.2,44.73882,-39.2,44.73882,0,15.90949,113,15.90949,172,3,1,1,0.0666666
54,338,10.518,approach,-39.2,44.72068,-39.2,44.73882,0.01813507,15.90949,113,0,0,0,1,1,0.04775906
55,339,10.5344,approach,-39.2,44.70255,-39.2,44.73882,0.03627014,15.90949,113,0,0,0,1,1,0.03136539
56,340,10.55278,approach,-39.2,44.68441,-39.2,44.68441,0,15.92505,109,15.8934,173,3,1,1,0.0666666
57,341,10.57121,approach,-39.2,44.66627,-39.2,44.68441,0.01813507,15.92505,109,0,0,0,1,1,0.04823399
58,342,10.59146,approach,-39.2,44.64814,-39.2,44.68441,0.03627014,15.92505,109,0,0,0,1,1,0.02798939
59,343,10.61042,approach,-39.2,44.63,-39.2,44.63,0,15.99761,112,15.92505,173,2,1,1,0.0666666
60,344,10.63053,parallel,-39.7,44.36,-39.7,44.36,0,16.50724,111,16.50996,132,17,1,1,0.0666666
61,345,10.65246,parallel,-39.68151,44.37008,-39.7,44.36,0.0210567,16.50724,111,0,0,0,1,1,0.04472733
62,346,10.7093,parallel,-39.66302,44.38017,-39.66302,44.38017,0,16.47884,116,0.1746936,94,0,1,1,0.0666666
63,347,10.74564,parallel,-39.64454,44.39025,-39.66302,44.38017,0.0210567,16.47884,116,0,0,0,1,1,0.03032875
64,348,10.77078,parallel,-39.62605,44.40034,-39.66302,44.38017,0.04211523,16.47884,116,0,0,0,1,1,0.005186081
65,349,10.7915,parallel,-39.60756,44.41042,-39.60756,44.41042,0,16.41923,115,16.45749,94,2,1,1,0.0666666
66,350,10.81203,parallel,-39.58908,44.42051,-39.60756,44.41042,0.02105853,16.41923,115,0,0,0,1,1,0.04613781
67,351,10.83401,parallel,-39.57059,44.43059,-39.60756,44.41042,0.04211858,16.41923,115,0,0,0,1,1,0.02415752
68,352,10.85622,parallel,-39.5521,44.44067,-39.5521,44.44067,0,16.34164,110,16.30808,95,2,1,1,0.0666666
69,353,10.87532,parallel,-39.53362,44.45076,-39.5521,44.44067,0.0210567,16.34164,110,0,0,0,1,1,0.04756641
70,354,10.89664,parallel,-39.51513,44.46084,-39.5521,44.44067,0.04211858,16.34164,110,0,0,0,1,1,0.02624989
71,355,10.91823,parallel,-39.49664,44.47092,-39.49664,44.47092,0,16.30564,114,0.2637782,94,0,1,1,0.0666666
72,356,10.93887,parallel,-39.47815,44.48101,-39.49664,44.47092,0.02105853,16.30564,114,0,0,0,1,1,0.04602623
