sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
0,1799,39.43666,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0,1,1,0.06666565
1,1800,39.46272,approach,-39.2,45.68187,-39.2,45.7,0.01813507,15.14858,119,0,0,0,1,1,0.04060364
2,1801,39.52832,approach,-39.2,45.66373,-39.2,45.66373,0,15.194,119,13.25535,172,4,1,1,0.06666565
3,1802,39.5628,approach,-39.2,45.6456,-39.2,45.66373,0.01813507,15.194,119,0,0,0,1,1,0.03219223
4,1803,39.58619,approach,-39.2,45.62746,-39.2,45.66373,0.03627396,15.194,119,0,0,0,1,1,0.008804321
5,1804,39.60773,approach,-39.2,45.60932,-39.2,45.60932,0,15.19827,118,15.194,172,5,1,1,0.06666565
6,1805,39.62643,approach,-39.2,45.59119,-39.2,45.60932,0.01813507,15.19827,118,0,0,0,1,1,0.04796219
7,1806,39.64476,approach,-39.2,45.57305,-39.2,45.60932,0.03627014,15.19827,118,0,0,0,1,1,0.02963257
8,1807,39.66272,approach,-39.2,45.55492,-39.2,45.55492,0,15.27317,118,15.18578,170,6,1,1,0.06666565
9,1808,39.68039,approach,-39.2,45.53678,-39.2,45.55492,0.01813507,15.27317,118,0,0,0,1,1,0.04899597
10,1809,39.69995,approach,-39.2,45.51865,-39.2,45.55492,0.03627014,15.27317,118,0,0,0,1,1,0.02944183
11,1810,39.71849,approach,-39.2,45.50051,-39.2,45.50051,0,15.31084,118,2.508577,172,5,1,1,0.06666565
12,1811,39.73686,approach,-39.2,45.48237,-39.2,45.50051,0.01813889,15.31084,118,0,0,0,1,1,0.04829788
13,1812,39.75352,approach,-39.2,45.46424,-39.2,45.50051,0.03627396,15.31084,118,0,0,0,1,1,0.03163147
14,1813,39.77201,approach,-39.2,45.4461,-39.2,45.4461,0,15.34098,117,15.31084,171,5,1,1,0.06666565
15,1814,39.79079,approach,-39.2,45.42797,-39.2,45.4461,0.01813507,15.34098,117,0,0,0,1,1,0.04788208
16,1815,39.81054,approach,-39.2,45.40983,-39.2,45.4461,0.03627014,15.34098,117,0,0,0,1,1,0.02814102
17,1816,39.86592,approach,-39.2,45.3917,-39.2,45.3917,0,15.41374,117,15.37575,171,5,1,1,0.06666565
18,1817,39.88622,approach,-39.2,45.37356,-39.2,45.3917,0.01813507,15.41374,117,0,0,0,1,1,0.04636765
19,1818,39.90839,approach,-39.2,45.35542,-39.2,45.3917,0.03627396,15.41374,117,0,0,0,1,1,0.02419662
20,1819,39.92862,approach,-39.2,45.33729,-39.2,45.33729,0,15.42645,119,15.41374,172,5,1,1,0.06666565
21,1820,39.95148,approach,-39.2,45.31915,-39.2,45.33729,0.01813507,15.42645,119,0,0,0,1,1,0.04380417
22,1821,39.97097,approach,-39.2,45.30102,-39.2,45.33729,0.03627014,15.42645,119,0,0,0,1,1,0.0243187
23,1822,39.99178,approach,-39.2,45.28288,-39.2,45.28288,0,15.50485,116,15.41964,171,4,1,1,0.06666565
24,1823,40.01713,approach,-39.2,45.26475,-39.2,45.28288,0.01813507,15.50485,116,0,0,0,1,1,0.04130936
25,1824,40.03662,approach,-39.2,45.24661,-39.2,45.28288,0.03627014,15.50485,116,0,0,0,1,1,0.02182007
26,1825,40.05828,approach,-39.2,45.22847,-39.2,45.22847,0,15.51792,118,15.50485,169,5,1,1,0.06666565
27,1826,40.08001,approach,-39.2,45.21034,-39.2,45.22847,0.01813507,15.51792,118,0,0,0,1,1,0.04494095
28,1827,40.10074,approach,-39.2,45.1922,-39.2,45.22847,0.03627014,15.51792,118,0,0,0,1,1,0.02421188
