sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,nextScanIn
0,1880,41.81892,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0.06666565
1,1881,41.85017,approach,-39.2,45.67525,-39.2,45.7,0.02474594,15.14858,119,0,0,0.03541183
2,1882,41.9142,approach,-39.2,45.65051,-39.2,45.65051,0,15.194,119,13.25535,173,0.06666565
3,1883,41.94215,approach,-39.2,45.62576,-39.2,45.65051,0.02474594,15.194,119,0,0,0.03872299
4,1884,41.96918,approach,-39.2,45.60102,-39.2,45.65051,0.04949188,15.194,119,0,0,0.01169205
5,1885,41.99274,approach,-39.2,45.57627,-39.2,45.57627,0,15.2343,118,15.194,174,0.06666565
6,1886,42.01702,approach,-39.2,45.55153,-39.2,45.57627,0.02474594,15.2343,118,0,0,0.0423851
7,1887,42.03842,approach,-39.2,45.52678,-39.2,45.57627,0.04949188,15.2343,118,0,0,0.02098465
8,1888,42.05858,approach,-39.2,45.50203,-39.2,45.50203,0,15.31084,118,13.30871,175,0.06666565
9,1889,42.08062,approach,-39.2,45.47729,-39.2,45.50203,0.02474594,15.31084,118,0,0,0.04462814
10,1890,42.10448,approach,-39.2,45.45255,-39.2,45.50203,0.04948807,15.31084,118,0,0,0.02076721
11,1891,42.12619,approach,-39.2,45.4278,-39.2,45.4278,0,15.37652,117,15.31084,176,0.06666565
12,1892,42.1493,approach,-39.2,45.40305,-39.2,45.4278,0.02474594,15.37652,117,0,0,0.04355621
13,1893,42.16993,approach,-39.2,45.37831,-39.2,45.4278,0.04949188,15.37652,117,0,0,0.02292633
14,1894,42.18859,approach,-39.2,45.35356,-39.2,45.35356,0,15.41129,119,15.37652,173,0.06666565
15,1895,42.2125,approach,-39.2,45.32882,-39.2,45.35356,0.02474594,15.41129,119,0,0,0.04275131
16,1896,42.23166,approach,-39.2,45.30407,-39.2,45.35356,0.04949188,15.41129,119,0,0,0.0235939
17,1897,42.29515,approach,-39.2,45.27932,-39.2,45.27932,0,15.50485,116,15.42302,173,0.06666565
18,1898,42.32125,approach,-39.2,45.25458,-39.2,45.27932,0.02474594,15.50485,116,0,0,0.04056549
19,1899,42.34155,approach,-39.2,45.22983,-39.2,45.27932,0.04949188,15.50485,116,0,0,0.02026749
20,1900,42.36241,approach,-39.2,45.20509,-39.2,45.20509,0,15.55255,115,15.50485,173,0.06666565
21,1901,42.38329,approach,-39.2,45.18034,-39.2,45.20509,0.02474594,15.55255,115,0,0,0.045784
22,1902,42.40368,approach,-39.2,45.15559,-39.2,45.20509,0.04949188,15.55255,115,0,0,0.02539444
23,1903,42.42181,approach,-39.2,45.13085,-39.2,45.13085,0,15.59758,117,15.59758,171,0.06666565
24,1904,42.44072,approach,-39.2,45.1061,-39.2,45.13085,0.02474594,15.59758,117,0,0,0.0477562
25,1905,42.46329,approach,-39.2,45.08136,-39.2,45.13085,0.04949188,15.59758,117,0,0,0.025177
26,1906,42.48429,approach,-39.2,45.05661,-39.2,45.05661,0,15.65837,114,15.60576,173,0.06666565
27,1907,42.50511,approach,-39.2,45.03186,-39.2,45.05661,0.02474594,15.65837,114,0,0,0.04585266
28,1908,42.52654,approach,-39.2,45.00712,-39.2,45.05661,0.04949188,15.65837,114,0,0,0.02441788
29,1909,42.54673,approach,-39.2,44.98237,-39.2,44.98237,0,15.72444,116,15.65837,172,0.06666565
30,1910,42.56718,approach,-39.2,44.95763,-39.2,44.98237,0.02474213,15.72444,116,0,0,0.04621124
31,1911,42.58898,approach,-39.2,44.93288,-39.2,44.98237,0.04948807,15.72444,116,0,0,0.02441025
32,1912,42.64662,approach,-39.2,44.90814,-39.2,44.90814,0,15.78175,112,15.78018,172,0.06666565
33,1913,42.67144,approach,-39.2,44.88339,-39.2,44.90814,0.02474594,15.78175,112,0,0,0.04185104
34,1914,42.69072,approach,-39.2,44.85865,-39.2,44.90814,0.04949188,15.78175,112,0,0,0.02256775
35,1915,42.71037,approach,-39.2,44.8339,-39.2,44.8339,0,15.83499,114,15.83499,175,0.06666565
36,1916,42.72963,approach,-39.2,44.80915,-39.2,44.8339,0.02474594,15.83499,114,0,0,0.04740524
37,1917,42.75011,approach,-39.2,44.78441,-39.2,44.8339,0.04949188,15.83499,114,0,0,0.02692795
38,1918,42.76922,approach,-39.2,44.75966,-39.2,44.75966,0,15.882,110,15.83959,174,0.06666565
39,1919,42.789,approach,-39.2,44.73492,-39.2,44.75966,0.02474594,15.882,110,0,0,0.04689026
40,1920,42.80886,approach,-39.2,44.71017,-39.2,44.75966,0.04949188,15.882,110,0,0,0.02702332
41,1921,42.82632,approach,-39.2,44.68542,-39.2,44.68542,0,15.92505,109,15.89237,173,0.06666565
42,1922,42.84863,approach,-39.2,44.66068,-39.2,44.68542,0.02474594,15.92505,109,0,0,0.0443573
43,1923,42.87309,approach,-39.2,44.63593,-39.2,44.68542,0.04949188,15.92505,109,0,0,0.01990509
44,1924,42.89359,approach,-39.2,44.61119,-39.2,44.61119,0,15.96402,108,15.94482,176,0.06666565
45,1925,42.91809,approach,-39.2,44.58644,-39.2,44.61119,0.02474594,15.96402,108,0,0,0.04216003
46,1926,42.94082,approach,-39.2,44.5617,-39.2,44.61119,0.04949188,15.96402,108,0,0,0.01943207
