sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
0,1617,36.48656,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0,1,1,0.06666565
1,1618,36.51809,approach,-39.2,45.68187,-39.2,45.7,0.01813507,15.14858,119,0,0,0,1,1,0.03513718
2,1619,36.58786,approach,-39.2,45.66373,-39.2,45.66373,0,15.194,119,13.25535,172,4,1,1,0.06666565
3,1620,36.61949,approach,-39.2,45.6456,-39.2,45.66373,0.01813507,15.194,119,0,0,0,1,1,0.03503799
4,1621,36.64207,approach,-39.2,45.62746,-39.2,45.66373,0.03627396,15.194,119,0,0,0,1,1,0.01245499
5,1622,36.66298,approach,-39.2,45.60932,-39.2,45.60932,0,15.19827,118,15.194,172,5,1,1,0.06666565
6,1623,36.68623,approach,-39.2,45.59119,-39.2,45.60932,0.01813507,15.19827,118,0,0,0,1,1,0.0434227
7,1624,36.70594,approach,-39.2,45.57305,-39.2,45.60932,0.03627014,15.19827,118,0,0,0,1,1,0.02370834
8,1625,36.72514,approach,-39.2,45.55492,-39.2,45.55492,0,15.27317,118,15.18578,170,6,1,1,0.06666565
9,1626,36.74567,approach,-39.2,45.53678,-39.2,45.55492,0.01813507,15.27317,118,0,0,0,1,1,0.04613876
10,1627,36.76672,approach,-39.2,45.51865,-39.2,45.55492,0.03627014,15.27317,118,0,0,0,1,1,0.02508926
11,1628,36.78616,approach,-39.2,45.50051,-39.2,45.50051,0,15.31084,118,2.508577,172,5,1,1,0.06666565
12,1629,36.80557,approach,-39.2,45.48237,-39.2,45.50051,0.01813889,15.31084,118,0,0,0,1,1,0.04725266
13,1630,36.82739,approach,-39.2,45.46424,-39.2,45.50051,0.03627396,15.31084,118,0,0,0,1,1,0.0254364
14,1631,36.84581,approach,-39.2,45.4461,-39.2,45.4461,0,15.34098,117,15.31084,171,5,1,1,0.06666565
15,1632,36.86671,approach,-39.2,45.42797,-39.2,45.4461,0.01813507,15.34098,117,0,0,0,1,1,0.04576874
16,1633,36.88866,approach,-39.2,45.40983,-39.2,45.4461,0.03627014,15.34098,117,0,0,0,1,1,0.02382278
17,1634,36.95052,approach,-39.2,45.3917,-39.2,45.3917,0,15.41374,117,15.37575,171,5,1,1,0.06666565
18,1635,36.9777,approach,-39.2,45.37356,-39.2,45.3917,0.01813507,15.41374,117,0,0,0,1,1,0.03948975
19,1636,37.00088,approach,-39.2,45.35542,-39.2,45.3917,0.03627396,15.41374,117,0,0,0,1,1,0.01630402
20,1637,37.01984,approach,-39.2,45.33729,-39.2,45.33729,0,15.42645,119,15.41374,172,5,1,1,0.06666565
21,1638,37.0428,approach,-39.2,45.31915,-39.2,45.33729,0.01813507,15.42645,119,0,0,0,1,1,0.04371262
22,1639,37.06101,approach,-39.2,45.30102,-39.2,45.33729,0.03627014,15.42645,119,0,0,0,1,1,0.02549744
23,1640,37.07917,approach,-39.2,45.28288,-39.2,45.28288,0,15.50485,116,15.41964,171,4,1,1,0.06666565
24,1641,37.09982,approach,-39.2,45.26475,-39.2,45.28288,0.01813507,15.50485,116,0,0,0,1,1,0.04602051
25,1642,37.11948,approach,-39.2,45.24661,-39.2,45.28288,0.03627014,15.50485,116,0,0,0,1,1,0.02635574
26,1643,37.14058,approach,-39.2,45.22847,-39.2,45.22847,0,15.51792,118,15.50485,169,5,1,1,0.06666565
27,1644,37.15899,approach,-39.2,45.21034,-39.2,45.22847,0.01813507,15.51792,118,0,0,0,1,1,0.04825592
28,1645,37.17993,approach,-39.2,45.1922,-39.2,45.22847,0.03627014,15.51792,118,0,0,0,1,1,0.02730942
29,1646,37.19895,approach,-39.2,45.17407,-39.2,45.17407,0,15.58593,115,15.509,171,4,1,1,0.06666565
30,1647,37.21783,approach,-39.2,45.15593,-39.2,45.17407,0.01813507,15.58593,115,0,0,0,1,1,0.04779053
31,1648,37.23791,approach,-39.2,45.1378,-39.2,45.17407,0.03627014,15.58593,115,0,0,0,1,1,0.02770996
32,1649,37.29411,approach,-39.2,45.11966,-39.2,45.11966,0,15.60812,117,15.58593,171,4,1,1,0.06666565
33,1650,37.32165,approach,-39.2,45.10153,-39.2,45.11966,0.01813507,15.60812,117,0,0,0,1,1,0.03911972
34,1651,37.3419,approach,-39.2,45.08339,-39.2,45.11966,0.03627396,15.60812,117,0,0,0,1,1,0.01887131
35,1652,37.36163,approach,-39.2,45.06525,-39.2,45.06525,0,15.65941,117,1.549626,170,2,1,1,0.06666565
36,1653,37.38244,approach,-39.2,45.04712,-39.2,45.06525,0.01813507,15.65941,117,0,0,0,1,1,0.04586029
37,1654,37.40294,approach,-39.2,45.02898,-39.2,45.06525,0.03627014,15.65941,117,0,0,0,1,1,0.02536392
38,1655,37.42335,approach,-39.2,45.01085,-39.2,45.01085,0,15.70885,113,15.69739,172,4,1,1,0.06666565
39,1656,37.44276,approach,-39.2,44.99271,-39.2,45.01085,0.01813507,15.70885,113,0,0,0,1,1,0.04725266
40,1657,37.46653,approach,-39.2,44.97458,-39.2,45.01085,0.03627014,15.70885,113,0,0,0,1,1,0.02349091
41,1658,37.48466,approach,-39.2,44.95644,-39.2,44.95644,0,15.72333,113,15.68524,173,3,1,1,0.06666565
42,1659,37.50306,approach,-39.2,44.9383,-39.2,44.95644,0.01813507,15.72333,113,0,0,0,1,1,0.04826736
43,1660,37.52211,approach,-39.2,44.92017,-39.2,44.95644,0.03627014,15.72333,113,0,0,0,1,1,0.02922058
44,1661,37.54072,approach,-39.2,44.90203,-39.2,44.90203,0,15.78604,115,15.72333,174,3,1,1,0.06666565
45,1662,37.56031,approach,-39.2,44.8839,-39.2,44.90203,0.01813507,15.78604,115,0,0,0,1,1,0.04707336
46,1663,37.57954,approach,-39.2,44.86576,-39.2,44.90203,0.03627014,15.78604,115,0,0,0,1,1,0.02784729
47,1664,37.63935,approach,-39.2,44.84763,-39.2,44.84763,0,15.82771,111,15.78175,171,3,1,1,0.06666565
48,1665,37.67001,approach,-39.2,44.82949,-39.2,44.84763,0.01813889,15.82771,111,0,0,0,1,1,0.03601074
49,1666,37.69563,approach,-39.2,44.81136,-39.2,44.84763,0.03627396,15.82771,111,0,0,0,1,1,0.01039124
50,1667,37.71774,approach,-39.2,44.79322,-39.2,44.79322,0,15.87439,114,1.299108,170,2,1,1,0.06666565
51,1668,37.74818,approach,-39.2,44.77509,-39.2,44.79322,0.01813507,15.87439,114,0,0,0,1,1,0.03622437
52,1669,37.77046,approach,-39.2,44.75695,-39.2,44.79322,0.03627014,15.87439,114,0,0,0,1,1,0.01394653
53,1670,37.78853,approach,-39.2,44.73882,-39.2,44.73882,0,15.90949,113,15.90949,172,3,1,1,0.06666565
54,1671,37.80889,approach,-39.2,44.72068,-39.2,44.73882,0.01813507,15.90949,113,0,0,0,1,1,0.04630661
55,1672,37.82716,approach,-39.2,44.70255,-39.2,44.73882,0.03627014,15.90949,113,0,0,0,1,1,0.02803421
56,1673,37.84671,approach,-39.2,44.68441,-39.2,44.68441,0,15.92505,109,15.8934,173,3,1,1,0.06666565
57,1674,37.86768,approach,-39.2,44.66627,-39.2,44.68441,0.01813507,15.92505,109,0,0,0,1,1,0.04570007
