index,distance
0,1.624943
1,1.535078
2,1.456313
3,1.386844
4,1.325242
5,1.270361
6,1.221274
7,1.17722
8,1.137571
9,1.101805
10,1.069482
11,1.040233
12,1.013744
13,0.9897459
14,0.9863561
15,1.009275
16,17.66667
17,17.66667
18,17.66667
19,17.66667
20,17.66667
21,17.66667
22,17.66667
23,0.7504947
24,0.7421515
25,0.7348777
26,0.7286236
27,0.7233487
28,0.7190197
29,0.7156096
30,0.7130951
31,0.7114627
32,0.7107012
33,0.7108065
34,0.7117794
35,0.7136263
36,0.7163573
37,0.7199888
38,0.724546
39,0.7300553
40,0.7365546
41,0.7440845
42,0.7305646
43,0.7150367
44,0.7009904
45,0.6883078
46,0.6768869
47,0.6666362
48,0.6574818
49,0.6493544
50,0.6421999
51,0.6359667
52,0.6306151
53,0.6261078
54,0.6224195
55,0.6195237
56,0.6174029
57,0.6160451
58,0.6154413
59,0.6155885
60,0.616487
61,0.6181408
62,0.6205631
63,0.6237676
64,0.6277738
65,0.6326067
66,0.6382994
67,0.644888
68,0.6524168
69,0.6609377
70,0.6705126
71,0.6812115
72,0.6931154
73,0.7063183
74,0.7209294
75,0.7370749
76,0.7549006
77,0.774577
78,0.7963032
79,0.8203117
80,0.846876
81,0.8763218
82,0.9090369
83,0.9454859
84,0.9862319
85,1.031962
86,1.083523
87,1.141971
88,1.208642
89,1.285243
90,1.373999
91,1.390563
92,1.313446
93,1.240874
94,1.177261
95,1.121151
96,1.071392
97,1.025991
98,0.9795472
99,0.93822
100,0.9012925
101,0.8905324
102,0.8967407
103,0.9114587
104,0.9250602
105,0.9395134
106,0.9556078
107,0.9561264
108,0.9666876
109,0.9826717
110,1.000433
111,2.631634
112,2.597954
113,2.568214
114,2.54221
115,2.519766
116,2.500736
117,2.484995
118,2.472445
119,2.463006
120,2.456623
121,2.453251
122,2.452875
123,2.455488
124,2.46111
125,2.469773
126,2.481532
127,2.496458
128,2.514649
129,2.536219
130,2.561308
131,2.590089
132,2.622753
133,2.659533
134,2.700698
135,2.746555
136,2.797261
137,2.853411
138,2.916159
139,2.984979
140,3.060943
141,3.048045
142,3.021786
143,2.999598
144,2.98134
145,2.966896
146,2.956177
147,2.949112
148,2.945663
149,2.945806
150,2.949544
151,2.956898
152,2.967912
153,2.982658
154,3.001225
155,1.499803
156,1.367687
157,1.317426
158,1.272223
159,1.252047
160,1.271554
161,1.293278
162,1.317391
163,1.344089
164,1.373598
165,1.406186
166,1.442155
167,1.481867
168,1.525739
169,1.554956
170,1.608059
171,1.66702
172,1.732661
173,1.805973
174,1.888165
175,1.954309
176,2.03862
177,1.988039
178,1.847921
179,1.72822
