index,distance
0,1.035872
1,0.9688385
2,0.9109964
3,0.8606604
4,0.8165383
5,0.7776201
6,0.7431083
7,0.7123623
8,0.6848574
9,0.6601741
10,0.637957
11,0.617916
12,0.5998046
13,0.5834134
14,0.568572
15,0.5551215
16,0.5429426
17,0.5319206
18,0.521959
19,0.5129761
20,0.5049052
21,0.4976797
22,0.4912481
23,0.4855629
24,0.4805895
25,0.4762896
26,0.4726391
27,0.4696094
28,0.4671841
29,0.4653473
30,0.4640909
31,0.4634016
32,0.4632788
33,0.4637209
34,0.4647298
35,0.466314
36,0.4684812
37,0.4712452
38,0.474624
39,0.4786385
40,0.4833153
41,0.488686
42,0.4947869
43,0.5016612
44,0.5093588
45,0.5179362
46,0.5274619
47,0.5380118
48,0.5496759
49,0.5625579
50,0.5767772
51,0.5924743
52,0.6098142
53,0.6289882
54,0.6502261
55,0.6737972
56,0.7000272
57,0.7293056
58,0.7621101
59,0.7990232
60,0.8407708
61,0.888264
62,0.9426599
63,1.005459
64,1.078629
65,1.164728
66,1.266908
67,1.390427
68,1.539595
69,1.713184
70,1.738667
71,1.767017
72,1.797674
73,1.831684
74,1.869327
75,1.910927
76,1.956857
77,2.007559
78,2.063538
79,2.12539
80,2.193823
81,2.269666
82,2.353909
83,2.447747
84,2.552613
85,2.535253
86,2.291138
87,2.281338
88,2.274381
89,2.270224
90,2.268841
91,2.270224
92,2.274381
93,2.281338
94,2.291138
95,2.303841
96,2.319528
97,2.338298
98,2.357177
99,2.26318
100,2.178947
101,2.103228
102,2.034991
103,1.968016
104,1.852917
105,3.502777
106,3.417032
107,3.338979
108,17.66667
109,17.66667
110,17.66667
111,17.66667
112,3.111887
113,3.069664
114,3.032218
115,2.999284
116,2.970639
117,2.922268
118,2.954584
119,2.937613
120,2.924377
121,2.914795
122,2.908809
123,2.858004
124,2.936136
125,2.940846
126,2.949172
127,2.961162
128,2.951627
129,2.999523
130,3.020156
131,3.044809
132,3.073644
133,3.063163
134,3.013455
135,2.968895
136,2.817971
137,2.861141
138,2.848445
139,2.811943
140,2.779707
141,2.751518
142,2.660112
143,2.713624
144,2.696501
145,2.682844
146,2.672561
147,2.665593
148,2.589806
149,2.668392
150,2.671196
151,2.677271
152,2.686654
153,2.699404
154,2.627383
155,2.742464
156,2.765943
157,2.79326
158,2.824601
159,0.6684889
160,0.6485058
161,0.6304281
162,0.614059
163,0.5992299
164,0.5942991
165,0.6028806
166,0.6124703
167,0.6231415
168,0.6349806
169,0.6480799
170,0.6625556
171,0.6785406
172,0.6961831
173,0.7156628
174,0.7371902
175,0.7610083
176,0.7874042
177,0.8167319
178,0.8494049
179,1.11433
