slot,id,angle,near,far,side,strength,weight,missedScans
0,73,0.9948376,1.866878,17.66667,-1,31.59958,1,0
1,74,0.7853982,1.941123,17.66667,1,31.45109,1,0
2,75,-0.6806787,0.9986554,4.281672,-1,6.566032,1,0
3,76,-2.426008,0.9614136,3.097099,1,4.271371,1,0
4,77,-3.089233,1.601421,3.409661,-1,3.616481,1,0
5,78,-1.029745,2.286194,3.891749,1,3.21111,1,0
6,79,-1.658063,1.377259,2.752289,1,2.750059,1,0
7,80,3.124139,2.128408,3.180411,1,2.104007,1,0
8,81,-1.343903,1.6879,2.457412,-1,1.539023,1,0
9,82,0.296706,1.452598,2.133564,1,1.361931,1,0
