index,distance
0,1.97523
1,1.847409
2,1.737112
3,1.64113
4,1.556998
5,1.48279
6,1.427522
7,1.439074
8,1.452598
9,2.133564
10,2.448206
11,2.371295
12,2.301789
13,2.238891
14,2.181926
15,2.13032
16,2.083579
17,2.041277
18,2.003052
19,1.968586
20,1.937606
21,1.909879
22,1.941123
23,17.66667
24,17.66667
25,17.66667
26,17.66667
27,17.66667
28,17.66667
29,1.866878
30,1.780977
31,1.778336
32,1.777864
33,1.779561
34,1.783435
35,1.789513
36,1.797828
37,1.808436
38,1.821401
39,1.820664
40,1.770541
41,1.725149
42,1.684028
43,1.64678
44,1.613067
45,1.594501
46,1.566813
47,1.541917
48,1.519622
49,1.499764
50,1.482201
51,1.466811
52,1.453489
53,1.442147
54,1.432715
55,1.435771
56,1.429942
57,1.425892
58,1.423592
59,1.423032
60,1.424208
61,1.427124
62,1.431801
63,1.438267
64,1.446561
65,1.456737
66,1.479745
67,1.493997
68,1.510385
69,1.529021
70,1.550034
71,1.573575
72,1.599823
73,1.62898
74,1.661281
75,1.70948
76,1.749219
77,1.793085
78,1.841511
79,1.894995
80,1.954133
81,2.019621
82,2.107565
83,2.188992
84,2.279852
85,2.381612
86,2.514155
87,2.268395
88,2.132305
89,2.128408
90,3.180411
91,3.409661
92,1.601421
93,1.503154
94,1.417878
95,1.343307
96,1.277667
97,1.219559
98,1.172533
99,1.141287
100,1.103515
101,1.069425
102,1.038605
103,1.010708
104,0.9854409
105,0.9625491
106,0.9418185
107,0.923064
108,0.9103459
109,0.9346132
110,0.9614136
111,3.097099
112,2.786262
113,2.485278
114,2.282199
115,2.11218
116,1.928649
117,1.807445
118,1.702527
119,1.610974
120,1.588031
121,1.519971
122,1.459206
123,1.40476
124,1.355823
125,1.328377
126,1.330298
127,1.333854
128,1.33906
129,1.345958
130,1.354584
131,1.364997
132,1.377259
133,2.752289
134,2.711546
135,2.659525
136,2.612588
137,2.570354
138,2.532501
139,2.498746
140,2.48382
141,2.457412
142,1.6879
143,1.736235
144,1.789665
145,1.848811
146,1.914413
147,1.98735
148,2.086311
149,2.180354
150,2.286194
151,3.891749
152,3.96224
153,3.981935
154,4.006731
155,3.981534
156,4.07585
157,4.117083
158,4.164284
159,4.194789
160,4.281672
161,0.9986554
162,0.9727253
163,0.9492355
164,0.9378555
165,0.9674292
166,1.000189
167,1.036551
168,1.077019
169,1.122197
170,1.172823
171,1.238178
172,1.225032
173,1.264333
174,1.324378
175,1.392193
176,1.469213
177,1.557263
178,1.658689
179,2.124834
