index,distance
0,3.675476
1,3.444786
2,3.245064
3,3.07077
4,2.917615
5,2.764495
6,2.649875
7,2.547359
8,2.458532
9,2.372167
10,2.294361
11,2.224124
12,2.160614
13,2.103122
14,2.051042
15,2.003864
16,1.961139
17,1.922497
18,1.810943
19,1.463826
20,1.247964
21,1.088737
22,0.9431949
23,0.8489806
24,0.7727334
25,0.7098493
26,0.657169
27,0.61246
28,0.574106
29,0.5408903
30,0.5118983
31,0.4743498
32,0.4523838
33,0.4328637
34,0.4154462
35,0.399844
36,0.3858252
37,0.3731937
38,0.3617903
39,0.3514791
40,0.3421446
41,0.3336889
42,0.3260288
43,0.3190923
44,0.3128187
45,0.3071532
46,0.3020516
47,0.2974721
48,0.2933824
49,0.2897513
50,0.2865541
51,0.2837687
52,0.281376
53,0.2793617
54,0.2777106
55,0.2764155
56,0.2754653
57,0.2748553
58,0.2745838
59,0.2746416
60,0.2750422
61,0.2757744
62,0.2768528
63,0.2782769
64,0.280059
65,0.2822132
66,0.2847469
67,0.2876819
68,0.2910363
69,0.2948307
70,0.2991014
71,0.303865
72,0.3013041
73,0.307043
74,0.3133859
75,0.3203986
76,0.3281398
77,0.3366832
78,0.3461239
79,0.3565478
80,0.3680844
81,0.3808735
82,0.395077
83,0.4109064
84,0.4286011
85,0.4484558
86,0.4708413
87,0.4962181
88,0.5251631
89,0.5584151
90,0.5969353
91,0.6420079
92,0.6953585
93,0.7407292
94,0.7000232
95,0.6643285
96,0.6328282
97,0.6048816
98,0.5799777
99,0.5576986
100,0.5451326
101,0.5524908
102,0.5370294
103,0.5213665
104,0.5071909
105,0.4943544
106,0.4827218
107,0.4721908
108,0.462658
109,0.4540447
110,0.4462796
111,0.4393032
112,0.4330652
113,0.4275093
114,0.4225994
115,0.4183104
116,0.4146078
117,0.4114656
118,0.4088659
119,0.4067926
120,0.4052303
121,0.4041692
122,0.4036036
123,0.4035327
124,0.4039524
125,0.4048671
126,0.4062823
127,0.4082081
128,0.4106529
129,0.4136346
130,0.4171721
131,0.4212881
132,0.4260105
133,0.4313713
134,0.464764
135,0.4719443
136,0.4799432
137,0.4888245
138,0.4986595
139,0.5095324
140,0.5215374
141,0.5347919
142,0.5494218
143,0.5655849
144,0.5834597
145,0.6032615
146,0.6252426
147,0.6497055
148,0.6770208
149,0.7076309
150,0.7420927
151,0.7810796
152,1.96461
153,2.10245
154,2.264053
155,2.446233
156,1.411037
157,1.359183
158,1.45048
159,1.6122
160,1.817005
161,2.194084
162,2.090504
163,2.121036
164,2.164867
165,2.213306
166,2.266787
167,2.325822
168,2.381968
169,2.453722
170,2.533117
171,2.621123
172,2.718889
173,2.817093
174,2.938395
175,3.074526
176,3.21572
177,3.38903
178,3.586702
179,3.834959
