slot,id,angle,near,far,side,strength,weight,missedScans
0,173,-1.797689,2.936459,17.66667,1,29.46042,1,0
1,174,-2.216568,3.128286,17.66667,1,29.07676,1,0
2,175,-2.111849,3.135156,17.66667,-1,29.06302,1,0
3,176,-1.69297,3.162134,17.66667,-1,29.00907,1,0
4,177,-2.286381,3.21799,17.66667,-1,28.89736,1,0
5,178,-2.879793,4.499964,17.66667,1,20.95563,1,0
6,179,3.124139,4.682966,6.679782,-1,3.053863,1,0
7,180,-0.296706,4.733728,6.006986,-1,1.926396,1,0
8,181,-3.01942,4.363992,5.184427,1,1.346457,1,0
9,182,-0.2617996,4.011383,4.733728,-1,1.289683,1,0
10,183,-0.2268928,3.483987,4.011383,-1,1.054793,1,0
11,184,3.089233,5.851334,6.679782,1,1.014012,1,0
