index,distance
0,1.963103
1,1.836139
2,1.726576
3,1.631227
4,1.547645
5,1.47392
6,1.408536
7,1.350283
8,1.298176
9,1.251408
10,1.209316
11,1.171343
12,1.137026
13,1.105971
14,1.077846
15,1.052366
16,1.029289
17,1.008403
18,0.98953
19,0.972514
20,0.9572193
21,0.9435304
22,0.9313461
23,0.9205795
24,0.9111564
25,0.9030135
26,0.8960972
27,0.8903619
28,0.885772
29,0.882299
30,0.8799207
31,0.8786234
32,0.8783982
33,0.879244
34,0.8811654
35,0.8841758
36,0.8882924
37,0.893541
38,0.8999548
39,0.9075757
40,0.9164526
41,0.9266449
42,0.9382222
43,0.9512661
44,0.9658718
45,0.9821482
46,1.000222
47,1.020239
48,1.04237
49,1.066811
50,1.09379
51,1.123574
52,1.156474
53,1.192855
54,1.233151
55,1.277876
56,1.327645
57,1.383203
58,1.44545
59,1.515499
60,1.594723
61,1.684855
62,1.788093
63,1.907283
64,2.046171
65,2.209778
66,2.405008
67,2.641606
68,2.933801
69,3.19332
70,3.240818
71,3.293824
72,3.352544
73,3.416523
74,3.487323
75,3.565554
76,3.651929
77,3.747271
78,3.852544
79,3.968879
80,4.097606
81,4.240302
82,4.398847
83,4.5755
84,4.772996
85,4.994668
86,5.244634
87,5.528028
88,5.851334
89,6.679782
90,4.682966
91,4.389163
92,4.337042
93,4.363992
94,5.184427
95,4.909244
96,4.716347
97,4.499964
98,17.66667
99,17.66667
100,17.66667
101,17.66667
102,17.66667
103,17.66667
104,17.66667
105,17.66667
106,17.66667
107,17.66667
108,17.66667
109,17.66667
110,17.66667
111,17.66667
112,17.66667
113,17.66667
114,17.66667
115,3.21799
116,3.128286
117,17.66667
118,17.66667
119,17.66667
120,3.135156
121,3.075069
122,2.950395
123,2.947931
124,2.949062
125,2.953793
126,2.962155
127,2.970691
128,2.936459
129,17.66667
130,17.66667
131,17.66667
132,3.162134
133,3.152491
134,3.232756
135,3.280145
136,3.333067
137,3.360665
138,3.490123
139,3.563016
140,3.643554
141,3.681101
142,3.866767
143,3.976167
144,4.049685
145,4.270435
146,4.420182
147,4.589023
148,4.764783
149,4.843193
150,4.863668
151,4.794522
152,4.908482
153,4.931776
154,4.961366
155,5.004558
156,5.047404
157,5.097255
158,5.161775
159,5.226784
160,5.299993
161,5.389574
162,5.480989
163,5.477086
164,5.702937
165,5.827353
166,5.973193
167,6.12507
168,6.301636
169,6.487116
170,6.684843
171,6.006986
172,4.733728
173,4.011383
174,3.483987
175,3.078303
176,2.756816
177,2.498883
178,2.287636
179,2.111693
