index,distance
0,0.9353447
1,0.8692238
2,0.8173273
3,0.7721686
4,0.7325819
5,0.6976662
6,0.6667049
7,0.6391169
8,0.6144416
9,0.592296
10,0.5723633
11,0.554383
12,0.5381337
13,0.5234274
14,0.5101107
15,0.4980443
16,0.4871177
17,0.4772294
18,0.4682909
19,0.4602336
20,0.4529903
21,0.4465094
22,0.4407377
23,0.4356389
24,0.4311754
25,0.4273187
26,0.4240426
27,0.4213243
28,0.4191479
29,0.4175007
30,0.4163736
31,0.4157552
32,0.4156449
33,0.4160416
34,0.4169475
35,0.4183673
36,0.4203115
37,0.4227922
38,0.4258229
39,0.4294252
40,0.4336209
41,0.4384403
42,0.4439134
43,0.4500805
44,0.4569863
45,0.4646826
46,0.4732287
47,0.4826937
48,0.4931583
49,0.5047153
50,0.5174725
51,0.5315573
52,0.5471129
53,0.5643157
54,0.5833703
55,0.6045175
56,0.6280512
57,0.6543198
58,0.68375
59,0.7168688
60,0.7543239
61,0.7969339
62,0.8457366
63,0.9020796
64,0.946876
65,0.9533899
66,0.9611749
67,0.9702772
68,0.9807622
69,0.9926982
70,1.006168
71,1.021272
72,1.038118
73,1.05684
74,1.077585
75,1.10053
76,1.125875
77,1.153851
78,1.184737
79,1.218846
80,1.256552
81,1.298302
82,1.344612
83,1.396113
84,1.453557
85,1.517862
86,1.590146
87,1.671796
88,1.764552
89,1.870622
90,1.992838
91,2.134924
92,2.301847
93,2.500392
94,2.74007
95,3.034663
96,3.404878
97,3.883366
98,3.780282
99,3.637078
100,3.539937
101,3.413691
102,3.299027
103,3.231638
104,3.138114
105,3.053468
106,3.102952
107,2.966172
108,3.393795
109,3.325733
110,3.263282
111,3.257318
112,17.66667
113,0.8380609
114,0.8274065
115,0.8180054
116,0.80979
117,0.8027068
118,0.7967092
119,0.7917567
120,0.7878187
121,0.7848719
122,0.7828981
123,0.7818838
124,0.7818242
125,0.7827176
126,0.7845695
127,0.7873927
128,0.7912025
129,0.7960252
130,0.8018905
131,0.808834
132,0.8168402
133,0.8258137
134,0.8360177
135,0.8475227
136,0.8604113
137,0.9167247
138,0.9338093
139,0.9527237
140,0.973632
141,0.9967201
142,1.022205
143,1.05034
144,1.081425
145,1.115805
146,1.153578
147,1.195123
148,1.297988
149,1.352885
150,1.414431
151,1.483739
152,1.562186
153,1.650403
154,1.690754
155,1.742198
156,1.788639
157,1.806732
158,1.827446
159,1.850921
160,1.877323
161,1.906848
162,1.904697
163,1.936557
164,2.020566
165,2.065276
166,2.114642
167,2.169138
168,2.229301
169,2.203944
170,2.374003
171,2.45565
172,2.546325
173,2.618719
174,17.66667
175,3.014145
176,3.035498
177,3.203314
178,3.388035
179,1.004824
