index,distance
0,1.696074
1,1.602275
2,1.520062
3,1.43861
4,1.364859
5,1.299808
6,1.242121
7,1.190724
8,1.144752
9,1.103493
10,1.066357
11,1.032858
12,1.002583
13,0.9751873
14,0.9503747
15,0.9536517
16,0.9712973
17,0.9545667
18,0.9466473
19,0.976176
20,17.66667
21,17.66667
22,17.66667
23,17.66667
24,17.66667
25,17.66667
26,17.66667
27,17.66667
28,0.7687389
29,0.7650926
30,0.7624044
31,0.7606592
32,0.7598451
33,0.759958
34,0.7609983
35,0.7629719
36,0.7658913
37,0.7697753
38,0.7746469
39,0.7805377
40,0.7874859
41,0.7955362
42,0.8047434
43,0.8151714
44,0.826894
45,0.8399968
46,0.830034
47,0.8174648
48,0.8062393
49,0.7962739
50,0.7874994
51,0.7798567
52,0.7732934
53,0.7677677
54,0.7632436
55,0.7596928
56,0.7570927
57,0.755428
58,0.7546872
59,0.7548673
60,0.7559683
61,0.7579983
62,0.7609679
63,0.7648967
64,0.7698088
65,0.7757363
66,0.7827167
67,0.7907956
68,0.8000275
69,0.8104776
70,0.8222187
71,0.8353379
72,0.849935
73,0.8661253
74,0.884042
75,0.9038402
76,0.9256995
77,0.9498281
78,0.9764695
79,1.005909
80,1.038485
81,1.074593
82,1.11471
83,1.159405
84,1.20937
85,1.265447
86,1.328674
87,1.400347
88,1.482102
89,1.576035
90,1.537485
91,1.4462
92,1.362942
93,1.287634
94,1.221625
95,1.1634
96,1.111767
97,1.065765
98,1.024617
99,0.9876871
100,0.9667929
101,0.9798361
102,0.9944643
103,0.9930057
104,1.002445
105,1.013311
106,1.025679
107,2.849801
108,2.796435
109,2.748317
110,2.705067
111,2.666357
112,1.780952
113,1.734447
114,1.689481
115,1.582022
116,1.473689
117,1.36282
118,1.315263
119,1.315194
120,1.346585
121,2.48184
122,2.48105
123,2.483284
124,2.488558
125,2.496902
126,2.508368
127,2.523028
128,2.540975
129,2.562323
130,2.587211
131,2.615807
132,2.648304
133,2.684931
134,2.725953
135,2.771677
136,2.822458
137,2.878708
138,2.940902
139,3.009589
140,3.02174
141,2.993458
142,2.969285
143,2.949063
144,2.934175
145,2.923222
146,2.91589
147,2.912134
148,2.91193
149,2.901112
150,2.907999
151,2.918482
152,2.932627
153,2.950522
154,2.965732
155,1.284851
156,1.263308
157,1.188911
158,1.178068
159,1.194705
160,1.213318
161,1.234047
162,1.257056
163,1.282531
164,1.310689
165,1.341784
166,1.376106
167,1.414
168,1.451364
169,1.482856
170,1.533498
171,1.589724
172,1.652322
173,1.722234
174,1.800615
175,1.862658
176,1.943014
177,2.033207
178,1.928812
179,1.803871
