frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
3138,25.0238,23097200,2826500,3743744,510,510,44600
3139,22.029,22288600,2875600,3734528,510,510,41300
3140,21.23919,21196400,2803100,3753984,510,510,800400
3141,22.6748,23297600,2575500,3625984,510,510,43500
3142,22.5404,20287500,2971300,3723264,510,510,42300
3143,20.013,19553400,2989700,3620864,510,510,58100
3144,19.563,20434300,2912600,3696640,510,510,766100
3145,25.6834,20963000,2650100,3706880,510,510,44300
3146,20.347,18515200,2870600,3747840,510,510,37800
3147,22.12,17704500,2739900,3752960,510,510,863800
3148,22.2515,24121600,2700400,3719168,510,510,43600
3149,21.5741,18412100,3525200,3793920,510,510,64500
3150,36.99619,20569800,3434800,3709952,510,510,916600
3151,31.55991,20379100,2948500,3729408,510,510,39600
3152,21.2163,19543900,4428000,3763200,510,510,39300
3153,22.5765,34067000,3111900,3722240,510,510,796800
3154,20.0097,30075500,3099200,3700736,510,510,48800
3155,19.5967,19701300,2816000,3623936,510,510,43800
3156,21.9984,21099500,2711100,3645440,510,510,39400
3157,19.1955,18468900,2478500,3728384,510,510,806200
3158,20.1416,17787200,2803700,3666944,510,510,37700
3159,27.67801,20072100,2573100,3712000,510,510,64200
3160,20.0832,17437800,2621600,3691520,510,510,747900
3161,20.4918,18426400,3360400,3667968,510,510,47600
3162,18.7254,25743200,2582300,3704832,510,510,48000
3163,18.2364,18228700,2388000,3742720,510,510,75400
3164,16.7976,19099000,2453400,3715072,510,510,754700
3165,16.9511,17264200,2434100,3715072,510,510,41900
3166,18.82591,16767199,2290200,3757056,510,510,45900
3167,21.71509,15151300,2153700,3709952,510,510,41400
3168,20.8262,15547800,2478700,3740672,510,510,879900
3169,22.61119,16974700,2722400,3689472,510,510,40100
3170,21.4833,20223900,2696900,3735552,510,510,68100
3171,18.603,19281100,2775500,3704832,510,510,45400
3172,23.1378,21047500,2749400,3755008,510,510,1203900
3173,35.2945,19828100,2463200,3732480,510,510,38100
3174,21.7628,17023900,4266700,3751936,510,510,43200
3175,23.9914,20845400,3163700,3661824,510,510,1028200
3176,21.1209,32560400,2601000,3728384,510,510,44600
3177,21.167,20320700,3309600,3709952,510,510,45600
3178,24.2831,22377200,2564500,3742720,510,510,43000
3179,19.7674,19730400,2920500,3753984,510,510,731200
3180,22.4138,19303700,3478500,3683328,510,510,89800
3181,21.0514,22540700,2578800,3691520,510,510,54400
3182,22.327,18168800,2648000,3685376,510,510,39300
3183,20.8895,20925400,2720700,3602432,510,510,954300
3184,21.2837,18271800,2452000,3768320,510,510,47100
3185,20.938,20665900,2699600,3686400,510,510,42300
3186,22.172,19251300,2860700,3743744,510,510,51000
3187,18.5867,19709000,2532800,3762176,510,510,1068900
3188,24.3409,19505500,2646800,3744768,510,510,58500
3189,25.9591,20628800,2695300,3716096,510,510,51300
3190,22.3852,16872100,3045500,3762176,510,510,732500
3191,20.3865,22717100,3754400,3686400,510,510,40800
3192,18.9749,23508100,2852600,3715072,510,510,42400
3193,18.2931,20466700,2358000,3696640,510,510,56600
3194,19.6024,19050600,2431200,3736576,510,510,843600
3195,17.4225,17483100,2683400,3712000,510,510,77000
3196,23.3559,16762599,2609000,3652608,510,510,38500
3197,20.6476,17846200,2166000,3712000,510,510,81100
3198,18.7541,15871200,3390200,3744768,510,510,824900
3199,19.1415,20612900,2741300,3737600,510,510,36200
3200,16.8749,19308900,2843500,3705856,510,510,42100
3201,16.8586,17190500,2648700,3703808,510,510,51600
3202,18.1246,17517400,2472600,3729408,510,510,809500
3203,19.7928,15354700,2231400,3737600,510,510,58700
3204,18.0691,15356800,2417700,3689472,510,510,50300
3205,18.1069,16633099,2585500,3731456,510,510,46200
3206,16.2892,18303500,2554800,3751936,510,510,749300
3207,17.5747,16489600,2444700,3693568,510,510,35900
3208,16.8397,16415500,2222600,3739648,510,510,47800
3209,16.8058,14834500,2451600,3752960,510,510,36500
3210,18.1934,16159099,2560500,3699712,510,510,750000
3211,19.5767,15183000,2406600,3699712,510,510,40100
3212,18.9186,15272800,2266800,3735552,510,510,33900
3213,16.5007,16747000,2568100,3697664,510,510,47700
3214,18.3808,18209500,2709400,3713024,510,510,758900
3215,19.048,17261700,2296400,3706880,510,510,36200
3216,19.994,14904500,2431100,3712000,510,510,39100
3217,17.2967,16884000,2421500,3725312,510,510,78500
3218,18.41191,17607100,2620400,3631104,510,510,831900
3219,17.7656,18623000,2515200,3708928,510,510,39200
3220,18.9528,15729100,2546700,3707904,510,510,44700
3221,19.0981,16930100,2323000,3701760,510,510,47800
3222,16.722,16203399,2500100,3747840,510,510,760800
3223,18.0916,17297600,2723400,3686400,510,510,107100
3224,17.2688,17280900,2368700,3716096,510,510,36000
3225,17.0415,15255400,2482500,3739648,510,510,50500
3226,18.1521,16588800,2552100,3554304,510,510,734100
3227,19.3905,15551400,2404300,3745792,510,510,38400
3228,20.0201,15477000,2588300,3737600,510,510,43300
3229,18.3992,16727699,2783600,3690496,510,510,73900
3230,16.8341,17989100,2411100,3722240,510,510,747500
3231,19.3927,18610400,2498900,3692544,510,510,43700
3232,16.4713,16884700,2263800,3683328,510,510,37200
3233,18.2373,15266700,2574600,3755008,510,510,39100
3234,17.2642,17412700,2462300,3699712,510,510,751000
3235,17.0816,14936000,2487400,3689472,510,510,40200
3236,16.9785,16769700,2445800,3733504,510,510,40300
3237,19.0998,15724200,2146000,3686400,510,510,38200
3238,16.8725,15494800,2346900,3747840,510,510,881500
3239,18.5527,15520700,2452600,3723264,510,510,36700
3240,18.5535,17262300,2401000,3730432,510,510,40500
3241,19.72631,15437100,2196500,3678208,510,510,49700
3242,18.26219,17004200,2573200,3665920,510,510,749900
3243,17.1688,16884500,2460600,3752960,510,510,45300
3244,18.6134,18129000,2572600,3705856,510,510,40200
3245,16.7568,16688099,2280200,3606528,510,510,43200
3246,18.1574,15737100,2577700,3735552,510,510,751500
3247,18.0954,17153000,2246300,3681280,510,510,49100
3248,18.6557,15029000,2531200,3781632,510,510,48200
3249,16.92981,16643100,2177900,3699712,510,510,63700
3250,16.8021,16733699,2487200,3756032,510,510,763600
3251,17.2028,16987100,2380800,3756032,510,510,40600
3252,17.5151,15378700,2380800,3709952,510,510,40300
3253,17.5136,15235300,2281300,3682304,510,510,44700
3254,17.7321,15801800,2448300,3707904,510,510,912000
3255,19.6162,15848300,2234300,3708928,510,510,47300
3256,17.3379,15826500,2637400,3727360,510,510,43400
3257,17.4736,16230599,2544200,3716096,510,510,68200
3258,17.9908,18097800,2324100,3731456,510,510,746500
3259,18.833,15772300,2651600,3715072,510,510,46500
3260,16.5388,15975300,2274700,3762176,510,510,45300
3261,16.59201,16369700,2534500,3732480,510,510,73600
3262,16.6281,17162300,2302500,3714048,510,510,739300
3263,19.5007,15094500,2586200,3656704,510,510,39500
3264,16.9659,15121800,2396800,3675136,510,510,42100
3265,16.6995,14946100,2589800,3724288,510,510,46800
3266,16.4989,17995900,2369900,3737600,510,510,765400
3267,19.6581,15294500,2123700,3563520,510,510,48700
3268,16.8697,15211900,2323500,3709952,510,510,39000
3269,16.7079,14988900,2672200,3722240,510,510,45400
3270,16.9141,18025000,2329600,3698688,510,510,742500
3271,16.9333,15343000,2931600,3707904,510,510,42000
3272,19.937,15155900,2336500,3686400,510,510,42400
3273,17.1587,15297800,2223000,3708928,510,510,37500
3274,18.2862,15485100,2427900,3738624,510,510,720300
3275,16.9774,18507000,2487000,3739648,510,510,39300
3276,16.5669,15526500,2526800,3602432,510,510,63900
3277,16.7244,16573899,2376500,3683328,510,510,50700
3278,17.3134,15529500,2228500,3730432,510,510,828700
3279,17.0902,15081700,2395900,3690496,510,510,46000
3280,19.4978,15130700,2270100,3738624,510,510,44900
3281,19.035,15640400,2303200,3736576,510,510,53000
3282,19.0866,15658800,2501500,3821568,510,510,822000
3283,17.7989,18016400,2431900,3562496,510,510,34300
3284,17.2308,17575100,3123900,3713024,510,510,45200
3285,17.3313,17554800,2355200,3698688,510,510,44300
3286,19.195,16311699,2401500,3746816,510,510,736100
3287,19.9129,15763200,2319200,3680256,510,510,52500
3288,19.87071,15827700,2340900,3638272,510,510,47800
3289,18.4246,17681300,2413700,3693568,510,510,48500
3290,17.7387,18440800,2549200,3910656,510,510,822100
3291,18.0906,18372000,2672300,3676160,510,510,40500
3292,16.8092,16764399,2363500,3752960,510,510,41500
3293,19.32521,16194800,2478300,3721216,510,510,42900
3294,18.3993,16267600,2247700,3733504,510,510,1008700
3295,19.9974,15295300,2696600,3753984,510,510,36900
3296,21.6445,17776400,2524700,3725312,510,510,60100
3297,18.1729,16861400,2911300,3968000,510,510,56300
3298,19.7429,18315100,2789600,3758080,510,510,894300
3299,17.98,19998700,2551900,3672064,510,510,56100
3300,20.7697,16595900,2942700,3681280,510,510,59500
3301,18.8797,18176400,2649600,3731456,510,510,54600
3302,17.8374,16305000,2918900,3767296,510,510,773900
3303,19.0151,18993000,2893000,3739648,510,510,39700
3304,17.3492,16994400,2308800,3698688,510,510,39300
3305,18.1859,16153099,2596200,3725312,510,510,50100
3306,16.93781,17479100,2330200,3738624,510,510,762600
3307,20.3539,15577200,2462400,3716096,510,510,43200
3308,17.6805,16821300,2342600,3685376,510,510,44300
3309,19.2861,15234800,2662900,3696640,510,510,41900
3310,20.7823,18540400,2391500,3740672,510,510,746600
3311,20.929,15999200,2537100,3703808,510,510,72600
3312,17.6238,17649500,2531800,3697664,510,510,44900
3313,17.9837,19273000,2500500,3677184,510,510,50800
3314,19.182,19433100,2444500,3738624,510,510,723600
3315,19.0815,16100100,2320800,3733504,510,510,53100
3316,17.2752,16488700,2862700,3620864,510,510,37700
3317,16.5121,17756800,2570600,3698688,510,510,46100
3318,19.6544,17621900,2268300,3719168,510,510,747700
3319,18.2853,15557000,2320600,3717120,510,510,36000
3320,16.6905,15008300,2780100,3700736,510,510,47800
3321,18.4482,17841100,2305700,3734528,510,510,41300
3322,18.4701,16924100,2559400,3683328,510,510,741100
3323,18.8006,15115600,2362500,3683328,510,510,50000
3324,17.0298,16733000,2590300,3650560,510,510,45800
3325,17.8884,16831100,2563800,3690496,510,510,60400
3326,16.9257,17402600,2357500,3739648,510,510,752100
3327,19.054,15550100,2461200,3710976,510,510,40800
3328,17.0644,16440000,2457600,3767296,510,510,34600
3329,18.0544,15314800,2593500,3688448,510,510,63300
3330,17.28061,17451200,2209600,3726336,510,510,764400
3331,19.8261,15655800,2664600,3750912,510,510,39300
3332,17.9959,16606500,2386800,3783680,510,510,42200
3333,19.2271,15519800,2636400,3703808,510,510,40300
3334,21.0642,18353500,2187700,3708928,510,510,834400
3335,19.0618,16336900,2510700,3710976,510,510,47400
3336,20.5594,17506300,2572700,3742720,510,510,56600
3337,20.4635,19582500,2709400,3632128,510,510,38100
3338,20.4826,17580000,2771400,3726336,510,510,755600
3339,18.7191,18967600,2458300,3736576,510,510,42900
3340,19.1074,18674300,2525600,3604480,510,510,36700
3341,18.4841,19015400,2407500,3727360,510,510,41700
3342,18.0023,17127400,2784700,3661824,510,510,809200
3343,18.8497,16984700,2175300,3736576,510,510,51400
3344,16.8988,17010500,2705500,3686400,510,510,49200
3345,17.8217,16340100,2358800,3700736,510,510,60600
3346,17.0752,17348600,2343600,3724288,510,510,760400
3347,19.747,15282600,2548900,3728384,510,510,36800
3348,19.6246,16338899,2303300,3692544,510,510,39300
3349,17.147,15570300,2590600,3713024,510,510,33400
3350,17.9459,18146900,2814100,3691520,510,510,742600
3351,17.4477,18067200,2659900,3675136,510,510,54400
3352,18.2195,15461600,2605200,3715072,510,510,51200
3353,16.6484,16394300,2244000,3729408,510,510,48500
3354,17.9114,15697900,2509400,3694592,510,510,742500
3355,17.3267,16773599,2537900,3743744,510,510,50200
3356,18.95329,15166400,2469200,3765248,510,510,33400
3357,17.3693,16102900,2141100,3682304,510,510,52200
3358,17.8573,15742300,2471000,3697664,510,510,809500
3359,17.6978,17463600,2506100,3705856,510,510,38000
3360,17.2381,15628600,2472700,3689472,510,510,48300
3361,17.1844,16161800,2486400,3768320,510,510,46600
3362,19.0341,15957000,2332900,3745792,510,510,834800
3363,18.418,15674500,2513600,3756032,510,510,44700
3364,18.2692,15732300,2583300,3697664,510,510,38900
3365,20.8563,17510500,2397400,3726336,510,510,51400
3366,18.5366,16964700,2475600,3697664,510,510,718800
3367,20.61,16678000,2477400,3760128,510,510,42800
3368,16.932,19452900,2787100,3746816,510,510,39100
3369,16.4818,17035200,2424100,3610624,510,510,66400
3370,16.5907,19175900,2274000,3710976,510,510,734100
3371,18.6943,15491500,2470900,3609600,510,510,40200
3372,16.9406,14932500,2417700,3627008,510,510,52300
3373,19.193,15110600,2524300,3787776,510,510,46200
3374,17.9487,17273200,2167600,3733504,510,510,763600
3375,19.4705,15473000,2565200,3739648,510,510,48900
3376,18.5624,17658000,2713700,3724288,510,510,47200
3377,16.93289,16482500,2599400,3708928,510,510,48300
