frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
1689,22.0606,20455900,3345000,3920896,382,382,46000
1690,20.0941,21919400,2654700,3942400,382,382,687500
1691,22.6361,22158100,2443600,3956736,382,382,51900
1692,21.1758,20235500,2243000,3928064,382,382,60800
1693,18.943,17497500,2719700,3971072,382,382,49600
1694,22.1143,20988800,2469300,3972096,382,382,697400
1695,19.9411,19131800,2288800,3938304,382,382,45700
1696,20.4507,17135000,2628600,3954688,382,382,47700
1697,20.5084,20594600,2207900,3932160,382,382,54900
1698,20.0907,18157100,2617200,3953664,382,382,836500
1699,19.1732,18518800,2123000,3929088,382,382,64800
1700,19.57939,18690900,2181000,3931136,382,382,120000
1701,22.48061,18438600,2079100,3885056,382,382,49200
1702,21.7178,17591900,2254100,3946496,382,382,675300
1703,20.9234,17110200,2331000,3962880,382,382,49100
1704,22.7629,20388100,2189000,3975168,382,382,60500
1705,20.0094,20040900,2077100,3933184,382,382,50300
1706,23.9597,19192200,2505900,3953664,382,382,841000
1707,22.8297,21338600,2279200,3936256,382,382,45100
1708,20.9166,18426200,2408000,3957760,382,382,44900
1709,22.3238,21757700,2345600,3922944,382,382,44000
1710,20.4827,20720300,2154400,3953664,382,382,674400
1711,21.3989,19056900,2485200,3946496,382,382,58000
1712,22.7353,20584100,2342800,3959808,382,382,47400
1713,20.0564,18781400,2395300,3948544,382,382,107600
1714,20.4808,19601500,2632500,3964928,382,382,684900
1715,22.4042,20753600,2871700,3921920,382,382,120300
1716,20.0049,18330700,2431100,3956736,382,382,110200
1717,20.6708,18833600,2245100,3883008,382,382,47800
1718,21.8139,20273400,2118600,4070400,382,382,792800
1719,20.1938,18026200,2265300,3954688,382,382,95200
1720,24.1867,18718500,2250900,3958784,382,382,42700
1721,19.8281,19935800,1854600,3922944,382,382,44700
1722,20.7012,18648200,2883200,3968000,382,382,916200
1723,22.2859,22461200,2245300,3866624,382,382,44500
1724,20.295,17981200,2464100,3968000,382,382,50700
1725,21.4824,18657200,2224200,3934208,382,382,42500
1726,21.5731,20618000,2244400,3978240,382,382,714500
1727,20.08529,18177900,2275600,3942400,382,382,47400
1728,23.0709,19870700,2650700,3987456,382,382,48300
1729,20.7918,20052100,2503900,3927040,382,382,48700
1730,21.9223,18376700,2873100,3964928,382,382,671400
1731,21.9915,21053000,2983700,3916800,382,382,68300
1732,19.2069,18674300,2279300,3981312,382,382,82700
1733,20.337,19670900,2092499,3941376,382,382,118500
1734,22.0215,19991000,1907300,3984384,382,382,751700
1735,20.0101,17548800,1885400,3959808,382,382,46900
1736,20.573,18713300,2125700,3996672,382,382,145600
1737,21.7997,20239200,1856000,3934208,382,382,56100
1738,19.0237,18454200,1961000,3965952,382,382,689500
1739,20.7522,18855500,2320500,3942400,382,382,136500
1740,21.0284,19976200,2290000,3932160,382,382,62400
1741,20.488,16798400,2433600,3921920,382,382,46900
1742,20.5794,18140500,2083700,3954688,382,382,831700
1743,21.0905,19307500,2351600,3884032,382,382,59100
1744,24.714,18417100,2785400,3916800,382,382,60300
1745,24.6163,18426200,2401200,3936256,382,382,703900
1746,20.5214,19412800,2500600,3959808,382,382,47500
1747,23.4345,22346500,2241400,3914752,382,382,157100
1748,19.2953,22633200,1906400,3952640,382,382,111800
1749,19.0779,18684300,2504700,3923968,382,382,715000
1750,23.5285,21398500,1850300,3928064,382,382,83700
1751,19.5943,17662200,2176000,3922944,382,382,52300
1752,19.5223,17107300,2383300,3908608,382,382,48400
1753,23.9116,21528000,2029999,3953664,382,382,668600
1754,22.4451,17944700,2045000,3976192,382,382,48400
1755,22.7589,17262900,2673200,3950592,382,382,45800
1756,24.3981,21674100,2394500,3965952,382,382,705400
1757,20.9972,20695500,2798500,3932160,382,382,46200
1758,19.0958,20870500,3199100,3973120,382,382,76900
1759,20.026,22146400,2301700,3958784,382,382,58700
1760,24.7255,19162400,1940300,3964928,382,382,715100
1761,23.84079,17219900,2125700,3947520,382,382,91200
1762,19.67171,18109300,2580500,3956736,382,382,66100
1763,21.70599,22829900,2268200,3918848,382,382,124300
1764,21.8917,21786900,2079000,3952640,382,382,720900
1765,21.432,17680400,1933100,3913728,382,382,46600
1766,19.2955,20167700,2390300,3974144,382,382,54200
1767,22.7996,19823100,2186400,3904512,382,382,52900
1768,22.2069,19349400,1884700,3949568,382,382,711000
1769,20.1369,17632000,2255600,3960832,382,382,57700
1770,19.2327,20846800,2683300,3962880,382,382,43600
1771,20.9778,20615200,2664400,3911680,382,382,230400
1772,19.15211,18161800,2283000,3992576,382,382,731600
1773,19.5751,17372200,2220600,3933184,382,382,63700
1774,20.3862,18848000,2001500,3928064,382,382,56100
1775,22.1778,17341300,2161100,3922944,382,382,84000
1776,19.586,17968600,2178000,3958784,382,382,720600
1777,23.9061,18601200,2234100,3915776,382,382,43000
1778,21.7709,20211300,2571500,3960832,382,382,42700
1779,19.2664,17701400,2620100,4260864,382,382,53300
1780,21.2875,21331900,2318100,3954688,382,382,725200
1781,23.3562,20064400,2210600,3946496,382,382,58900
1782,19.1553,17183700,2385600,3973120,382,382,49800
1783,22.3537,19409100,2982600,3922944,382,382,59900
1784,18.6498,21598300,2205400,3972096,382,382,1041600
1785,21.5157,17302000,3146800,3948544,382,382,49800
1786,22.221,20775000,2132600,3962880,382,382,46400
1787,19.2212,16841500,2623600,3936256,382,382,50100
1788,18.7347,19644700,2642400,3955712,382,382,725600
1789,19.0845,20676800,2629100,3923968,382,382,50000
1790,20.9807,17435500,2080600,3968000,382,382,78100
1791,20.7764,16987300,2148800,3899392,382,382,45100
1792,19.1825,17409300,2085700,3960832,382,382,654400
1793,24.712,19312500,2546100,3937280,382,382,55500
1794,18.8361,19115700,2209900,3930112,382,382,85900
1795,21.1012,17283100,2239500,3916800,382,382,50900
1796,22.5934,22745100,2121700,4008960,382,382,1086500
1797,20.7341,17189900,2040200,3962880,382,382,47100
1798,21.9396,19572400,2299900,3953664,382,382,79300
1799,22.07981,20741600,2062199,3928064,382,382,46900
1800,19.714,18781300,2753600,3929088,382,382,685000
1801,22.5674,19847900,2277500,3951616,382,382,57800
1802,19.9077,20550800,2638700,3964928,382,382,50600
1803,21.4547,17875800,2125100,3926016,382,382,122400
1804,23.8513,20631600,2094300,3957760,382,382,762100
1805,19.7563,18249000,2301600,3954688,382,382,48800
1806,19.9215,19502100,2379300,3985408,382,382,56400
1807,22.14581,22016900,2018600,3948544,382,382,50300
1808,19.6112,17461100,2192500,3944448,382,382,793900
1809,22.744,18122200,2170300,3962880,382,382,64100
1810,22.7075,20204200,2078900,3970048,382,382,48900
1811,19.85769,17249900,2320100,3907584,382,382,48500
1812,20.39761,20689500,2555500,3946496,382,382,755000
1813,19.6513,21202000,2499800,3894272,382,382,53000
1814,19.2802,17850300,2023299,3964928,382,382,45200
1815,18.6962,18801700,2250600,3922944,382,382,95500
1816,21.9849,17645000,2040500,3916800,382,382,737200
1817,19.1076,17513100,2250700,3965952,382,382,62900
1818,21.08061,16911100,2650300,4006912,382,382,50000
1819,25.8299,20077900,1991400,3968000,382,382,88700
1820,20.8631,17209200,2505800,3934208,382,382,648700
1821,26.5815,19494100,2701600,3908608,382,382,68500
1822,19.9962,23365600,2379200,3942400,382,382,69200
1823,21.48809,19125300,2316900,3927040,382,382,665700
1824,24.30721,24337600,2368900,3940352,382,382,44200
1825,22.93559,18260600,2671600,3938304,382,382,67000
1826,23.0301,19274900,2263300,3972096,382,382,718900
1827,24.3281,22299700,2688800,3920896,382,382,53500
1828,25.6287,21404200,2495400,3952640,382,382,124100
1829,26.2277,21135600,2944500,3918848,382,382,716300
1830,21.9363,22451800,3533900,3963904,382,382,50200
1831,24.8514,23537400,2677600,3926016,382,382,55900
1832,24.4044,23850400,2668300,3974144,382,382,727400
1833,20.3907,19797800,2184000,4027392,382,382,118000
1834,27.7293,22807100,3377200,3934208,382,382,53100
1835,28.7583,22068700,2321100,3949568,382,382,848900
1836,26.26679,18680800,3579000,3938304,382,382,70400
1837,23.3763,25276800,3258800,3912704,382,382,70000
1838,23.9706,26839900,2571400,4050944,382,382,821100
1839,29.2403,24443200,2825900,3961856,382,382,69900
1840,25.304,21169500,2703600,3948544,382,382,61300
1841,22.9312,21931000,3212900,3919872,382,382,989500
1842,27.36869,27512200,2683400,3988480,382,382,103500
1843,30.2024,23049600,2915600,3949568,382,382,83500
1844,31.9128,20858300,2933300,3952640,382,382,822200
1845,27.9325,24803200,3579800,3901440,382,382,92600
1846,27.4651,27713300,2798300,3945472,382,382,51500
1847,22.562,28882000,3029000,3922944,382,382,895200
1848,22.458,25231400,3083500,3946496,382,382,50600
1849,22.0626,25542400,3116400,3913728,382,382,68300
1850,19.3092,20296100,2430400,3961856,382,382,61300
1851,21.4476,20218900,1996400,3920896,382,382,744800
1852,23.6087,19544400,1980700,3961856,382,382,49700
1853,21.5195,17028300,2198300,3914752,382,382,53800
1854,20.7782,19569700,2469200,3963904,382,382,46700
1855,22.86,21866400,2891300,3917824,382,382,766500
1856,21.0118,19969700,2757300,3982336,382,382,62800
1857,24.05889,19151000,2438800,3917824,382,382,56300
1858,22.81701,20312500,1886100,3996672,382,382,904500
1859,21.3994,19213700,2327400,3926016,382,382,55000
1860,22.3185,21710700,3293900,3954688,382,382,61600
1861,22.0688,21175200,2147900,3919872,382,382,44400
1862,20.539,19454600,2353000,3940352,382,382,740700
1863,19.84131,19826200,2347000,3924992,382,382,67200
1864,20.2539,19643500,2033399,3929088,382,382,219800
1865,20.6222,18410700,1953000,3959808,382,382,60700
1866,19.93439,18000700,1845800,3986432,382,382,810300
1867,20.8918,17960300,1782400,3953664,382,382,46800
1868,22.3761,19044100,2177300,3961856,382,382,45500
1869,22.72701,17722200,2494400,3923968,382,382,50100
1870,21.3084,18955300,2074900,3969024,382,382,733700
1871,22.0701,19643100,2597000,3924992,382,382,55600
1872,24.32839,20870200,2166700,3996672,382,382,55300
1873,22.5795,19238600,2773600,3924992,382,382,659100
1874,22.0576,20291700,2289200,3955712,382,382,82100
1875,28.2315,21563100,2629700,3966976,382,382,159100
1876,24.375,20361200,2668900,3953664,382,382,934300
1877,28.7941,20507400,3496800,3946496,382,382,52200
1878,23.99269,26399300,2079699,3928064,382,382,81400
1879,25.5152,21562800,2479800,3919872,382,382,788800
1880,23.89411,25498500,2600400,3920896,382,382,53900
1881,23.1879,22221300,2756200,3950592,382,382,46300
1882,21.5541,23010600,2563600,3933184,382,382,668800
1883,20.1621,21506200,2357100,3916800,382,382,46400
1884,21.6036,21072000,2305100,3958784,382,382,54600
1885,20.7776,19360900,2149700,3910656,382,382,41700
1886,19.6324,18077900,2597000,3963904,382,382,674100
1887,20.9639,19608800,2248800,3917824,382,382,46700
1888,21.4191,18614200,2083100,3964928,382,382,44000
1889,20.74009,17477300,2151600,3932160,382,382,53600
1890,22.31361,19185800,2187500,3950592,382,382,742800
1891,20.72389,18936800,2499800,3962880,382,382,56600
1892,23.93581,18543200,3237300,3958784,382,382,68900
1893,22.67309,20672200,2700900,3916800,382,382,667900
1894,19.64141,18708800,3095900,3983360,382,382,45600
1895,22.3849,21552000,2357000,3921920,382,382,48500
1896,19.2322,20580600,1896800,3962880,382,382,182800
1897,19.5321,17496900,2311800,3928064,382,382,691500
1898,23.1796,20005500,2035600,3916800,382,382,46800
1899,21.1679,17176800,1896700,3915776,382,382,58400
1900,21.8241,17543800,2353400,3931136,382,382,58100
1901,21.2678,21349500,2919200,3963904,382,382,856500
1902,20.5716,18903900,2467400,3906560,382,382,71100
1903,22.994,19317900,2939800,3919872,382,382,97600
1904,21.23389,19396500,2676000,3987456,382,382,120800
1905,20.2665,18849700,2505500,3895296,382,382,674900
1906,22.9342,20606600,2316200,3970048,382,382,93000
1907,22.0592,18861400,2672700,3922944,382,382,52300
1908,20.73,18222500,2193300,4021248,382,382,45100
1909,19.2848,20839200,2667500,3916800,382,382,931900
1910,20.4606,20015700,2203800,4005887,382,382,58100
1911,19.69,18595400,2061400,3916800,382,382,74300
1912,22.5626,17185000,1894700,4026367,382,382,50500
1913,20.9126,18358100,2008600,3942400,382,382,745100
1914,21.2828,17959200,2390100,3966976,382,382,51500
1915,21.6576,20278400,2256400,3926016,382,382,45700
1916,19.0081,18445100,2429900,3969024,382,382,56500
1917,18.8901,19554100,2463500,3954688,382,382,759500
1918,21.6716,19455400,2150600,3950592,382,382,105300
1919,19.8058,16918600,2449000,3929088,382,382,94900
1920,22.6239,16769400,2052099,3953664,382,382,57800
1921,21.4594,19892200,2503800,3922944,382,382,704900
1922,22.4306,18024900,2641900,3953664,382,382,48300
1923,23.7683,20240100,2245400,3932160,382,382,94600
1924,20.4382,19368400,2634200,3996672,382,382,59000
1925,19.2907,20572100,2648300,3946496,382,382,770600
1926,24.1194,21510400,2928500,3957760,382,382,72200
1927,19.476,18565200,2392900,3938304,382,382,54400
1928,21.6482,17417900,2333700,3968000,382,382,46900
