frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
1545,22.3173,16034500,2408400,3258368,456,456,48300
1546,19.8313,19605200,2054399,3260416,456,456,60800
1547,22.2256,17027100,2518700,3265536,456,456,66900
1548,29.3083,20565900,2479000,3220480,456,456,750200
1549,33.1378,17306700,2832200,3283968,456,456,65300
1550,28.5401,20121600,3270500,3246080,456,456,60200
1551,24.7032,27152100,3558500,3268608,456,456,837100
1552,18.1988,31099200,3211600,3266560,456,456,39400
1553,20.6213,26417700,2807700,3270656,456,456,39800
1554,21.226,23016300,1988000,3235840,456,456,45800
1555,16.8936,16740700,2571100,3218432,456,456,714600
1556,19.228,19168600,2154800,3260416,456,456,39400
1557,16.5889,19859900,1890200,3249152,456,456,37600
1558,18.7418,15175800,2159000,3270656,456,456,37200
1559,17.9995,17748300,1957100,3376128,456,456,700000
1560,18.6605,15032300,2262600,3399680,456,456,41100
1561,16.416,17130600,1984300,3326976,456,456,49600
1562,18.7625,16585999,2067000,3379200,456,456,40700
1563,17.4704,17231400,2023699,3393536,456,456,858400
1564,21.0634,14917000,2438300,3362816,456,456,43100
1565,21.8274,16910900,2018600,3403776,456,456,62100
1566,19.3236,16043500,2385100,3395584,456,456,46900
1567,19.4643,19233700,2621300,3391488,456,456,716400
1568,22.5457,20202700,2089900,3373056,456,456,39000
1569,18.2992,17841400,2084700,3379200,456,456,52800
1570,19.9004,17600600,2618400,3385344,456,456,43300
1571,19.1388,20991300,2084600,3381248,456,456,702200
1572,22.2227,16853900,2178600,3374080,456,456,44800
1573,23.2237,18083800,2080299,3376128,456,456,55400
1574,26.9236,17136100,2587300,3362816,456,456,785800
1575,17.3807,20702400,2496600,3393536,456,456,38100
1576,17.0169,21490400,2641500,3359744,456,456,43300
1577,17.4847,25328600,1921200,3389440,456,456,42100
1578,19.286,15982900,1946000,3380224,456,456,751600
1579,17.8922,15592100,1998100,3382272,456,456,43200
1580,18.8904,16081399,2062900,3383296,456,456,43100
1581,21.242,17890400,2015100,3408896,456,456,41600
1582,21.69131,16511199,2230200,3391488,456,456,745900
1583,20.1718,16892200,2351300,3354624,456,456,58700
1584,21.4478,19437400,2579500,3418112,456,456,42900
1585,20.7902,20050000,2348300,3408896,456,456,38300
1586,17.8052,18383400,2675400,3338240,456,456,703900
1587,26.6432,19467300,2556300,3387392,456,456,46400
1588,30.6772,19198200,2085600,3386368,456,456,43600
1589,22.5883,16294500,3577700,3387392,456,456,719200
1590,20.385,24357200,2341900,3381248,456,456,58800
1591,19.9306,29018800,2461500,3359744,456,456,43900
1592,20.63359,21109000,2289400,3378176,456,456,75200
1593,23.9023,18814400,2545100,3387392,456,456,1270400
1594,23.5776,18203500,2390100,3390464,456,456,45300
1595,21.5738,18945500,2640600,3371008,456,456,56000
1596,18.18469,21857700,2727800,3356672,456,456,114300
1597,23.55651,21971000,2771600,3388416,456,456,704500
1598,19.1839,19925500,2285200,3388416,456,456,44700
1599,18.8721,16465200,2863800,3377152,456,456,41900
1600,22.7316,21319600,2255500,3369984,456,456,52200
1601,21.6447,17634900,2119100,3381248,456,456,711700
