frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
9344,26.2808,20658100,2722700,3248128,454,454,768300
9345,26.1199,35526700,2691800,3226624,454,454,105400
9346,36.105,22848800,3041900,3236864,454,454,121900
9347,32.4826,24366000,3461000,3224576,454,454,742400
9348,26.5447,23077600,3573200,3206144,454,454,46700
9349,18.8586,32904899,3219000,3220480,454,454,42400
9350,22.9838,29820900,3115700,3191808,454,454,685200
9351,24.8299,23917900,2360400,3226624,454,454,56500
9352,17.8431,17326300,2607200,3250176,454,454,51000
9353,21.0603,21274000,2611000,3252224,454,454,53300
9354,19.1366,23343800,2032900,3225600,454,454,773300
9355,20.7975,16195500,1994100,3240960,454,454,39600
9356,19.0436,19417600,1970700,3215360,454,454,38600
9357,17.9641,17511600,2318100,3229696,454,454,47400
9358,19.1034,19162800,2010300,3230720,454,454,794100
9359,18.2867,17579500,2471400,3251200,454,454,45600
9360,22.3128,16509000,2355000,3236864,454,454,72300
9361,39.4868,17617400,2141300,3235840,454,454,1185600
9362,44.2683,16654900,2653400,3226624,454,454,107800
9363,46.67989,20170100,4381500,3239936,454,454,1121400
9364,48.8699,36485100,4558500,3216384,454,454,86400
9365,47.396,40561100,4311600,3234816,454,454,1282600
9366,52.1645,43132300,3806400,3223552,454,454,91000
9367,53.3742,45556900,5509400,3282944,454,454,1328700
9368,50.99861,43384500,5526500,3257344,454,454,112600
9369,50.3403,48006300,5825500,3228672,454,454,1060000
9370,41.6748,49734800,4413300,3222528,454,454,89800
9371,53.8754,47269700,4929400,3224576,454,454,852800
9372,52.4422,46474200,3269400,3262464,454,454,70200
9373,39.69291,38241900,4591200,3219456,454,454,906900
9374,39.9717,49297600,3472600,3224576,454,454,74700
9375,42.3142,49189200,2781600,3237888,454,454,891000
9376,40.2038,37292000,3231500,3223552,454,454,102400
9377,37.9028,37632500,3654200,3356672,454,454,754900
9378,33.2187,39360000,3481500,3211264,454,454,94900
9379,29.6635,37232200,3751600,3232768,454,454,41500
9380,24.9015,34874800,3115200,3189760,454,454,723800
9381,22.6761,30768000,3160000,3227648,454,454,61600
9382,21.3007,26880200,3043900,3223552,454,454,66800
9383,19.6946,23284800,2823200,3234816,454,454,43500
9384,21.4228,20895900,2475800,3216384,454,454,845800
9385,21.9922,19730700,2425500,3216384,454,454,67900
9386,19.822,17927100,2906500,3181568,454,454,48400
9387,22.173,19679100,2268200,3236864,454,454,130700
9388,23.7924,20467400,2173800,3226624,454,454,700100
9389,21.0643,18128400,2390800,3226624,454,454,72300
9390,21.61679,20167000,2380100,3224576,454,454,45000
9391,22.2977,21823000,2651900,3233792,454,454,43600
9392,25.4365,19274100,2544400,3252224,454,454,699400
9393,22.2308,19603100,2728200,3229696,454,454,40900
9394,21.8015,20418400,2733000,3219456,454,454,62000
9395,21.81,23869600,2231100,3226624,454,454,86100
9396,22.4872,20544800,2438100,3215360,454,454,704800
9397,21.1584,20242000,2634300,3237888,454,454,121700
9398,23.0328,19502200,3194000,3206144,454,454,64200
9399,29.4274,20683900,2446800,3263488,454,454,968900
9400,21.2027,19716400,3212300,3228672,454,454,41400
9401,19.6996,20131000,2632600,3249152,454,454,62300
9402,24.1932,27380500,2595500,3229696,454,454,44800
9403,19.3088,19731200,2264500,3216384,454,454,755200
9404,19.2696,18106000,2749700,3222528,454,454,46500
9405,22.7347,22125300,2437100,3246080,454,454,97400
9406,36.3839,17613000,2138300,3202048,454,454,1121100
9407,44.0058,17551700,3100000,3231744,454,454,103800
9408,48.44419,20801200,4229900,3329024,454,454,1316400
9409,51.6334,32748600,4360300,3241984,454,454,93200
9410,46.93019,40954000,3940500,3218432,454,454,1264900
9411,53.6715,44611200,4156200,3243008,454,454,121700
9412,50.2124,48583600,4958800,3235840,454,454,1181800
9413,49.4599,43688900,4860300,3214336,454,454,111300
9414,49.2107,48790200,4358900,3221504,454,454,1190600
9415,37.78241,47362600,4673100,3233792,454,454,50900
9416,27.0979,45842000,4494100,3229696,454,454,57400
9417,23.0202,45024100,3425000,3218432,454,454,694300
9418,23.222,35451000,2883900,3195904,454,454,89400
9419,29.4706,24952100,2933600,3222528,454,454,60400
9420,30.0894,21097700,2794900,3217408,454,454,723200
9421,27.1815,21344800,3777500,3232768,454,454,53100
