frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
6924,22.4759,24976600,2656000,3421184,454,454,743500
6925,23.3111,21909800,2648100,3486720,454,454,89400
6926,21.7002,22227700,2524500,3495936,454,454,90700
6927,22.8712,20877900,2400500,3464192,454,454,783400
6928,33.0315,21280800,2645900,3509248,454,454,85700
6929,27.7979,19521400,3015200,3476480,454,454,96300
6930,29.086,20722600,2963500,3473408,454,454,732400
6931,20.9892,30814100,2990700,3461120,454,454,92800
6932,25.5124,26110200,2722000,3451904,454,454,78700
6933,31.6824,26951300,2128100,3472384,454,454,698800
6934,27.7998,19494200,2844400,3464192,454,454,50300
6935,16.7449,23285900,3008000,3444736,454,454,43500
6936,20.246,28393900,2450600,3453952,454,454,65000
6937,18.7846,26363000,1848400,3448832,454,454,720200
6938,17.1787,15207800,2440100,3427328,454,454,64700
6939,18.5801,18861400,2263900,3469312,454,454,48500
6940,16.5785,17338600,1989500,3433472,454,454,50700
6941,18.22399,15783600,2136100,3469312,454,454,692700
6942,18.02611,16850800,1853700,3450880,454,454,46200
6943,19.5009,14944500,2013900,3459072,454,454,70200
6944,17.224,16744599,1937600,3457024,454,454,43400
6945,17.5045,16610499,2444300,3475456,454,454,845100
6946,17.119,18077200,1893200,3474432,454,454,65900
6947,17.947,15830200,1946300,3439616,454,454,58600
6948,18.0295,16080800,1929900,3425280,454,454,51200
6949,19.3013,15620500,2328900,3457024,454,454,806300
6950,18.2859,16405899,2158900,3438592,454,454,50800
6951,17.2393,16377800,2454200,3451904,454,454,54800
6952,18.8948,17757000,2069300,3453952,454,454,46000
6953,17.69941,16621600,2163300,3463168,454,454,1071600
6954,20.7463,15660500,2292900,3492864,454,454,43900
6955,18.6372,17251200,2215900,3420160,454,454,43900
6956,19.475,16317900,2610400,3465216,454,454,57100
6957,17.1045,18812400,2193600,3480576,454,454,717100
6958,19.0688,17092600,2446800,3442688,454,454,45400
6959,19.52071,17790800,2127400,3420160,454,454,52200
6960,16.8038,15335900,2134400,3483648,454,454,50000
6961,18.7047,17646500,2207000,3483648,454,454,752000
6962,18.5929,17930100,2133600,3443712,454,454,49000
6963,16.8631,15276600,2282200,3454976,454,454,68600
6964,17.0886,17219300,2247200,3445760,454,454,62200
6965,18.3507,17073700,2080600,3457024,454,454,694400
6966,17.7748,14897000,2216300,3457024,454,454,48900
6967,18.8724,15513200,2134600,3459072,454,454,49700
6968,16.5497,16884800,1919200,3450880,454,454,49900
6969,16.6436,16347400,2311700,3456000,454,454,730800
6970,17.0237,17164900,2044500,3425280,454,454,51400
6971,18.3531,14994900,2053200,3474432,454,454,52900
6972,17.1969,15193200,1927900,3440640,454,454,48300
6973,16.5429,15536600,2215200,3463168,454,454,797000
6974,17.1662,16789100,1903400,3469312,454,454,44300
6975,17.7941,15298000,2155400,3445760,454,454,44600
6976,18.71181,15049300,1907400,3469312,454,454,47800
6977,17.9272,15681000,1816600,3463168,454,454,702800
6978,20.4904,16165600,2042400,3440640,454,454,81400
6979,17.4061,17231100,1939800,3468288,454,454,67700
6980,18.8764,16468599,2353700,3444736,454,454,48800
6981,19.8568,18920700,2265600,3439616,454,454,779200
6982,20.1181,15960300,2289800,3414016,454,454,69400
6983,18.363,17329100,2106600,3457024,454,454,45600
6984,16.8107,18347200,2605400,3450880,454,454,63200
6985,18.9006,18510300,2055000,3461120,454,454,705700
6986,20.3038,16292400,1997100,3445760,454,454,49300
6987,18.7366,15173700,2206400,3432448,454,454,51600
6988,16.426,17240300,2010700,3454976,454,454,48300
6989,18.5064,18875300,2285900,3454976,454,454,731500
6990,18.4661,16935700,1852700,3468288,454,454,44300
6991,18.5668,14942000,2163700,3459072,454,454,48700
6992,16.6606,16890900,2064299,3466240,454,454,59200
6993,17.8557,17051000,2048800,3463168,454,454,892300
6994,17.5426,17197700,2044000,3443712,454,454,49600
6995,18.48701,15205400,2164100,3451904,454,454,47300
6996,18.12659,16150700,2006400,3441664,454,454,53000
6997,16.716,16020700,2130600,3472384,454,454,981300
6998,19.8961,17063700,2042700,3417088,454,454,47900
6999,18.322,16560400,2089400,3471360,454,454,59100
7000,18.27669,15199900,2177400,3469312,454,454,59600
7001,16.8179,18451300,2194200,3451904,454,454,752400
7002,17.1704,16637699,2359500,3462144,454,454,67900
7003,16.6635,16368500,2028600,3458048,454,454,55400
7004,18.9143,15271100,2243200,3418112,454,454,44100
7005,17.28591,15669700,1850200,3491840,454,454,715700
7006,18.8697,14915000,2079500,3460096,454,454,59100
7007,16.914,17385100,1941900,3414016,454,454,78600
7008,16.4131,15845100,2442300,3487744,454,454,50800
7009,16.7368,17490300,2070199,3466240,454,454,713900
7010,17.0783,15335900,1857300,3427328,454,454,50700
7011,16.2356,14894600,2004600,3448832,454,454,72400
7012,17.7673,15321200,1951200,3441664,454,454,45700
7013,20.1188,15540400,1969400,3444736,454,454,692800
7014,19.1355,14730100,2279600,3448832,454,454,128400
7015,18.091,15900900,2291500,3472384,454,454,69800
7016,17.3481,18725700,2163500,3450880,454,454,46200
7017,18.7885,17745600,2643000,3469312,454,454,991100
7018,18.1478,16543000,2457700,3427328,454,454,45500
7019,19.3369,15608400,2312100,3419136,454,454,47100
7020,17.407,17182700,2300000,3429376,454,454,57100
7021,17.1082,16715599,2312400,3466240,454,454,750200
7022,17.2885,17893900,2292600,3439616,454,454,49200
7023,17.6387,15885100,2171000,3444736,454,454,48100
7024,16.201,14976000,1986500,3456000,454,454,46600
7025,17.32961,15882100,2075600,3443712,454,454,753100
7026,18.09089,16175200,2141600,3496960,454,454,44800
7027,19.4732,14620900,2092499,3451904,454,454,50200
7028,17.7331,15703800,1991100,3432448,454,454,43700
7029,16.5559,16684100,2133100,3469312,454,454,800100
7030,18.4196,18121200,2052900,3566592,454,454,49800
7031,16.7321,16297899,2089000,3452928,454,454,54000
7032,18.6048,15059800,2117800,3440640,454,454,49700
7033,16.45831,16841100,2060400,3446784,454,454,706200
7034,18.2449,15263300,2112500,3447808,454,454,42700
7035,16.8658,17074900,1886900,3452928,454,454,49900
7036,18.5647,15009500,2103300,3429376,454,454,47800
7037,16.1858,16691299,1881700,3459072,454,454,776200
7038,17.1642,15468500,2186400,3454976,454,454,51300
7039,16.895,17031200,2075200,3439616,454,454,60300
7040,18.97861,14592600,2077700,3471360,454,454,59100
7041,16.902,15479100,1963200,3446784,454,454,748600
7042,17.1856,15374200,2198900,3424256,454,454,43500
7043,17.533,17465700,2053100,3458048,454,454,59500
7044,17.4485,15212800,2071899,3449856,454,454,85200
7045,16.4136,15602600,1882700,3472384,454,454,726600
7046,17.0723,15678500,2490900,3465216,454,454,57600
7047,18.6023,15573300,1896600,3468288,454,454,54600
7048,18.9721,14598600,1887000,3475456,454,454,49700
7049,18.4141,15683000,2182200,3461120,454,454,762200
7050,17.0126,17096300,2154100,3424256,454,454,45200
7051,18.9865,17508300,2248400,3441664,454,454,47900
7052,16.4202,16894700,1996600,3414016,454,454,50000
7053,16.2588,15434400,2161900,3470336,454,454,741100
7054,16.7145,17631800,1969600,3453952,454,454,48100
7055,17.9478,14930700,1912200,3472384,454,454,52200
7056,17.1247,14742400,2029200,3521536,454,454,60000
7057,19.2426,15325100,2174700,3479552,454,454,745100
7058,16.8031,16462800,2210300,3441664,454,454,52300
7059,18.1563,15565900,2297700,3454976,454,454,43300
7060,17.7258,17266600,1866800,3414016,454,454,49500
7061,16.3868,15447100,2094300,3462144,454,454,910500
7062,17.5339,16672400,1818200,3456000,454,454,49500
7063,18.3758,16347900,2054600,3468288,454,454,48000
7064,16.39,14909500,1869800,3461120,454,454,118100
7065,17.02271,15931400,2102000,3460096,454,454,805000
7066,17.17129,16871800,1901300,3408896,454,454,52400
7067,18.1638,14872500,1999600,3454976,454,454,43800
7068,17.7326,15436500,1918800,3443712,454,454,54200
7069,16.7185,15653500,2273000,3447808,454,454,704100
7070,20.7854,16758299,1981300,3449856,454,454,56700
7071,16.1948,16261500,1947900,3444736,454,454,64400
7072,18.157,14586100,2121900,3474432,454,454,49300
7073,15.8879,19340300,1855600,3454976,454,454,712400
7074,19.0029,14633900,2209300,3442688,454,454,42300
7075,19.17871,16433300,1803200,3463168,454,454,53300
7076,18.1527,14399700,2101000,3452928,454,454,47500
7077,16.4919,17328300,2323400,3462144,454,454,733600
7078,18.8269,17475300,2161300,3411968,454,454,77800
7079,17.7761,16622699,1866200,3469312,454,454,62800
7080,17.0127,14983600,2310500,3435520,454,454,65000
7081,17.1042,17436900,2260000,3467264,454,454,712800
7082,17.474,15699400,2313100,3485696,454,454,61000
7083,20.2429,15448600,2091200,3462144,454,454,62200
7084,18.1508,15600800,2348000,3458048,454,454,48500
7085,17.3154,16009100,2459100,3488768,454,454,1050300
7086,17.9361,18586900,2217600,3457024,454,454,53300
7087,18.597,16288400,2237000,3415040,454,454,48100
7088,16.1574,15438600,2076700,3519488,454,454,44400
7089,17.6221,16438199,2331300,3453952,454,454,726700
7090,17.3405,16595800,1857600,3410944,454,454,63400
7091,16.984,14601300,1987700,3456000,454,454,61100
7092,16.3248,16078499,2054800,3450880,454,454,47800
7093,18.3368,15963700,2101400,3493888,454,454,786500
7094,17.4926,15443200,1835300,3451904,454,454,65600
7095,19.1357,14633200,2296300,3447808,454,454,47400
7096,17.7825,16825200,1822300,3453952,454,454,48300
7097,17.7241,16098199,2110200,3467264,454,454,714300
7098,19.0724,17514600,2185400,3447808,454,454,63500
7099,18.299,16121600,1843700,3464192,454,454,52500
7100,18.6616,16293299,2118400,3489792,454,454,47700
7101,16.26869,17612200,2119300,3460096,454,454,1042500
7102,18.9987,16892700,2087400,3472384,454,454,53300
