frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
1107,16.5641,23627300,2935200,3420160,456,456,49400
1108,17.35,26315600,2255900,3420160,456,456,43400
1109,16.2874,22355900,2182000,3433472,456,456,685900
1110,18.7388,15108700,2119600,3408896,456,456,44300
1111,16.9326,15046200,1988300,3464192,456,456,54800
1112,16.7601,14825300,2168300,3432448,456,456,43400
1113,16.2942,17097900,2253200,3396608,456,456,668800
1114,19.929,15440500,2096800,3430400,456,456,47800
1115,16.5627,15015400,1958600,3431424,456,456,55700
1116,19.1601,14813900,2242100,3418112,456,456,62400
1117,19.5696,18435400,2502000,3410944,456,456,673800
1118,22.9598,15033300,2219000,3440640,456,456,84800
1119,18.1432,17326800,2281200,3438592,456,456,60500
1120,19.6937,17804600,2395900,3431424,456,456,52900
1121,19.7498,21481300,2155200,3414016,456,456,693600
1122,20.6843,16658700,2433600,3437568,456,456,48600
1123,21.0705,17740500,2444700,3433472,456,456,73900
1124,17.2787,17991300,2369800,3381248,456,456,52800
1125,19.1396,19213700,2338900,3411968,456,456,925800
1126,22.634,19485100,2101000,3456000,456,456,71100
1127,17.7484,15787800,2596400,3464192,456,456,45800
1128,20.188,17544200,2309700,3470336,456,456,43100
1129,19.74221,20685700,2103900,3439616,456,456,705500
1130,18.8199,15999500,2485400,3420160,456,456,57400
1131,16.6711,18424400,2170500,3449856,456,456,64200
1132,18.591,18092900,2075899,3425280,456,456,61200
1133,17.2299,17460400,2028500,3437568,456,456,790000
1134,18.1747,14883800,2343900,3459072,456,456,48600
1135,17.6072,17038700,2167800,3442688,456,456,62000
1136,19.7927,15768000,2085200,3423232,456,456,49700
1137,18.0755,16449500,2087200,3426304,456,456,934800
1138,17.9576,15945000,2259800,3553280,456,456,53800
1139,17.2209,18234100,2176300,3408896,456,456,69300
1140,18.9655,16485399,2170300,3389440,456,456,43200
1141,19.4306,16531700,2060099,3386368,456,456,707200
1142,17.2343,15583700,2269800,3446784,456,456,42000
1143,18.1901,17168700,2186300,3454976,456,456,49200
1144,16.5162,18057100,1991500,3435520,456,456,46100
1145,18.1621,15861600,2476600,3440640,456,456,689200
1146,17.1294,16556999,1969100,3462144,456,456,52000
1147,18.5171,14950800,2202500,3431424,456,456,53900
1148,18.7293,16665700,1953200,3436544,456,456,59300
1149,18.487,15721800,2265600,3426304,456,456,1029100
1150,17.3946,17038000,2130600,3440640,456,456,50400
1151,18.0542,17261700,2063400,3456000,456,456,48800
1152,18.06679,16614700,1926100,3421184,456,456,52200
1153,17.2121,15946200,2148000,3439616,456,456,668600
1154,21.0247,16586200,2160300,3439616,456,456,67200
1155,17.0833,16552000,2229500,3433472,456,456,62100
1156,19.4133,15512300,2500700,3412992,456,456,48700
1157,16.3431,19234300,2032400,3425280,456,456,693600
1158,18.4555,15191300,2307700,3460096,456,456,61200
1159,16.9508,17855700,2010500,3440640,456,456,60400
1160,19.89861,14915000,2102700,3420160,456,456,47700
1161,17.361,16916200,2012000,3421184,456,456,690000
1162,21.0618,15272000,2085700,3419136,456,456,45800
