index,distance
0,0.6178017
1,0.5778247
2,0.5433272
3,0.5133062
4,0.4869896
5,0.4637795
6,0.4431985
7,0.4361384
8,0.4402379
9,0.4449578
10,0.4503424
11,0.4564178
12,0.463232
13,0.4708345
14,0.4792846
15,5.690063
16,5.56522
17,5.452233
18,5.350133
19,5.258073
20,5.175327
21,5.09516
22,5.031
23,4.69302
24,4.277761
25,3.936646
26,3.635864
27,3.397055
28,3.178647
29,3.003644
30,2.838675
31,2.693997
32,2.57794
33,2.464164
34,2.362761
35,2.272035
36,2.200454
37,2.126806
38,2.060356
39,2.000296
40,1.945941
41,1.896713
42,0.4047841
43,0.3957452
44,0.3875614
45,0.380167
46,0.3734937
47,0.3674895
48,0.3621119
49,0.3573153
50,0.3530716
51,0.3493475
52,0.3546144
53,0.3659604
54,0.3785285
55,0.3924901
56,0.4080369
57,0.4254058
58,0.4448861
59,0.4668287
60,0.4916815
61,0.5199964
62,0.5524859
63,0.5900743
64,0.6339803
65,0.6858475
66,0.6947851
67,0.7017515
68,0.7097343
69,0.7187843
70,0.7289689
71,0.7403612
72,0.7530482
73,0.7671253
74,0.782711
75,0.7999393
76,0.8189648
77,0.8399644
78,0.8631443
79,1.185045
80,1.210076
81,1.23773
82,1.268258
83,1.301953
84,1.33917
85,1.380303
86,1.314012
87,1.188311
88,0.8131763
89,0.811686
90,0.8111916
91,0.8323361
92,0.9118013
93,4.458476
94,4.921696
95,5.494337
96,17.66666
97,17.66666
98,17.66666
99,17.66666
100,17.66666
101,17.66666
102,17.66666
103,17.66666
104,0.2080802
105,0.1953766
106,0.1843458
107,0.1746964
108,0.1662007
109,0.1586746
110,0.1519765
111,0.1459931
112,0.1406273
113,0.1358037
114,0.1314531
115,0.1275218
116,0.1239674
117,0.1207506
118,0.1178356
119,0.1151924
120,0.112801
121,0.1106388
122,0.1086902
123,0.1069341
124,0.1053613
125,0.1039585
126,0.1027151
127,0.1016254
128,0.1006794
129,0.0998709
130,0.09919537
131,0.0986487
132,0.09822505
133,0.09792729
134,0.09774832
135,0.09768677
136,0.09774818
137,0.09792703
138,0.09822465
139,0.0986487
140,0.09919603
141,0.09987169
142,0.1006794
143,0.1016254
144,0.1027163
145,0.1039572
146,0.1053599
147,17.66666
148,17.66666
149,17.66666
150,17.66666
151,17.66666
152,0.9942829
153,0.9459159
154,0.9407958
155,0.975076
156,1.013232
157,0.4833462
158,0.5005178
159,0.519612
160,0.5409082
161,0.5647411
162,0.5915244
163,0.6217679
164,1.127889
165,1.174826
166,1.195989
167,1.174903
168,1.217639
169,1.31049
170,1.352468
171,1.398984
172,1.450639
173,1.270021
174,1.098666
175,0.9690873
176,0.8678011
177,0.7865468
178,0.720008
179,0.664597
