index,distance
0,1.55364
1,1.4651
2,1.375087
3,1.296984
4,1.228692
5,1.168586
6,1.115381
7,1.068054
8,1.036317
9,0.9980312
10,0.9636052
11,0.9325722
12,0.9045417
13,0.8791886
14,0.8562317
15,0.8354391
16,0.8165992
17,0.7995434
18,0.7841228
19,0.7702067
20,0.7576801
21,0.7464525
22,0.7364378
23,0.7301291
24,0.72708
25,0.7202386
26,0.7143852
27,0.7094854
28,0.7055066
29,0.7024179
30,0.70021
31,0.6988621
32,0.6983723
33,0.6987331
34,0.6999461
35,0.7020162
36,0.7049632
37,0.7088049
38,0.7135631
39,0.7192659
40,0.7259488
41,0.7336645
42,0.7424591
43,0.7523935
44,0.7635381
45,0.7837944
46,0.7977691
47,0.8132527
48,0.8303851
49,0.8493146
50,0.8702111
51,0.8932726
52,0.9187434
53,0.9468983
54,0.9780608
55,1.012618
56,1.051036
57,1.093869
58,1.153177
59,1.207554
60,1.917257
61,1.622882
62,1.600019
63,1.609692
64,1.632136
65,1.758148
66,1.907763
67,2.087996
68,2.331503
69,2.610968
70,3.19293
71,3.516952
72,4.23989
73,5.368941
74,7.365294
75,15.2994
76,11.1287
77,16.08428
78,11.74236
79,17.66667
80,17.66667
81,17.66667
82,17.66667
83,17.66667
84,17.66667
85,17.66667
86,17.66667
87,17.66667
88,17.66667
89,17.66667
90,17.66667
91,17.66667
92,17.66667
93,17.66667
94,17.66667
95,17.66667
96,17.66667
97,17.66667
98,17.66667
99,17.66667
100,17.66667
101,17.66667
102,17.66667
103,17.66667
104,17.66667
105,17.66667
106,17.66667
107,17.66667
108,17.66667
109,17.66667
110,17.66667
111,17.66667
112,17.66667
113,17.66667
114,17.66667
115,17.66667
116,17.66667
117,17.66667
118,17.66667
119,17.66667
120,17.66667
121,17.66667
122,17.66667
123,17.66667
124,17.66667
125,17.66667
126,17.66667
127,17.66667
128,17.66667
129,17.66667
130,17.66667
131,17.66667
132,17.66667
133,17.66667
134,17.66667
135,17.66667
136,17.66667
137,17.66667
138,17.66667
139,17.66667
140,17.66667
141,17.66667
142,17.66667
143,17.66667
144,17.66667
145,17.66667
146,17.66667
147,17.66667
148,17.66667
149,17.66667
150,8.699206
151,8.725186
152,8.755048
153,8.810672
154,8.854626
155,8.933015
156,17.66667
157,17.66667
158,17.66667
159,17.66667
160,17.66667
161,17.66667
162,17.66667
163,17.66667
164,17.66667
165,17.66667
166,17.66667
167,17.66667
168,15.58157
169,9.115397
170,6.098824
171,4.704763
172,3.7968
173,3.196922
174,3.074372
175,2.454876
176,2.187248
177,1.995115
178,1.820208
179,1.67537
