index,distance
0,1.527809
1,1.428941
2,1.343628
3,1.26939
4,1.204316
5,1.146914
6,1.096014
7,1.05066
8,1.0101
9,0.9736881
10,0.9409231
11,0.9113622
12,0.8846493
13,0.8604807
14,0.8385853
15,0.8187517
16,0.8007864
17,0.7845297
18,0.7698344
19,0.7565895
20,0.7446831
21,0.7340268
22,0.7245426
23,0.7161605
24,0.7088225
25,0.7024832
26,0.6970952
27,0.6926251
28,0.6890517
29,0.6793337
30,0.6776986
31,0.6768945
32,0.676913
33,0.6777622
34,0.67944
35,0.6819612
36,0.6853371
37,0.6895866
38,0.6947467
39,0.700843
40,0.7079175
41,0.7160138
42,0.7251986
43,0.7355261
44,0.7470752
45,0.7599335
46,0.7531024
47,0.7414608
48,0.7310518
49,0.7217917
50,0.7136309
51,0.7064977
52,0.7003497
53,0.695154
54,0.6908634
55,0.6874593
56,0.6849214
57,0.6832336
58,0.6823758
59,0.682357
60,0.6831673
61,0.6848176
62,0.6942583
63,0.6975467
64,0.7017311
65,0.7068346
66,0.7128878
67,0.7199292
68,0.7280038
69,0.7371761
70,0.7474989
71,0.7590519
72,0.7719311
73,0.7862247
74,0.8020524
75,0.8195518
76,0.8388739
77,0.8601975
78,0.8837496
79,0.909762
80,0.9479827
81,0.9801673
82,1.015901
83,1.055674
84,1.100081
85,1.14985
86,1.205877
87,1.269263
88,1.34141
89,1.438292
90,17.66666
91,17.66666
92,17.66666
93,17.66666
94,17.66666
95,17.66666
96,17.66666
97,17.66666
98,17.66666
99,17.66666
100,17.66666
101,17.66666
102,17.66666
103,17.66666
104,17.66666
105,17.66666
106,17.66666
107,17.66666
108,17.66666
109,17.66666
110,17.66666
111,17.66666
112,17.66666
113,17.66666
114,17.66666
115,17.66666
116,17.66666
117,17.66666
118,17.66666
119,17.66666
120,17.66666
121,17.66666
122,17.66666
123,17.66666
124,17.66666
125,17.66666
126,17.66666
127,17.66666
128,17.66666
129,17.66666
130,17.66666
131,17.66666
132,17.66666
133,17.66666
134,17.66666
135,17.66666
136,17.66666
137,17.66666
138,17.66666
139,17.66666
140,17.66666
141,17.66666
142,17.66666
143,17.66666
144,17.66666
145,17.66666
146,17.66666
147,17.66666
148,17.66666
149,17.66666
150,17.66666
151,17.66666
152,17.66666
153,17.66666
154,17.66666
155,17.66666
156,1.635883
157,1.652821
158,1.672167
159,1.519771
160,1.541457
161,1.565693
162,1.59268
163,1.622628
164,1.655778
165,1.692417
166,1.69205
167,1.734241
168,1.831249
169,1.885851
170,1.946257
171,2.013194
172,2.074349
173,2.097826
174,2.268264
175,2.372252
176,2.146034
177,1.9451
178,1.780556
179,1.643526
