index,distance
0,1.700001
1,1.891342
2,2.046324
3,1.947582
4,1.847736
5,1.75967
6,1.681576
7,1.611997
8,1.549758
9,1.4939
10,1.443629
11,1.398273
12,1.357292
13,1.320203
14,1.286612
15,1.256183
16,1.228619
17,1.203678
18,1.181137
19,1.160811
20,1.142545
21,1.126197
22,1.11164
23,1.09878
24,1.08752
25,1.077795
26,1.069528
27,1.062674
28,1.057188
29,1.07033
30,1.134377
31,2.390687
32,2.390059
33,2.392338
34,2.397545
35,2.405714
36,2.416894
37,2.431154
38,2.448584
39,2.383409
40,2.317225
41,2.257297
42,2.203009
43,2.153829
44,2.109317
45,2.069073
46,2.032763
47,2.000104
48,1.970841
49,1.944757
50,1.921666
51,1.901406
52,1.883835
53,1.868848
54,1.85634
55,1.846232
56,1.838462
57,1.832977
58,1.829756
59,1.828764
60,1.829999
61,1.833476
62,1.839212
63,1.847239
64,1.85761
65,1.870386
66,1.885659
67,1.903515
68,1.924086
69,1.947501
70,1.973928
71,2.003556
72,2.03661
73,2.073337
74,2.114037
75,2.159051
76,2.208771
77,2.26366
78,2.32425
79,2.391168
80,2.465141
81,2.547043
82,2.637901
83,2.736895
84,2.351383
85,2.056419
86,1.817689
87,1.667521
88,1.496833
89,1.413199
90,1.299999
91,1.309284
92,1.412846
93,1.536229
94,1.685478
95,1.759151
96,1.669989
97,1.59127
98,1.521413
99,1.458483
100,1.401813
101,1.402094
102,1.369314
103,1.315999
104,17.42606
105,17.42606
106,17.42606
107,17.42606
108,1.22488
109,1.175467
110,1.153735
111,1.076505
112,1.112131
113,1.100819
114,1.086823
115,1.074475
116,1.063683
117,1.054382
118,1.046499
119,1.039991
120,1.034819
121,1.030953
122,1.028358
123,1.026885
124,1.026497
125,1.027365
126,1.029482
127,0.9890359
128,0.9840142
129,0.9802328
130,0.9776709
131,0.9550185
132,0.9328597
133,0.9127957
134,0.8946414
135,0.8782425
136,0.8634678
137,0.8502041
138,0.838348
139,0.8278121
140,0.8185191
141,0.8104114
142,0.803429
143,0.7256061
144,0.7368192
145,0.7493047
146,0.7631707
147,0.7785299
148,0.7866319
149,0.7866697
150,0.7876726
151,0.7896386
152,0.7925834
153,0.796519
154,0.8014796
155,0.8074936
156,0.814595
157,0.8228318
158,0.832266
159,0.842962
160,0.8549865
161,0.8684322
162,0.8652479
163,0.8443536
164,0.848879
165,0.9171864
166,0.9653491
167,0.9902237
168,1.017689
169,1.048036
170,1.081605
171,1.118803
172,1.160118
173,1.206122
174,1.22681
175,1.218513
176,1.386117
177,1.460005
178,1.54419
179,1.640812
