frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
25259,19.1342,16375499,2297800,3526656,458,458,44300
25260,19.3518,16665099,2567300,3491840,458,458,47600
25261,17.7642,19227900,2773800,3473408,458,458,42900
25262,20.0863,17442400,2202200,3513344,458,458,922300
25263,20.2068,16975400,2013900,3454976,458,458,44600
25264,20.361,16114999,2701100,3450880,458,458,50100
25265,20.4925,18056700,1916400,3540992,458,458,45800
25266,16.8744,18644700,2867000,3490816,458,458,637400
25267,22.1188,18952100,3121000,3488768,458,458,59000
25268,17.4385,18860000,2186600,3492864,458,458,59000
25269,18.4802,15400400,2229600,3504128,458,458,52600
25270,16.7825,20385100,2174100,3500032,458,458,625500
25271,20.0026,15951700,2269400,3490816,458,458,42000
25272,20.1457,16803800,2012600,3503104,458,458,42900
25273,20.4075,15368600,2441200,3515392,458,458,44400
25274,20.3974,18058800,2752200,3496960,458,458,643900
25275,19.1221,18427100,2576600,3467264,458,458,46800
25276,19.8819,18940500,2581800,3496960,458,458,75600
25277,17.15831,18948600,2287800,3461120,458,458,45700
25278,17.5539,17700100,2640100,3482624,458,458,801400
25279,18.0216,18085100,2201700,3504128,458,458,44100
25280,19.3091,15734600,2161800,3493888,458,458,42100
25281,19.2891,15767100,2051400,3476480,458,458,46100
25282,17.1247,16435900,2760800,3478528,458,458,622500
25283,20.1832,17829300,2309900,3519488,458,458,44500
25284,20.7928,17855900,1934600,3488768,458,458,42700
25285,20.3752,15650400,2569400,3456000,458,458,42900
25286,18.375,18301600,2410800,3474432,458,458,698900
25287,17.8347,18494700,2693200,3495936,458,458,47200
25288,17.4168,18679100,2081000,3493888,458,458,44100
25289,16.96,16949200,1885100,3443712,458,458,43300
25290,20.6037,16430299,2258000,3561472,458,458,735100
25291,19.9762,15867700,1894400,3496960,458,458,53200
25292,21.98459,15430000,2491900,3487744,458,458,41600
25293,17.4497,18478100,1965800,3523584,458,458,44100
25294,20.7664,18137400,2377300,3506176,458,458,627900
25295,21.8787,20052400,2191800,3540992,458,458,47100
25296,18.828,15947600,2238300,3486720,458,458,46200
25297,20.0743,19274200,3346000,3480576,458,458,43900
25298,19.068,20262500,2135000,3506176,458,458,685000
25299,23.8565,16786400,2296400,3484672,458,458,45400
25300,22.29381,17890700,2362400,3483648,458,458,44300
25301,18.4343,17619000,2570100,3507200,458,458,53400
25302,20.2809,21693200,2961500,3487744,458,458,660300
25303,20.4992,20783200,2081600,3449856,458,458,45300
25304,22.25419,16959900,2682200,3500032,458,458,46100
25305,20.1668,18436800,2858800,3462144,458,458,55500
25306,19.55391,18420800,2361000,3501056,458,458,644300
25307,19.3372,20709400,2378000,3489792,458,458,87000
25308,18.4191,18610300,2235800,3491840,458,458,46300
25309,19.6437,17833300,1969400,3493888,458,458,46200
25310,17.73639,17785400,2695700,3473408,458,458,641700
25311,20.12531,16917100,2361700,3497984,458,458,45800
25312,19.3953,17905100,2117200,3468288,458,458,49500
25313,19.88321,16263300,2251500,3528704,458,458,44500
25314,20.0493,18313900,2562800,3517440,458,458,625500
25315,18.5594,17046500,2698600,3489792,458,458,67300
25316,19.3017,18157900,2442600,3536896,458,458,42900
25317,17.8056,18425300,1965900,3484672,458,458,44100
25318,16.96509,16682500,2130700,3484672,458,458,669200
25319,18.38851,17859600,2322300,3490816,458,458,44700
25320,18.78029,16005299,1976000,3489792,458,458,45000
25321,20.28401,15544600,2302000,3513344,458,458,58800
25322,17.39989,16863200,2384600,3494912,458,458,621900
25323,21.2773,17015100,2208400,3499008,458,458,43900
25324,18.7608,18027900,2035000,3476480,458,458,42700
25325,20.4209,15898400,2711800,3547136,458,458,43900
25326,19.0898,19645400,3107900,3504128,458,458,636100
25327,20.0357,17346600,2395300,3500032,458,458,73700
25328,17.7268,19036500,2195200,3493888,458,458,43400
25329,19.5543,17382600,2167300,3496960,458,458,44400
25330,18.9818,18274000,2193900,3486720,458,458,724700
25331,19.0913,16074000,2561400,3491840,458,458,48800
25332,19.8264,17922200,2321000,3486720,458,458,58800
25333,17.64211,17330300,2254000,3507200,458,458,43700
25334,19.5457,17321400,2419500,3516416,458,458,709500
25335,18.1126,18168600,1965500,3536896,458,458,73900
25336,19.353,15574200,2245400,3504128,458,458,42100
25337,18.47621,17830200,2031000,3478528,458,458,46900
25338,17.7831,16697399,2345700,3490816,458,458,944000
25339,21.6119,17840200,2122400,3513344,458,458,64500
25340,18.0305,17006600,1924400,3492864,458,458,46500
25341,18.0983,16401200,2098800,3499008,458,458,80300
25342,17.3272,20088200,2877200,3499008,458,458,630600
25343,20.1869,16371600,2123000,3489792,458,458,42400
25344,20.1767,16176900,2176800,3490816,458,458,43500
25345,19.3959,15693900,2401900,3507200,458,458,43900
25346,18.9989,18692000,2714400,3513344,458,458,691000
25347,19.3187,18657500,2322300,3492864,458,458,44400
25348,23.5753,17935100,2076900,3511296,458,458,51100
25349,18.4834,17384700,2304400,3508224,458,458,69300
25350,18.2807,17594900,2523800,3488768,458,458,725500
25351,18.872,21918600,2247400,3499008,458,458,45700
25352,18.9028,16831400,2467200,3502080,458,458,96000
25353,19.4952,16864200,2100600,3490816,458,458,42600
25354,17.207,17417900,2015400,3486720,458,458,672100
25355,19.8389,17381700,2090700,3489792,458,458,53800
25356,17.6894,18044700,2491100,3516416,458,458,45300
25357,19.7658,15625500,2460300,3488768,458,458,45000
25358,19.0318,17758400,2117400,3491840,458,458,635900
25359,17.7355,15978000,2861400,3523584,458,458,41000
25360,17.9505,18354500,2431900,3502080,458,458,47400
25361,17.0745,17462300,2128100,3539968,458,458,64200
