frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
26910,19.41101,17200600,2361000,3489792,458,458,51000
26911,19.59169,16528099,2269600,3478528,458,458,123200
26912,19.5278,16277300,2084099,3523584,458,458,47600
26913,19.2368,17930700,2374400,3470336,458,458,635100
26914,18.2675,17493500,2204400,3445760,458,458,66200
26915,19.7108,17956200,2672200,3532800,458,458,77700
26916,18.5455,17715200,2250900,3503104,458,458,44200
26917,17.93321,16469000,2231700,3459072,458,458,642900
26918,19.30239,18095300,2271500,3475456,458,458,84800
26919,17.6907,17134300,2206900,3531776,458,458,43100
26920,19.9088,16349400,2112500,3474432,458,458,43500
26921,19.2862,17858600,2878700,3493888,458,458,737000
26922,21.6554,16120300,2326100,3489792,458,458,53700
26923,18.208,18238600,2221600,3490816,458,458,63000
26924,20.111,17248800,2507100,3492864,458,458,51000
26925,20.0131,20065900,1952600,3496960,458,458,636200
26926,18.5428,16632200,2104100,3497984,458,458,44600
26927,19.1274,18650300,2288600,3502080,458,458,47900
26928,17.4459,18469000,2484900,3486720,458,458,45200
26929,20.5584,16209800,2358100,3484672,458,458,699000
26930,20.21049,17529400,1904800,3512320,458,458,46600
26931,19.1517,16041200,2244200,3474432,458,458,48500
26932,17.9242,19108700,2785100,3492864,458,458,50300
26933,18.961,18565700,2557200,3490816,458,458,688400
26934,24.1978,17708700,1979100,3490816,458,458,53400
26935,17.77081,16475000,2306500,3492864,458,458,43700
26936,19.7973,17261700,2836700,3492864,458,458,44400
26937,18.8175,22219200,2048900,3512320,458,458,649000
26938,20.7784,16287700,2375300,3465216,458,458,48400
26939,17.6243,17990200,2416600,3477504,458,458,133900
26940,19.2709,17374500,2322500,3500032,458,458,43700
26941,18.6324,19222000,2165600,3464192,458,458,629500
26942,19.3941,16221100,2255200,3504128,458,458,50900
26943,20.0898,17438100,2347000,3473408,458,458,58000
26944,18.1672,16762400,2079300,3464192,458,458,43000
26945,18.9903,17196000,2149000,3491840,458,458,636400
26946,19.6715,18285700,2222600,3496960,458,458,43300
26947,20.0889,16751500,2448800,3490816,458,458,46600
26948,19.52,17568200,1887100,3531776,458,458,58900
26949,18.9628,17831800,2250700,3487744,458,458,850600
26950,22.80339,18190600,1938900,3479552,458,458,74100
26951,19.8089,18150700,1847600,3544064,458,458,71700
26952,19.3588,17535400,2269700,3479552,458,458,42900
26953,18.9692,21073000,2228900,3507200,458,458,627100
26954,19.5849,18208100,2547700,3505152,458,458,48300
26955,18.9594,17754400,2256300,3503104,458,458,285400
26956,19.4759,17352500,2100500,3485696,458,458,42900
26957,20.5738,18101200,2072200,3527680,458,458,649600
26958,20.1094,17553800,2216900,3523584,458,458,42400
26959,19.859,16940100,2484700,3610624,458,458,44100
26960,18.3022,18761800,2469900,3539968,458,458,62800
26961,18.2484,18306600,2926000,3486720,458,458,772800
26962,20.9122,18342800,2193300,3484672,458,458,49800
26963,18.7752,16501600,2135800,3535872,458,458,45900
26964,20.1556,16291599,2195200,3485696,458,458,43100
26965,17.04751,19326800,2496400,3489792,458,458,693300
26966,21.624,16609400,2409300,3487744,458,458,55800
26967,20.58459,18301900,1974300,3483648,458,458,80800
26968,18.047,15576200,2098200,3483648,458,458,44100
26969,18.0349,20089000,2268200,3487744,458,458,630000
26970,20.6486,19001700,2254200,3491840,458,458,55700
26971,20.4139,16455300,2297500,3496960,458,458,92600
26972,18.4165,16543500,1930500,3446784,458,458,44900
26973,20.5174,19048000,2166400,3502080,458,458,679400
26974,21.6517,18377000,2009599,3467264,458,458,63900
26975,21.0214,16959200,2370200,3484672,458,458,51700
26976,21.1971,18490100,2256000,3510272,458,458,59400
26977,19.1836,19887100,2060099,3506176,458,458,706100
26978,21.2029,18037500,2290500,3515392,458,458,41900
26979,20.073,19275300,2236200,3494912,458,458,41700
26980,20.0011,17426200,2392700,3493888,458,458,43000
26981,19.2694,18821400,2912400,3483648,458,458,649400
26982,20.185,17984300,3317500,3481600,458,458,42500
26983,19.94761,17842000,2300200,3628032,458,458,48700
26984,18.1213,17786500,2367600,3503104,458,458,45500
26985,20.56129,18554500,2289000,3506176,458,458,723600
26986,20.4015,17886200,2046100,3508224,458,458,69300
26987,19.7678,16732600,2711400,3497984,458,458,49800
26988,20.4321,17861300,2200000,3487744,458,458,52500
26989,18.7769,18880400,2677200,3500032,458,458,640800
26990,20.045,18170300,3101100,3481600,458,458,43900
26991,18.8606,19007600,2149300,3497984,458,458,43300
26992,17.5937,17332600,2018800,3493888,458,458,47100
26993,19.7334,18041300,2271500,3493888,458,458,675600
26994,20.0814,17411200,2460400,3504128,458,458,58400
26995,19.6822,15720100,2105800,3494912,458,458,50500
26996,20.3,18283500,2245200,3501056,458,458,44000
26997,18.5218,18379000,2163300,3495936,458,458,737000
26998,19.3332,18136600,2281700,3454976,458,458,53900
26999,19.651,18920100,2889800,3500032,458,458,53800
27000,20.12251,16475700,2465000,3481600,458,458,77200
27001,17.4477,17732600,2128400,3482624,458,458,649100
27002,20.4142,17667700,2084499,3478528,458,458,44800
27003,19.3267,18198300,2110600,3465216,458,458,42300
27004,19.8665,15406900,2772200,3490816,458,458,105400
27005,17.4544,18765500,2705700,3473408,458,458,687200
27006,21.0179,17894100,2367600,3476480,458,458,46400
27007,19.9209,18369500,1922800,3477504,458,458,71000
27008,20.2506,16045500,2274400,3500032,458,458,43600
27009,20.0784,19362100,2293400,3487744,458,458,644200
27010,18.2756,17982500,2881600,3502080,458,458,66700
27011,17.4164,18690200,2957700,3514368,458,458,41600
27012,18.2177,18676200,1974600,3509248,458,458,47100
27013,19.3823,16479299,2283200,3466240,458,458,790400
27014,17.95201,15995800,2193200,3524608,458,458,43000
27015,21.1798,16702000,2355600,3509248,458,458,44500
27016,19.2357,17319600,2334700,3510272,458,458,42500
27017,18.4511,16489200,2490600,3508224,458,458,644800
27018,17.9621,19585100,3168500,3518464,458,458,43100
27019,17.69979,17827000,2089600,3497984,458,458,55600
27020,19.05191,16925300,1939400,3478528,458,458,243500
27021,18.0834,16492300,2364700,3509248,458,458,638400
27022,20.349,16196000,2523800,3495936,458,458,94600
27023,21.374,17250600,2198300,3494912,458,458,55100
27024,19.5128,16167300,2517700,3479552,458,458,42600
27025,18.5516,18186200,2205800,3538944,458,458,630300
27026,18.452,19542000,2909700,3486720,458,458,66200
27027,19.522,17927200,2192400,3501056,458,458,41900
27028,17.7943,16836100,1979000,3538944,458,458,42700
27029,21.8687,16948200,2188800,3530752,458,458,645600
27030,19.6629,18019200,2045200,3474432,458,458,45700
27031,18.0319,16273599,2907800,3470336,458,458,42600
27032,18.90069,20487300,2303500,3508224,458,458,45100
27033,17.7017,18225200,1890800,3494912,458,458,738000
27034,20.2557,16515999,2255800,3602432,458,458,44600
27035,18.5465,17118500,2062600,3482624,458,458,45400
27036,19.7113,16152000,2114600,3484672,458,458,42800
27037,17.7982,18215600,1853400,3485696,458,458,758800
27038,20.4505,17213800,2520900,3489792,458,458,49200
27039,18.1648,17798200,2246800,3489792,458,458,43900
27040,20.3919,15502900,2182800,3493888,458,458,45300
27041,19.797,18784900,1907100,3494912,458,458,649100
27042,18.1283,16523499,2227500,3517440,458,458,60000
27043,18.9798,18115100,3088100,3484672,458,458,62200
27044,18.1476,18368900,2165900,3489792,458,458,52000
27045,17.54311,16661000,2067600,3484672,458,458,708000
27046,18.621,17537500,2688900,3681280,458,458,42300
27047,20.3703,16699600,1873100,3489792,458,458,42800
27048,17.7146,15479300,2056500,3510272,458,458,44600
27049,20.0514,16619700,2440800,3491840,458,458,660200
27050,20.3722,18437200,2137400,3501056,458,458,49200
27051,19.5758,16275800,2158900,3492864,458,458,72400
27052,18.34089,18447100,2070800,3485696,458,458,65800
27053,18.1711,18554700,2118000,3505152,458,458,659400
27054,20.4234,18186400,2492900,3483648,458,458,127500
27055,17.6025,16845700,2263900,3500032,458,458,43300
27056,18.9855,16686900,2322000,3488768,458,458,43600
27057,17.1895,18650500,2181600,3459072,458,458,753000
27058,18.6823,15986400,2592500,3497984,458,458,41100
27059,19.8548,17383300,2064900,3491840,458,458,45100
27060,17.27029,15764300,2230100,3508224,458,458,89000
27061,20.1251,17094100,3130500,3482624,458,458,790900
27062,19.0276,18457200,1966600,3485696,458,458,46000
27063,20.6714,15791900,2237000,3497984,458,458,62900
27064,17.99751,18648700,2615200,3502080,458,458,48800
27065,17.0135,17550300,3043600,3508224,458,458,628700
27066,18.5847,18824000,2168800,3551232,458,458,43100
27067,17.1494,16413699,2092400,3495936,458,458,46200
27068,20.088,15612300,2311800,3466240,458,458,43800
27069,19.3559,17126700,2037000,3484672,458,458,621500
27070,20.547,15721500,2299000,3501056,458,458,47300
27071,17.2913,18410400,3262600,3451904,458,458,75500
27072,17.9325,17039700,3082700,3484672,458,458,44100
27073,17.6558,19121100,2049799,3471360,458,458,625300
27074,21.0093,15735500,2286500,3544064,458,458,45700
27075,20.3242,15973300,2107600,3506176,458,458,84100
27076,17.4864,15769600,2214200,3506176,458,458,47100
27077,19.0899,19549100,2245400,3500032,458,458,632600
27078,20.0937,18549100,2137700,3445760,458,458,46000
27079,20.5934,15942200,2403800,3495936,458,458,43200
27080,19.94501,17678800,2241800,3478528,458,458,68000
27081,18.302,18677100,2237900,3518464,458,458,793400
27082,20.9157,18827600,2116400,3502080,458,458,43600
27083,18.6039,18185600,2256300,3509248,458,458,65900
27084,19.2037,16853900,2117300,3491840,458,458,86700
27085,17.6187,19468000,3521600,3519488,458,458,743500
27086,20.9786,16630299,2265100,3470336,458,458,42400
27087,18.5662,17690200,2067699,3487744,458,458,44700
27088,19.2615,15965000,2166700,3479552,458,458,45500
27089,17.771,19439300,2782300,3496960,458,458,674800
27090,18.3625,16512000,2480400,3484672,458,458,43000
27091,20.3314,17716000,1801600,3484672,458,458,99200
27092,19.1,16239200,2522000,3499008,458,458,51300
27093,17.4305,16546299,2646300,3510272,458,458,654400
27094,18.2908,18926800,2510800,3529728,458,458,43000
27095,19.1386,17449700,2115200,3487744,458,458,46100
27096,21.3681,15916600,2382000,3492864,458,458,55900
27097,18.6934,16412500,2306900,3505152,458,458,735300
27098,18.194,17305100,2286200,3510272,458,458,43600
27099,17.7696,19773800,2200000,3523584,458,458,46900
27100,19.7953,17119100,2453000,3521536,458,458,72400
27101,18.0869,16783500,2078800,3494912,458,458,638100
27102,21.2762,15935400,2131300,3493888,458,458,43100
27103,17.66181,18096500,2747300,3504128,458,458,81100
27104,19.4589,16651200,2961100,3496960,458,458,48200
27105,18.2116,19687500,2154500,3499008,458,458,613000
27106,20.0671,16157499,2419400,3478528,458,458,46600
27107,17.6027,17110300,2033100,3493888,458,458,69800
27108,17.815,16688199,3095300,3508224,458,458,65800
27109,19.1099,18337300,1953500,3480576,458,458,675800
27110,19.0973,15819700,2077100,3519488,458,458,51200
27111,18.3519,16328700,2512800,3494912,458,458,42500
27112,19.6134,17476300,2225900,3504128,458,458,50700
27113,20.5431,17622700,2264600,3532800,458,458,684700
27114,21.073,16725100,3514100,3509248,458,458,50200
27115,18.3706,17712600,2876900,3515392,458,458,44500
27116,20.5528,18829900,2697600,3506176,458,458,49100
27117,19.9359,19384900,2259100,3505152,458,458,651000
27118,23.8746,16833100,2814600,3493888,458,458,48900
27119,20.0296,18883400,2040500,3470336,458,458,42200
27120,19.2735,18012500,2942100,3492864,458,458,46800
27121,23.1191,22366600,3131200,3485696,458,458,633200
27122,20.122,18490200,2158400,3500032,458,458,43900
27123,20.6277,17800500,2672500,3515392,458,458,42100
27124,18.1614,21523100,2927000,3485696,458,458,51400
27125,17.2736,17968800,3084300,3519488,458,458,638600
27126,20.2978,19168000,2043699,3520512,458,458,54500
27127,18.6903,16405700,2060000,3453952,458,458,50600
27128,20.16,15863000,2486500,3509248,458,458,78300
27129,18.7623,18325400,2701600,3517440,458,458,696700
27130,18.5661,16706299,2476500,3512320,458,458,43200
27131,17.5336,18581900,2152500,3520512,458,458,58400
27132,17.5617,17215000,2459900,3502080,458,458,40500
27133,19.6704,16954100,1976000,3482624,458,458,609300
27134,18.4376,15551300,2103300,3502080,458,458,190500
27135,17.2265,16144900,2659300,3483648,458,458,45300
27136,17.51001,17788700,2027800,3450880,458,458,61200
27137,19.7097,16748100,2069100,3506176,458,458,653600
27138,18.9346,15761800,2156700,3502080,458,458,42700
27139,20.9929,15425100,2276500,3501056,458,458,44100
27140,17.4903,18155700,2087800,3549184,458,458,45100
27141,19.57881,17375500,2227900,3501056,458,458,1023400
27142,22.94259,19221100,2174200,3475456,458,458,43200
27143,21.14581,15941000,2217200,3479552,458,458,44400
27144,19.3522,17851200,2244400,3485696,458,458,64500
27145,17.9089,21419100,2595000,3453952,458,458,727900
27146,20.6496,19499200,2414100,3478528,458,458,68000
27147,18.8422,17836800,2013599,3475456,458,458,43300
27148,19.2866,16471100,1974600,3488768,458,458,45100
27149,19.4891,18985100,2373300,3499008,458,458,644300
