frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
26099,21.6489,19791300,2539200,3555328,458,458,91900
26100,20.2523,16919700,3274700,3573760,458,458,44900
26101,20.5028,18789200,1966600,3605504,458,458,44100
26102,21.3643,20251900,2532900,3594240,458,458,711000
26103,22.9714,18563800,3259300,3571712,458,458,46500
26104,18.8544,18475100,2343100,3564544,458,458,47000
26105,23.9244,19185400,2418700,3623936,458,458,54300
26106,18.5806,20335600,2063500,3577856,458,458,706000
26107,20.54549,17465600,2261400,3593216,458,458,66600
26108,18.395,21750000,2283300,3584000,458,458,49900
26109,17.9273,17214800,2138500,3601408,458,458,108000
26110,18.9522,18881000,2325400,3572736,458,458,687800
26111,18.7445,16937500,2123900,3544064,458,458,46000
26112,17.8008,16060500,2100200,3582976,458,458,77500
26113,17.4698,17491900,2908000,3582976,458,458,72200
26114,21.479,17158900,2091800,3573760,458,458,648500
26115,18.5645,16029699,2117100,3618816,458,458,45100
26116,18.0835,15680600,2062500,3579904,458,458,76800
26117,19.7043,19538600,2748200,3606528,458,458,51100
26118,19.507,16663699,2050800,3576832,458,458,638800
26119,20.3341,16166799,2057200,3544064,458,458,43700
26120,21.2027,18237700,2198500,3602432,458,458,61500
26121,19.8887,18045400,2195800,3596288,458,458,82300
26122,24.0373,18473700,2181800,3594240,458,458,739300
26123,20.2728,19746300,2821400,3562496,458,458,53500
26124,19.4441,18371900,2817000,3601408,458,458,56100
26125,20.2412,21837900,2717500,3593216,458,458,43200
26126,19.5474,18547800,2376600,3619840,458,458,665400
26127,19.3202,18079800,2350100,3633152,458,458,47900
26128,19.5372,18013900,3162300,3603456,458,458,48300
26129,19.7127,17970000,2523700,3591168,458,458,56200
26130,19.4627,17612100,2688300,3575808,458,458,653900
26131,19.0988,17989300,2510300,3570688,458,458,42600
26132,20.2512,17880100,2341400,3586048,458,458,44000
26133,19.2197,18103500,2315100,3590144,458,458,44400
26134,18.3317,17195000,2935500,3572736,458,458,747900
26135,19.11399,18778300,2481600,3605504,458,458,65300
26136,21.573,17721700,2051200,3584000,458,458,42200
26137,19.0039,16892200,2165200,3586048,458,458,42200
26138,21.0766,17517300,2307100,3603456,458,458,631200
26139,20.2988,19793400,3122100,3584000,458,458,41800
26140,18.7818,16972600,2419700,3566592,458,458,73200
26141,18.4822,19597000,2510700,3581952,458,458,91600
26142,18.338,18832400,2268000,3584000,458,458,816300
26143,20.1691,17304500,2078300,3578880,458,458,43000
26144,19.1182,16925200,2735500,3573760,458,458,53300
26145,18.0385,16814800,2860000,3550208,458,458,229800
26146,23.494,18652800,2133800,3579904,458,458,692700
26147,19.2186,17220300,2352500,3590144,458,458,49100
26148,22.2108,16379000,2825600,3552256,458,458,52000
26149,19.0256,20533200,2073500,3545088,458,458,113600
26150,20.7724,17557200,2203500,3609600,458,458,651600
26151,21.9329,20324300,2226900,3591168,458,458,63500
26152,18.9209,17466300,2125800,3603456,458,458,46600
26153,21.1159,19032700,2132400,3581952,458,458,42200
