index,distance
0,2.500008
1,2.611729
2,2.875887
3,3.114903
4,3.523587
5,3.897964
6,3.757058
7,3.608571
8,3.475454
9,3.355755
10,3.247848
11,3.150382
12,3.062221
13,2.982394
14,2.910082
15,2.84457
16,2.785264
17,2.731642
18,2.683254
19,2.639706
20,2.600668
21,2.565852
22,2.535005
23,2.507907
24,2.484372
25,2.464255
26,2.447414
27,2.433755
28,1.080923
29,1.018547
30,0.9640859
31,0.9162166
32,0.8738889
33,0.8362729
34,0.8027006
35,0.7726261
36,0.7455949
37,0.7212443
38,0.6992563
39,0.6793717
40,0.661373
41,0.6450681
42,0.6302975
43,0.6169224
44,0.604825
45,0.5939023
46,0.5840664
47,0.5752399
48,0.5673577
49,0.5603622
50,0.5542025
51,0.548841
52,0.5442365
53,0.5403643
54,0.5371931
55,0.5347096
56,0.5328951
57,0.5317329
58,0.5312269
59,0.5313706
60,0.5321565
61,0.5335987
62,0.5357049
63,0.5384859
64,0.5419601
65,0.5461493
66,0.5510785
67,0.5567814
68,0.5632946
69,0.5706697
70,0.578962
71,0.5882127
72,0.5985135
73,0.6099371
74,0.6225718
75,0.6365425
76,0.6519597
77,0.6689783
78,0.6877801
79,0.7085456
80,0.7315251
81,0.7569983
82,0.7853117
83,0.8168508
84,0.8521013
85,0.8044654
86,0.5049061
87,0.5027465
88,0.5012133
89,0.5002971
90,0.4999924
91,0.4770057
92,0.4489237
93,0.4244443
94,0.4029695
95,0.3840001
96,0.3671696
97,0.3521659
98,0.338729
99,0.3266648
100,0.3158059
101,0.3059968
102,0.2971502
103,0.2891257
104,0.281863
105,0.2752768
106,0.2693245
107,0.2639261
108,0.259062
109,0.2546701
110,0.2507279
111,0.247196
112,0.2440659
113,0.2413018
114,0.2388816
115,0.2368001
116,0.2350378
117,0.2301075
118,0.2289683
119,0.2235282
120,0.2175702
121,0.2121832
122,0.2072968
123,0.2028745
124,0.1988696
125,0.1952574
126,0.192004
127,0.1890818
128,0.1864724
129,0.1841538
130,0.1821131
131,0.180334
132,0.1788044
133,0.1775151
134,0.1764579
135,0.1756259
136,0.2595853
137,0.2648525
138,0.2706746
139,0.2771043
140,0.2842012
141,0.2920348
142,0.3006899
143,0.3102645
144,0.3208741
145,0.3326523
146,0.3457638
147,0.3604103
148,0.3768355
149,0.395326
150,0.4162626
151,0.4401087
152,0.467455
153,0.4990698
154,0.5359819
155,0.5707932
156,0.5894489
157,0.6047556
158,0.6216567
159,0.6403273
160,0.9886152
161,1.119859
162,1.161519
163,1.678169
164,1.750218
165,1.847229
166,1.898943
167,1.95566
168,2.018394
169,2.087916
170,2.128363
171,2.284094
172,17.42606
173,2.538163
174,2.526306
175,2.579789
176,2.730484
177,2.90163
178,2.849425
179,2.640555
