index,distance
0,2.5
1,2.725831
2,2.949193
3,3.226303
4,3.468393
5,3.304591
6,3.155269
7,3.029671
8,2.913719
9,2.805532
10,2.707599
11,2.631315
12,2.553374
13,2.480927
14,2.338741
15,1.151238
16,0.7212607
17,0.613254
18,0.5906763
19,0.5807007
20,0.5717368
21,0.5637251
22,0.5566012
23,0.5503181
24,0.5418003
25,0.5369536
26,0.5328345
27,0.5294219
28,0.5266876
29,0.5246198
30,0.5232015
31,0.5224237
32,0.5222836
33,0.5227819
34,0.5239204
35,0.5257071
36,0.5281488
37,0.5312685
38,0.5350747
39,0.5396009
40,0.5448722
41,0.5509321
42,0.5578077
43,0.5655562
44,0.5742328
45,0.5839043
46,0.5946426
47,0.6065342
48,0.6196856
49,0.634208
50,0.6502407
51,0.6679359
52,0.6874857
53,0.709103
54,0.7330446
55,0.7596165
56,0.7891858
57,0.8221957
58,0.859179
59,0.9007932
60,0.9478589
61,1.001401
62,1.062725
63,1.133518
64,1.216009
65,1.313173
66,1.429103
67,1.569591
68,1.609362
69,1.62895
70,1.651051
71,1.675831
72,1.70348
73,1.734198
74,1.768242
75,1.805891
76,1.847482
77,1.89339
78,1.94407
79,2.000039
80,2.061913
81,2.130424
82,2.206414
83,2.290924
84,2.385188
85,2.490709
86,2.609317
87,2.743299
88,2.895512
89,3.069558
90,3.270107
91,3.503259
92,3.777169
93,4.102967
94,4.33354
95,4.09517
96,1.107
97,1.05482
98,1.008516
99,0.9672305
100,0.9302831
101,0.8971076
102,0.8672326
103,0.8402758
104,0.8159143
105,0.7938578
106,0.7738878
107,0.7557209
108,0.7390203
109,0.7239072
110,0.7102492
111,0.6979291
112,0.6950798
113,0.7171424
114,0.7080258
115,0.6999791
116,0.6929479
117,0.6868849
118,0.6817524
119,0.6775173
120,0.674147
121,0.6716264
122,0.6699352
123,0.6690683
124,0.6690156
125,0.6697839
126,0.6713712
127,0.6737831
128,0.677043
129,0.6811719
130,0.6860591
131,0.6917793
132,0.6984522
133,0.706127
134,0.714852
135,0.7246857
136,0.7770045
137,0.7902782
138,0.8050003
139,0.8213092
140,0.839332
141,0.8592382
142,0.881206
143,0.9054644
144,0.9322585
145,0.9618991
146,0.9946616
147,1.03048
148,1.070334
149,1.065029
150,1.086222
151,1.115944
152,1.139941
153,1.149083
154,1.156235
155,1.16491
156,1.175157
157,1.187044
158,1.200655
159,1.216076
160,1.233423
161,1.252823
162,1.236068
163,1.230302
164,1.320428
165,1.358314
166,1.390783
167,1.42662
168,1.46619
169,1.50991
170,1.558269
171,1.577193
172,1.594348
173,1.742899
174,1.817176
175,1.900485
176,1.994342
177,2.011016
178,2.4989
179,2.360813
