index,distance
0,1.700001
1,1.701037
2,1.996238
3,1.983929
4,1.882221
5,1.79251
6,1.712962
7,1.64208
8,1.578681
9,1.521781
10,1.470573
11,1.424374
12,1.382624
13,1.344842
14,1.310622
15,1.279626
16,1.251546
17,1.226142
18,1.203179
19,1.182476
20,1.16387
21,1.147211
22,1.132387
23,1.119283
24,1.107818
25,1.097908
26,1.089489
27,1.082506
28,1.076917
29,1.072687
30,1.134377
31,2.410259
32,2.409622
33,2.41192
34,2.41717
35,2.425411
36,2.436677
37,2.451059
38,2.468627
39,2.408605
40,2.341721
41,2.281164
42,2.2263
43,2.176605
44,2.131616
45,2.090946
46,2.054253
47,2.021247
48,1.991681
49,1.96532
50,1.941983
51,1.921507
52,1.903752
53,1.888607
54,1.875965
55,1.865749
56,1.857899
57,1.852356
58,1.849096
59,1.848096
60,1.849349
61,1.852861
62,1.858653
63,1.866763
64,1.877245
65,1.89016
66,1.905596
67,1.923643
68,1.94443
69,1.968089
70,1.994797
71,2.02474
72,2.058139
73,2.095254
74,2.136385
75,2.181874
76,2.232119
77,2.287589
78,2.348822
79,2.416446
80,2.491204
81,2.573974
82,2.665786
83,2.606248
84,2.321945
85,1.965963
86,1.806556
87,1.598352
88,1.434739
89,1.300792
90,1.299999
91,1.354054
92,1.461155
93,1.588758
94,1.711222
95,1.722023
96,1.634741
97,1.557687
98,1.489285
99,1.427262
100,1.38343
101,1.385061
102,1.294747
103,17.42606
104,17.42606
105,17.42606
106,17.42606
107,1.228184
108,1.201185
109,1.152398
110,1.131091
111,1.076507
112,1.094639
113,1.07921
114,1.065492
115,1.053383
116,1.042805
117,1.033684
118,1.025961
119,1.019581
120,1.014512
121,1.010717
122,1.008177
123,1.006654
124,1.006275
125,1.007121
126,1.009198
127,0.9670215
128,0.9621156
129,0.9584204
130,0.9550806
131,0.9312311
132,0.909627
133,0.8900616
134,0.8723576
135,0.8563728
136,0.8419665
137,0.8290306
138,0.8174661
139,0.8071947
140,0.7981319
141,0.7902256
142,0.7834179
143,0.7255951
144,0.7129046
145,0.7249884
146,0.7384045
147,0.753261
148,0.763692
149,0.7671625
150,0.7681416
151,0.7700528
152,0.7729275
153,0.7767711
154,0.7816058
155,0.7874701
156,0.7943937
157,0.802431
158,0.8116332
159,0.8220582
160,0.8337855
161,0.8468947
162,0.8614984
163,0.8443536
164,0.8254255
165,0.8622421
166,0.9373212
167,0.9657775
168,0.9925655
169,1.022157
170,1.054898
171,1.091183
172,1.131473
173,1.176346
174,1.22647
175,1.218513
176,1.34605
177,1.424111
178,1.506233
179,1.600477
