index,distance
0,1.787804
1,1.672112
2,1.572285
3,1.485409
4,1.409261
5,1.342091
6,1.282528
7,1.229461
8,1.214227
9,1.227249
10,1.242094
11,2.856009
12,2.772298
13,2.69654
14,2.627933
15,2.565775
16,2.509483
17,2.458535
18,2.412494
19,2.370983
20,2.333673
21,2.300273
22,2.270549
23,2.24428
24,2.221287
25,2.201416
26,2.184535
27,2.170537
28,2.159329
29,2.067313
30,1.951089
31,1.849369
32,1.759769
33,1.680401
34,1.609763
35,1.54663
36,1.49001
37,1.439082
38,1.393159
39,1.351669
40,1.314139
41,1.280151
42,1.249368
43,1.221474
44,1.196228
45,1.173405
46,1.152817
47,1.134298
48,1.117703
49,1.102908
50,1.08981
51,1.078324
52,1.06836
53,1.059856
54,1.052762
55,1.04703
56,1.042622
57,1.039517
58,1.037686
59,1.037124
60,1.037827
61,1.039798
62,1.043048
63,1.047601
64,1.053483
65,1.060732
66,1.06939
67,1.07952
68,1.091183
69,1.104464
70,1.119448
71,1.136252
72,1.154998
73,1.175825
74,1.198907
75,1.224434
76,1.252633
77,1.283759
78,1.318126
79,1.356071
80,1.398025
81,1.444473
82,1.495997
83,1.553299
84,1.617211
85,1.688757
86,1.769179
87,1.86002
88,1.963221
89,2.025297
90,1.856525
91,1.712961
92,1.676064
93,1.568966
94,1.476423
95,1.395797
96,1.32444
97,1.260895
98,1.248098
99,1.197106
100,1.151465
101,1.110485
102,1.073584
103,1.040276
104,1.010171
105,0.9829234
106,0.958245
107,1.034565
108,1.033965
109,0.8883144
110,0.913787
111,1.385389
112,1.363894
113,1.344672
114,1.32758
115,1.312494
116,1.298993
117,1.287217
118,1.277198
119,1.312752
120,1.308741
121,1.277313
122,13.59331
123,13.59331
124,13.59331
125,13.59331
126,1.353054
127,1.357627
128,1.342344
129,1.350523
130,1.329621
131,1.372257
132,1.385945
133,1.401634
134,1.41944
135,1.439468
136,1.461882
137,1.486849
138,1.514557
139,1.544715
140,1.577962
141,1.562706
142,1.582373
143,1.599149
144,1.589419
145,1.581725
146,1.576013
147,1.57225
148,1.570411
149,1.570496
150,1.572491
151,1.509662
152,1.547996
153,1.590157
154,1.603552
155,1.615583
156,1.629795
157,1.646279
158,1.665153
159,1.686543
160,1.697028
161,1.668763
162,1.767457
163,1.804615
164,1.841482
165,1.882225
166,1.927219
167,1.976882
168,1.970344
169,2.092289
170,2.164006
171,2.238433
172,2.321089
173,2.37041
174,2.521431
175,2.637025
176,2.511244
177,2.276114
178,2.083567
179,1.923218
