index,distance
0,4.512547
1,4.702866
2,5.118712
3,2.154334
4,2.039871
5,1.942649
6,1.856429
7,1.779615
8,1.710904
9,1.649239
10,1.593741
11,1.543675
12,1.498424
13,1.45748
14,1.420401
15,1.386804
16,1.356378
17,1.328836
18,1.303954
19,1.281518
20,1.261351
21,1.2433
22,1.227231
23,1.213032
24,1.200606
25,1.189867
26,1.180742
27,1.173176
28,1.16712
29,1.162532
30,1.14887
31,1.088973
32,1.036214
33,0.9894797
34,0.9478868
35,0.9107117
36,0.8773684
37,0.8473822
38,0.8203417
39,0.7959147
40,0.7738144
41,0.7537991
42,0.7356739
43,0.719251
44,0.704382
45,0.6909409
46,0.6788231
47,0.6679136
48,0.6581388
49,0.6494284
50,0.6417189
51,0.6349531
52,0.629088
53,0.624078
54,0.619906
55,0.6165318
56,0.6139372
57,0.6121047
58,0.611028
59,0.6106933
60,0.6111103
61,0.6122682
62,0.6141819
63,0.6168664
64,0.6203294
65,0.6245966
66,0.6296913
67,0.6356577
68,0.6425237
69,0.6503464
70,0.6591737
71,0.6690678
72,0.6801008
73,0.6923676
74,0.7059606
75,0.7209902
76,0.7375937
77,0.7559193
78,0.776158
79,0.7985045
80,0.8232045
81,0.8505549
82,0.880896
83,0.9146381
84,0.9522704
85,0.994401
86,1.041751
87,1.095248
88,1.15601
89,1.225501
90,1.305569
91,1.398656
92,1.508011
93,1.638082
94,1.795104
95,1.988105
96,2.230642
97,2.544115
98,2.695868
99,2.58551
100,2.48541
101,2.449072
102,2.367525
103,2.293936
104,2.227416
105,2.166548
106,2.12252
107,2.094039
108,2.048733
109,2.007741
110,1.970712
111,1.93734
112,2.05664
113,1.871422
114,2.354581
115,2.327828
116,2.304311
117,2.283421
118,2.3101
119,2.277475
120,17.42606
121,17.42606
122,2.321925
123,2.318413
124,2.292872
125,2.299477
126,2.30492
127,2.313212
128,2.324408
129,2.338575
130,2.355577
131,2.375219
132,2.344927
133,2.345137
134,2.2985
135,2.256371
136,2.218415
137,2.184333
138,2.089234
139,2.107104
140,2.106511
141,2.085642
142,2.067679
143,2.052502
144,2.040013
145,2.030136
146,1.974008
147,2.01373
148,2.019049
149,2.019152
150,2.021716
151,2.026762
152,2.034317
153,2.041561
154,2.004597
155,2.072594
156,2.094373
157,2.115568
158,2.139819
159,2.167303
160,0.7404104
161,0.7197712
162,0.7010833
163,0.6841521
164,0.6688167
165,0.8153388
166,1.132027
167,2.455585
168,2.614021
169,2.691968
170,2.778191
171,2.838949
172,2.984892
173,3.103261
174,3.23551
175,3.383844
176,3.556951
177,3.720381
178,4.170709
179,4.202561
