frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
4277,17.2029,20068400,2037300,3193856,454,454,688400
4278,18.375,16276499,2288100,3248128,454,454,36900
4279,18.1341,17930000,2157600,3257344,454,454,67400
4280,16.7597,15700100,2086399,3248128,454,454,64300
4281,18.6211,15820000,1947500,3232768,454,454,865900
4282,17.5529,16768899,2114600,3269632,454,454,42800
4283,18.6346,15365900,2121600,3208192,454,454,42400
4284,17.972,17228600,1801800,3305472,454,454,38600
4285,19.8426,16004000,2119400,3240960,454,454,689100
4286,19.1378,17041600,1896600,3239936,454,454,42900
4287,18.31721,16623100,2162700,3217408,454,454,44100
4288,17.0886,18463500,2073400,3240960,454,454,43300
4289,17.2635,17783800,2287900,3272704,454,454,671900
4290,19.4623,16827100,2085700,3219456,454,454,41300
4291,17.33459,15559900,2092099,3255296,454,454,37600
4292,18.5683,15724800,2144100,3245056,454,454,42300
4293,16.9436,18108700,1886400,3221504,454,454,770800
4294,19.433,15834700,2169500,3254272,454,454,68600
4295,18.71219,17035000,2154300,3241984,454,454,43600
4296,18.2217,15476400,2129200,3256320,454,454,37000
4297,17.4905,17716300,2098200,3212288,454,454,708300
4298,19.0916,17302700,2113000,3258368,454,454,44900
4299,16.7298,16722999,1928100,3246080,454,454,38200
4300,17.1587,16116299,2285900,3272704,454,454,37100
4301,17.5908,17678000,2013100,3244032,454,454,719200
4302,17.737,15239800,2328900,3256320,454,454,59200
4303,18.5849,15764100,1910000,3224576,454,454,38900
4304,17.2789,16181200,2031100,3244032,454,454,44500
4305,18.8819,16288799,2382700,3213312,454,454,767500
4306,17.2935,17133800,1956700,3211264,454,454,72900
4307,19.8259,15823900,2180500,3222528,454,454,37100
4308,17.5488,17227700,1950900,3248128,454,454,43000
4309,18.0302,15890100,2573100,3206144,454,454,652500
4310,18.22721,18292800,2106100,3280896,454,454,40600
4311,18.1976,16190600,2129400,3253248,454,454,51900
4312,18.4912,16551200,1950100,3247104,454,454,35900
4313,19.3823,16764700,2090599,3248128,454,454,662500
4314,20.0169,16849100,1961400,3283968,454,454,37000
4315,17.4488,16972900,2398000,3244032,454,454,39500
4316,17.173,17975300,2118700,3260416,454,454,42700
4317,17.2571,18655100,1970800,3264512,454,454,973000
4318,19.6651,16022700,1812300,3241984,454,454,65000
4319,17.021,15679300,2023800,3228672,454,454,46900
4320,17.4255,15821200,2281400,3238912,454,454,37900
4321,17.7405,18188000,1988600,3250176,454,454,650400
4322,20.1596,15629100,1738800,3247104,454,454,41600
4323,16.9249,16022500,1746600,3260416,454,454,42900
4324,18.61759,16319500,2147500,3239936,454,454,38700
4325,19.1086,18664400,1800800,3214336,454,454,705200
4326,16.9157,15565200,2324100,3257344,454,454,50000
4327,17.244,17146900,2161800,3222528,454,454,38100
4328,18.9643,17752500,1742000,3245056,454,454,37400
4329,19.6792,15544900,1741400,3208192,454,454,702500
4330,19.5501,15616400,2021100,3267584,454,454,42800
4331,18.70249,17534500,2005500,3245056,454,454,67300
4332,16.7666,18340800,1995300,3249152,454,454,40300
4333,18.2791,18080200,2423300,3218432,454,454,645400
4334,17.7231,17284800,1935100,3255296,454,454,40300
4335,16.9653,15307100,2054500,3213312,454,454,161700
4336,16.8635,16864400,1746800,3231744,454,454,40200
4337,16.9316,16293900,1694300,3249152,454,454,780000
4338,17.0029,15645100,1898800,3236864,454,454,48900
4339,19.1651,15316500,1888000,3263488,454,454,48000
4340,18.9497,15439800,1777400,3318784,454,454,57200
4341,19.8648,15641900,2231200,3212288,454,454,716000
4342,19.73819,17715200,2394700,3282944,454,454,44800
4343,16.64581,17536800,2106400,3248128,454,454,39400
4344,17.30239,18331500,2180800,3260416,454,454,39700
4345,17.2406,18306300,2005399,3202048,454,454,668000
4346,19.74,14579800,1966400,3273728,454,454,38200
4347,17.8593,15954200,2188000,3259392,454,454,44800
4348,18.4641,15820500,2121700,3239936,454,454,47000
4349,16.4452,18169400,2068600,3233792,454,454,752500
4350,19.1958,16502400,2024700,3235840,454,454,39900
4351,19.1132,16927900,2081200,3254272,454,454,38000
4352,19.4028,15000100,2031600,3224576,454,454,38100
4353,19.8367,17676300,2069100,3233792,454,454,794000
4354,18.3574,17736900,2166500,3209216,454,454,51800
4355,19.3567,18072800,2199100,3244032,454,454,115800
4356,17.25599,18470700,2361000,3241984,454,454,39100
4357,19.3323,16573799,2123900,3261440,454,454,650800
4358,21.23321,17788800,1775000,3271680,454,454,93200
4359,19.03629,15768400,2086399,3203072,454,454,38100
4360,17.5645,17954700,2069100,3262464,454,454,40600
4361,19.5742,19855200,2037200,3212288,454,454,653500
4362,20.9609,17677400,1774800,3268608,454,454,40500
4363,18.0731,15993900,2255000,3241984,454,454,43000
4364,19.4646,18149000,2284500,3249152,454,454,40900
4365,17.9905,19458800,2100900,3211264,454,454,657400
4366,23.5765,16546100,2090700,3206144,454,454,40300
4367,19.5374,17975900,2168900,3217408,454,454,40300
4368,19.8349,16476099,2253600,3209216,454,454,40100
4369,18.6857,22096300,2170300,3267584,454,454,707500
4370,19.1272,17874800,2203400,3230720,454,454,37900
4371,19.9727,18410100,1946000,3243008,454,454,39600
4372,19.0895,17286400,2220100,3277824,454,454,38200
4373,19.4448,17639300,2364100,3224576,454,454,743500
4374,17.308,18465100,2232300,3253248,454,454,54400
4375,18.9569,17632400,2093999,3233792,454,454,37800
4376,17.8921,17990900,1879200,3251200,454,454,42900
4377,18.89,15488800,2261100,3208192,454,454,684900
4378,18.8691,17491400,2017900,3259392,454,454,53300
4379,17.0139,16541000,2168400,3202048,454,454,42900
4380,18.3977,17529200,2096499,3254272,454,454,39300
4381,19.0687,17409200,1918400,3230720,454,454,652600
4382,19.2193,15415600,2344800,3260416,454,454,43800
4383,16.7538,16855200,1991400,3207168,454,454,52800
4384,18.9835,17640500,1984900,3206144,454,454,42300
4385,17.9179,17860000,2450100,3272704,454,454,686100
4386,18.6433,15235800,2382800,3246080,454,454,49900
4387,18.2525,17385900,1963700,3257344,454,454,38200
4388,18.8085,16293399,2154100,3248128,454,454,40200
4389,16.8939,17217000,2143600,3220480,454,454,669300
4390,17.325,16819900,2043300,3220480,454,454,38900
4391,17.182,17480000,2235400,3225600,454,454,43600
4392,18.0939,15472500,1985600,3251200,454,454,44600
4393,16.8207,15811000,1932200,3208192,454,454,715800
4394,16.9833,15816100,2055200,3275776,454,454,42900
4395,17.2796,16677100,2038900,3211264,454,454,50400
4396,18.4714,15320300,2003600,3258368,454,454,64400
4397,18.1822,15520500,1972300,3252224,454,454,711000
4398,17.573,15874300,1929200,3249152,454,454,40600
4399,19.4673,17026500,2126200,3209216,454,454,38200
4400,19.3875,16782200,1976700,3205120,454,454,39400
4401,19.1878,15895600,2007699,3297280,454,454,688000
4402,19.2274,17978900,2098800,3210240,454,454,39300
4403,19.244,17809900,2138400,3252224,454,454,35900
4404,18.6251,17846300,2125800,3241984,454,454,38200
4405,19.6355,17826500,3435700,3236864,454,454,670500
4406,18.5915,17857300,1839300,3267584,454,454,55000
4407,18.8345,17058800,2088699,3235840,454,454,44600
4408,19.4359,18221000,2281500,3240960,454,454,59100
4409,16.6393,17117900,2299200,3252224,454,454,684100
4410,19.3753,17287100,2134500,3274752,454,454,40700
4411,19.6571,17777000,1968500,3254272,454,454,47300
4412,18.5563,15171900,2110100,3244032,454,454,37500
4413,21.77161,17843400,2115600,3236864,454,454,651200
4414,21.3031,18276000,2186200,3248128,454,454,43400
4415,19.8003,17207400,2100000,3229696,454,454,43500
4416,17.5523,20425600,2271500,3215360,454,454,47300
4417,16.7074,19725900,2170900,3250176,454,454,693800
4418,21.4588,18272900,1914600,3223552,454,454,47000
4419,19.1072,16045800,2076099,3244032,454,454,39100
4420,19.3896,15259000,2137600,3250176,454,454,44500
4421,18.52749,19996500,2096900,3210240,454,454,627600
4422,19.61631,17683400,2155900,3227648,454,454,40000
4423,19.8961,17912200,1954500,3276800,454,454,42100
4424,20.2919,17070000,2097500,3270656,454,454,63800
4425,19.3441,17664600,2116900,3240960,454,454,752100
4426,17.838,18350900,2454900,3255296,454,454,37500
4427,16.9744,18588000,2008900,3286016,454,454,45500
4428,16.8517,17958000,1865500,3249152,454,454,52800
4429,17.22441,16155400,1919900,3246080,454,454,669500
4430,17.7818,15607000,1989300,3238912,454,454,46800
4431,18.9967,15371300,1875300,3251200,454,454,41400
4432,20.2133,15507600,1923200,3239936,454,454,41600
4433,19.7313,16376400,2088099,3253248,454,454,666600
4434,19.4619,17498600,2148600,3336192,454,454,39700
4435,16.7994,18765100,2081200,3270656,454,454,68000
4436,17.5633,18364400,2048900,3241984,454,454,51700
4437,16.8831,18061600,2128300,3256320,454,454,654000
4438,18.1362,15288700,1954500,3234816,454,454,55400
4439,17.1697,16085100,2104700,3197952,454,454,45400
4440,18.7314,15361500,1903500,3244032,454,454,45000
4441,16.368,16743500,1993000,3223552,454,454,666400
4442,19.3369,15817200,2146600,3243008,454,454,55500
4443,18.796,17163400,2033500,3256320,454,454,37700
4444,19.4227,14868800,2141700,3342336,454,454,37800
4445,18.665,17988700,2037000,3254272,454,454,691000
4446,17.3054,17426900,2005300,3222528,454,454,38100
4447,16.3196,18009500,2066199,3236864,454,454,38100
4448,16.8975,17314700,2199500,3244032,454,454,42900
4449,16.6566,15898300,1903600,3255296,454,454,842000
4450,17.5279,14892100,1884000,3232768,454,454,40400
4451,17.3262,15554800,1933700,3252224,454,454,66600
4452,16.78141,15057500,2175400,3220480,454,454,50400
4453,19.2402,15703000,1916200,3221504,454,454,738400
4454,17.6294,15916400,1946000,3244032,454,454,43400
4455,18.471,15408600,2371700,3273728,454,454,41700
4456,16.9531,17319200,1825700,3272704,454,454,48900
4457,18.7572,16244800,2047600,3241984,454,454,663100
4458,20.5191,17028200,1817400,3273728,454,454,40500
4459,19.3051,15278000,2021000,3202048,454,454,52300
4460,17.3495,17410800,2054300,3272704,454,454,44700
4461,19.0516,19035100,1997700,3226624,454,454,708000
4462,17.377,17923700,1941800,3214336,454,454,38200
4463,17.4667,15842100,2029100,3214336,454,454,42700
4464,18.465,17560600,1967600,3236864,454,454,38300
4465,17.1387,15876200,1890500,3245056,454,454,676900
4466,19.2781,16103700,2144800,3223552,454,454,46300
4467,16.74391,17018300,1981500,3253248,454,454,40200
4468,19.5314,15637300,2166300,3261440,454,454,38800
4469,18.5894,17864000,1975400,3196928,454,454,651600
4470,20.2807,15290900,1995400,3267584,454,454,42300
4471,16.5763,18127000,1941300,3247104,454,454,43800
4472,16.6844,17125300,2061700,3266560,454,454,42300
4473,16.7254,18922300,1973200,3240960,454,454,679000
4474,19.1005,14959000,1909300,3219456,454,454,44600
4475,18.4537,15037600,1994700,3231744,454,454,78800
4476,19.9622,15288000,2035899,3253248,454,454,38300
4477,19.8267,17696800,2154700,3253248,454,454,711300
4478,16.8551,16889800,2130600,3244032,454,454,42900
4479,16.7197,18425800,2256300,3212288,454,454,42900
4480,16.95679,18449300,1770700,3213312,454,454,64400
4481,18.7214,15417400,1849800,3264512,454,454,679100
4482,20.4882,15223200,1966200,3229696,454,454,51300
4483,16.6252,15522000,2208200,3208192,454,454,41400
4484,16.9275,17245000,2180400,3277824,454,454,43300
4485,20.2756,19138900,1904300,3236864,454,454,674700
4486,17.6475,15039100,2048600,3248128,454,454,42000
4487,18.5999,15572700,2466100,3243008,454,454,39100
4488,18.2743,18863800,2095300,3246080,454,454,38200
4489,16.4796,16229600,2156400,3215360,454,454,678700
4490,18.0778,17208500,1927900,3268608,454,454,54300
4491,17.19311,16641300,2122700,3227648,454,454,46600
4492,19.076,14915900,1864000,3258368,454,454,45700
4493,17.0303,16720900,2093100,3250176,454,454,685400
4494,19.2706,15708200,2111400,3348480,454,454,38600
4495,19.7254,17232400,1965500,3257344,454,454,45700
4496,18.43781,15284600,2126200,3221504,454,454,55600
4497,18.3245,17833300,1972900,3214336,454,454,705800
4498,18.8204,18372800,2054600,3214336,454,454,57200
4499,16.9486,16982700,2175900,3225600,454,454,38000
4500,19.0667,16834700,2174800,3219456,454,454,38300
4501,16.7747,17315900,2040900,3237888,454,454,667700
4502,19.8086,15555300,2209200,3259392,454,454,48800
4503,18.4512,17139000,1777100,3235840,454,454,46500
4504,16.8474,15412200,1995900,3262464,454,454,49300
4505,16.5836,18424300,2052200,3234816,454,454,687000
4506,19.1971,17054400,1975300,3306496,454,454,39000
4507,19.7062,15360500,1964300,3226624,454,454,37500
4508,16.6606,15085200,2024800,3302400,454,454,50300
4509,18.2743,17806600,2078399,3231744,454,454,710500
4510,18.9491,18324600,2112000,3249152,454,454,41700
4511,16.6998,15337700,2095200,3214336,454,454,40100
4512,17.0622,16789400,2114800,3260416,454,454,36400
4513,19.7106,17064900,2030100,3239936,454,454,684300
4514,18.1646,15044700,1922800,3259392,454,454,43600
4515,16.5518,15675900,2136600,3262464,454,454,48500
4516,16.8945,18273600,2058399,3251200,454,454,41800
