frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
5815,16.7724,17448700,2355200,3225600,454,454,38200
5816,16.4961,16984300,1833500,3221504,454,454,37700
5817,16.9572,18001300,1841100,3229696,454,454,39900
5818,18.3332,15346900,1905000,3240960,454,454,759000
5819,17.1573,15082000,1892700,3249152,454,454,41900
5820,18.66759,15597700,2348600,3248128,454,454,36500
5821,17.922,16522400,2103800,3221504,454,454,43100
5822,18.7748,15742200,2475600,3237888,454,454,710400
5823,16.7678,17169400,1791000,3228672,454,454,57800
5824,16.61689,16510100,2114300,3226624,454,454,52700
5825,16.74741,17101700,1959600,3258368,454,454,36900
5826,18.8441,15376600,1948300,3183616,454,454,648900
5827,18.001,15043400,1844700,3231744,454,454,36200
5828,16.8081,15285600,2158900,3188736,454,454,38600
5829,17.6762,17393300,2122100,3225600,454,454,49200
5830,16.6541,16561000,2103500,3251200,454,454,982100
5831,19.5776,14902000,1938300,3217408,454,454,63100
5832,16.5664,16027899,1934400,3247104,454,454,48400
5833,18.2367,15215900,2244200,3212288,454,454,46400
5834,17.0363,18146700,1929800,3197952,454,454,655900
5835,19.88,15080500,2208800,3226624,454,454,40300
5836,17.6142,16817800,2055699,3224576,454,454,49700
5837,19.5546,15621800,2049900,3254272,454,454,40800
5838,19.0351,18518800,2020500,3243008,454,454,744100
5839,19.313,16193900,2123500,3186688,454,454,37100
5840,16.76229,18210300,2215900,3235840,454,454,38800
5841,19.2563,16867400,2033900,3249152,454,454,35700
5842,19.18961,17567300,1988400,3198976,454,454,654200
5843,17.9824,15321000,2063300,3248128,454,454,51000
5844,19.1111,17906900,2147700,3236864,454,454,47700
5845,16.7029,17822400,1878500,3326976,454,454,43000
5846,17.7947,16615600,2374000,3343360,454,454,647700
5847,18.0746,17544900,1807800,3227648,454,454,49100
5848,18.65901,15113100,2275200,3224576,454,454,39500
5849,18.8817,16381200,2146000,3191808,454,454,39000
5850,20.4413,16635300,2174000,3196928,454,454,886600
5851,17.2495,17262500,2301100,3241984,454,454,37500
5852,16.9993,17537000,2261300,3240960,454,454,39400
5853,16.344,19021200,1730600,3231744,454,454,45300
5854,19.4524,15689900,1827100,3189760,454,454,689600
5855,17.7592,15584200,2000200,3212288,454,454,44000
5856,19.0718,14927000,2274800,3222528,454,454,42600
5857,18.84799,17766700,2171800,3259392,454,454,38800
5858,18.8961,16280899,2119900,3186688,454,454,653800
5859,20.3277,17448600,2180900,3247104,454,454,42400
