frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
5047,19.0122,15982700,1999100,3482624,454,454,46400
5048,18.5087,18000000,2581300,3462144,454,454,701300
5049,18.58861,17273000,2297600,3488768,454,454,47600
5050,17.77219,17513400,2300600,3476480,454,454,47300
5051,17.3168,16857700,2200900,3487744,454,454,48500
5052,17.1379,17198100,1860400,3494912,454,454,694300
5053,17.808,16283100,1911900,3485696,454,454,103400
5054,18.9011,15620400,2321300,3457024,454,454,51600
5055,18.5593,15726900,2466700,3502080,454,454,43500
5056,20.2488,16331700,2093200,3469312,454,454,677100
5057,18.3977,17435700,2028900,3493888,454,454,50100
5058,19.0335,17062100,2072800,3479552,454,454,63800
5059,16.6563,18330700,1893600,3487744,454,454,101600
5060,19.2119,16943500,2075000,3623936,454,454,831300
5061,19.9521,17555500,1982500,3495936,454,454,44700
5062,19.7536,15010700,2094700,3464192,454,454,54900
5063,17.1481,17605000,2214600,3487744,454,454,46800
5064,16.8517,18233400,2310600,3510272,454,454,771200
5065,17.62139,18326500,1861900,3492864,454,454,41900
5066,16.8518,15518000,1894300,3456000,454,454,50000
5067,18.5773,15337500,2028900,3485696,454,454,43800
5068,19.8009,16241599,1986800,3499008,454,454,688900
5069,17.3681,15204300,2099300,3491840,454,454,50800
5070,16.8499,16966900,2054500,3477504,454,454,56200
5071,19.0364,18352700,2071400,3491840,454,454,56800
5072,17.2727,15889500,1872500,3469312,454,454,682800
5073,19.36261,15366000,2181600,3499008,454,454,44800
5074,18.0734,17581200,1916100,3472384,454,454,44700
5075,17.8887,15708000,2413900,3495936,454,454,47900
5076,17.0503,17990900,2186100,3486720,454,454,660800
5077,16.9095,16547100,1996500,3510272,454,454,48400
5078,16.6378,16372900,2059300,3460096,454,454,50600
5079,16.658,15488200,1925400,3452928,454,454,46500
5080,17.3256,15426200,1845500,3506176,454,454,756900
5081,17.6991,15024700,2088900,3459072,454,454,42700
5082,17.6396,15140000,1835900,3507200,454,454,41800
5083,20.3597,15587000,1850300,3438592,454,454,83500
5084,19.4757,16291699,1814100,3505152,454,454,694100
5085,18.0337,16224400,2114800,3504128,454,454,61400
5086,16.9919,19022500,2063100,3484672,454,454,49300
5087,16.6225,17947900,2031000,3485696,454,454,49000
5088,19.1326,16677100,2069200,3499008,454,454,655900
5089,19.6116,15093300,1809000,3511296,454,454,52900
5090,18.71171,15100000,2108200,3465216,454,454,50900
5091,16.5867,17646700,2144200,3477504,454,454,48400
5092,18.3836,18220000,2089600,3457024,454,454,703400
5093,17.4805,17263700,1795300,3508224,454,454,42200
5094,19.1138,15010900,2112200,3484672,454,454,42700
5095,19.99,16788500,1949900,3481600,454,454,50400
5096,16.8055,16070799,2043800,3503104,454,454,679300
5097,17.3431,17473400,2086599,3486720,454,454,78400
5098,17.0214,18666300,2021399,3445760,454,454,51400
5099,18.988,15303800,2073600,3488768,454,454,48500
5100,16.9159,15641100,1994700,3511296,454,454,716900
5101,17.1579,15517000,2108700,3444736,454,454,52000
5102,17.5105,17510500,1997000,3496960,454,454,43500
5103,19.0648,15347800,1784600,3464192,454,454,44300
5104,17.4547,15780300,1980000,3489792,454,454,699400
5105,19.7438,16088999,2161200,3521536,454,454,45400
5106,19.26,17625500,2063400,3451904,454,454,44000
5107,20.1158,15874300,2198700,3497984,454,454,68100
5108,18.9106,18309600,2219100,3469312,454,454,924500
5109,17.47209,17720100,2266500,3489792,454,454,48400
5110,18.9346,18755100,2309500,3481600,454,454,44000
5111,18.8874,17342400,1748600,3501056,454,454,43700
5112,17.5769,16048300,2093600,3505152,454,454,728500
5113,17.3369,17432700,2083899,3490816,454,454,70000
5114,19.4254,17417300,1868200,3521536,454,454,52400
5115,16.8916,16215399,2081999,3483648,454,454,82700
5116,18.49629,15930300,2095000,3497984,454,454,717900
5117,17.4657,17632900,2068200,3461120,454,454,43100
5118,20.1071,15009400,2070600,3447808,454,454,41900
5119,19.3159,17065000,1845800,3475456,454,454,69700
5120,17.0352,16080600,2026199,3489792,454,454,699400
5121,18.3009,18675700,2042199,3490816,454,454,44200
5122,17.7724,17974000,1893900,3478528,454,454,45600
5123,19.9303,15243600,2040800,3490816,454,454,44600
5124,19.9319,16779100,1776300,3488768,454,454,765900
5125,19.4829,16319400,2196900,3497984,454,454,51400
5126,18.58089,18534900,2105900,3493888,454,454,44600
5127,19.063,18489400,2110700,3492864,454,454,50900
5128,17.7726,18039400,2110900,3456000,454,454,782300
5129,19.9201,17182200,2178600,3492864,454,454,60900
5130,17.007,17550300,2041700,3479552,454,454,61200
5131,16.9615,16385300,2494200,3489792,454,454,83300
5132,17.0155,18355800,1991500,3478528,454,454,769400
5133,19.8092,15272700,1901100,3495936,454,454,49100
5134,17.7237,15453200,1918200,3448832,454,454,45200
5135,16.703,15386600,2321300,3485696,454,454,49200
5136,19.04951,18304300,1884900,3481600,454,454,654600
5137,19.1457,16294899,1841200,3514368,454,454,69600
5138,18.4448,15109700,2110300,3480576,454,454,53400
5139,16.8082,17515100,2295200,3501056,454,454,44900
5140,18.4821,17725900,2156600,3470336,454,454,692000
5141,18.1541,17063900,1882700,3482624,454,454,50400
5142,18.409,15245400,2250800,3448832,454,454,58100
5143,17.4073,16872400,1932900,3488768,454,454,80100
5144,19.1231,16778700,2173900,3504128,454,454,835200
5145,18.4674,16884300,2003200,3444736,454,454,49100
5146,17.6508,15887700,2303600,3476480,454,454,47600
5147,23.7432,17613500,2104500,3507200,454,454,54800
5148,18.8216,16993900,2009700,3493888,454,454,821500
5149,21.3966,16173900,2734800,3500032,454,454,49500
5150,21.4261,21974400,1923100,3486720,454,454,48200
5151,20.0437,17167800,2383200,3495936,454,454,89300
5152,20.4184,19853200,2262800,3478528,454,454,703800
5153,19.9954,19762700,2542700,3519488,454,454,44500
5154,20.55959,18563700,2399200,3469312,454,454,46800
5155,16.775,18566500,2371300,3481600,454,454,45200
5156,17.7644,18498000,2070199,3486720,454,454,687500
5157,18.3408,19188800,1861200,3482624,454,454,45400
5158,19.9391,15152700,2167400,3490816,454,454,63200
5159,18.9881,16032100,2035699,3504128,454,454,52900
5160,16.47129,16885600,1945500,3486720,454,454,775000
5161,19.4741,18567500,2123600,3485696,454,454,72100
5162,18.8483,17402400,2087000,3440640,454,454,50600
5163,17.5396,15021100,2171800,3493888,454,454,44900
5164,16.8486,18120900,2113900,3502080,454,454,691600
5165,19.2805,17236300,1852000,3461120,454,454,46300
5166,16.6594,16099599,1858500,3492864,454,454,50000
5167,16.6598,15323200,2197000,3506176,454,454,62800
5168,17.6416,17893200,1945700,3522560,454,454,829400
5169,20.8717,15004400,1826600,3526656,454,454,67300
5170,18.3463,14850200,2028700,3464192,454,454,54900
5171,18.96219,15782900,2550300,3487744,454,454,50400
5172,18.8882,19003100,2037900,3482624,454,454,729300
5173,17.1427,16851400,2279100,3494912,454,454,54200
5174,18.8481,17509300,2194900,3490816,454,454,46700
5175,19.8403,17317000,1839400,3492864,454,454,47100
5176,17.9116,15736400,2116600,3483648,454,454,738000
5177,17.523,17362500,2053200,3497984,454,454,58300
5178,18.8776,18347900,2016700,3482624,454,454,62500
5179,18.58109,16550600,1899000,3461120,454,454,50500
5180,18.906,16139000,2122400,3478528,454,454,660100
5181,18.2752,17446200,2040200,3480576,454,454,48700
5182,17.4066,17106300,2212000,3495936,454,454,64800
5183,17.9043,17280200,2015899,3470336,454,454,56000
5184,17.4349,16908700,1971200,3489792,454,454,821200
5185,19.2473,15574600,2072800,3494912,454,454,50700
5186,16.705,16408400,1933300,3489792,454,454,43200
5187,20.9881,15813600,2066900,3489792,454,454,63700
5188,18.7332,17675500,2002500,3474432,454,454,681900
5189,19.4313,15158400,2061700,3493888,454,454,50800
5190,19.0617,19684600,2067100,3443712,454,454,43300
5191,17.537,17332100,2070600,3477504,454,454,57200
5192,17.1953,17997600,2479300,3504128,454,454,771200
5193,19.23359,17639000,1987000,3484672,454,454,47600
5194,19.7624,16100400,1868800,3497984,454,454,64400
5195,18.893,15749200,2117600,3472384,454,454,58200
5196,17.8362,17454800,2069500,3451904,454,454,667500
5197,18.1933,18338300,2230200,3486720,454,454,48400
5198,16.9268,17340000,2068600,3531776,454,454,49800
5199,16.7332,16372599,1825500,3481600,454,454,48100
5200,18.2646,16835200,2024900,3469312,454,454,701100
5201,17.643,15024500,1977900,3514368,454,454,50400
5202,17.0712,15107100,2061900,3492864,454,454,50500
5203,16.774,16814900,1876000,3493888,454,454,53400
5204,18.9696,16238800,1996400,3481600,454,454,820200
5205,18.4693,15439400,1910700,3482624,454,454,53800
5206,17.1556,15251300,2437400,3482624,454,454,57300
5207,17.834,17515600,1850100,3641344,454,454,44500
5208,17.6153,17134700,2155000,3497984,454,454,685900
5209,19.0968,15717600,2363500,3490816,454,454,43800
5210,18.7854,16305800,1845100,3492864,454,454,42800
5211,17.4957,16172699,2081300,3493888,454,454,72900
5212,16.9059,17698700,2130100,3459072,454,454,695100
5213,19.4432,17365300,1826500,3479552,454,454,46700
5214,16.7472,15959200,1931500,3446784,454,454,50700
5215,19.2384,15074800,2016000,3494912,454,454,48500
5216,16.8068,17867000,1862500,3466240,454,454,715200
5217,19.0321,15346700,2112500,3484672,454,454,49800
5218,18.0461,17854600,2029000,3447808,454,454,55500
5219,18.942,15312100,2389700,3496960,454,454,44100
5220,19.232,17597600,1957200,3478528,454,454,676700
5221,19.8603,15956900,2198300,3493888,454,454,45200
5222,17.4644,17445900,2160700,3468288,454,454,44800
5223,18.1758,17676100,2042700,3482624,454,454,45200
5224,18.1336,18515100,1927400,3499008,454,454,687900
5225,17.0337,16068900,1898400,3564544,454,454,60300
5226,19.032,16770100,2094900,3458048,454,454,44600
5227,17.3798,16445500,1769200,3492864,454,454,51800
5228,19.2679,15548000,2055300,3465216,454,454,648000
5229,20.3886,17653300,1897600,3485696,454,454,51000
5230,16.8947,15917800,2290400,3458048,454,454,50700
5231,16.7343,17670800,2001599,3501056,454,454,47300
5232,18.5059,18965900,1848300,3484672,454,454,693400
5233,17.3337,15323500,2199400,3508224,454,454,43400
5234,19.8854,15158900,2143900,3467264,454,454,40500
5235,17.6791,17033000,1864900,3489792,454,454,64700
5236,19.2721,15944400,2262800,3474432,454,454,739200
5237,19.873,18453100,1830900,3485696,454,454,43000
5238,18.004,16103300,2261100,3479552,454,454,43400
5239,18.4876,17629400,2088099,3483648,454,454,43100
5240,18.8022,18194500,2187200,3543040,454,454,684000
5241,19.0556,16478700,2019600,3594240,454,454,44000
5242,19.3127,17034400,2076800,3489792,454,454,46000
5243,17.3161,16923700,2122500,3492864,454,454,56200
5244,16.772,17695600,2038800,3476480,454,454,675800
5245,17.7287,17931500,2077600,3509248,454,454,43700
5246,17.6716,15782600,2072299,3462144,454,454,64400
5247,16.991,15224500,1879100,3491840,454,454,60000
5248,17.3401,16362100,2016800,3496960,454,454,693600
5249,19.6906,16114799,1902900,3534848,454,454,44600
5250,19.0903,15305600,1996500,3473408,454,454,47800
5251,17.1058,15830600,2396300,3488768,454,454,68000
5252,18.8281,18153000,2032900,3531776,454,454,645000
5253,21.4544,17698100,1913500,3489792,454,454,53300
5254,19.1179,15258200,2209100,3499008,454,454,51300
5255,19.122,17340100,2019800,3485696,454,454,48700
5256,18.5054,20070400,2446500,3500032,454,454,704000
5257,17.9165,17683500,2488000,3503104,454,454,52800
5258,19.9701,17346500,2157100,3450880,454,454,50800
5259,18.6424,16652999,1831800,3473408,454,454,44100
5260,17.0586,16487100,2247000,3492864,454,454,701500
5261,17.6762,18348200,2147700,3489792,454,454,45200
5262,18.9122,17268600,1861600,3495936,454,454,54200
5263,18.8246,15676100,1926500,3484672,454,454,53600
5264,18.6317,15990700,2255500,3490816,454,454,683400
5265,19.11589,16527600,2165300,3488768,454,454,49100
5266,16.7478,17399100,2139700,3457024,454,454,53700
5267,18.9742,17051900,2114300,3487744,454,454,42200
5268,17.5692,17647600,1805200,3494912,454,454,681500
5269,17.1734,15294300,2223500,3503104,454,454,60900
5270,17.305,17330300,1910300,3476480,454,454,50900
5271,16.9571,16025600,1809200,3465216,454,454,43700
5272,16.4652,15766900,1937500,3496960,454,454,716700
5273,19.2917,15865000,1990100,3478528,454,454,43800
5274,16.9194,15355200,2080900,3482624,454,454,80700
5275,16.8074,14999700,2175700,3588096,454,454,49900
5276,17.0644,17786400,2041700,3494912,454,454,713100
5277,21.124,15549800,1903900,3478528,454,454,50900
5278,19.2143,15217400,1943900,3476480,454,454,49700
5279,16.9366,15492800,2101800,3488768,454,454,52800
5280,18.5716,19331400,2473500,3499008,454,454,734100
5281,19.1026,17687500,1869100,3502080,454,454,45800
5282,18.0685,15391400,2092499,3458048,454,454,45600
5283,17.4219,17067200,2078500,3500032,454,454,45000
5284,18.77601,17726600,2002500,3508224,454,454,697900
5285,17.3903,16441600,1805800,3505152,454,454,50200
5286,16.755,15994100,2035800,3503104,454,454,106200
