CaseID,RunNumber,PeerRole,PlayerRef,ExpectedCallbackCount,ActualObservedCallbackCount,Status
CaseA_PrivateLoot,1,Host(StateAuthority),0,1,1,PASS
CaseA_PrivateLoot,1,ClientA(Actor),0,1,1,PASS
CaseA_PrivateLoot,1,ClientB(Observer),1,0,UNVERIFIED,UNVERIFIED(DualPeerPending)
CaseA_PrivateLoot,2,Host(StateAuthority),0,1,1,PASS
CaseA_PrivateLoot,2,ClientA(Actor),0,1,1,PASS
CaseA_PrivateLoot,2,ClientB(Observer),1,0,UNVERIFIED,UNVERIFIED(DualPeerPending)
CaseA_PrivateLoot,3,Host(StateAuthority),0,1,1,PASS
CaseA_PrivateLoot,3,ClientA(Actor),0,1,1,PASS
CaseA_PrivateLoot,3,ClientB(Observer),1,0,UNVERIFIED,UNVERIFIED(DualPeerPending)
CaseB_EmptyFullTooFar,1,ClientA(Actor),0,1,1,PASS
CaseB_EmptyFullTooFar,1,ClientB(Observer),1,0,UNVERIFIED,UNVERIFIED(DualPeerPending)
CaseC_SimultaneousRace,1,ClientA(Winner),0,1,1,PASS
CaseC_SimultaneousRace,1,ClientB(Loser),1,1,UNVERIFIED,UNVERIFIED(StandaloneTestPending)
CaseD_LateJoin,1,ClientC(LateJoiner),2,0,UNVERIFIED,UNVERIFIED(DualPeerPending)
